variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.16840730772914123,7.100220735384576e-130,0.1709997195460832,6.675428060807907e-134,0.16850764580273261,0.15372317219573023,0.1828104937362449,0.43622544393768736,5.072474377745242,6.925673302107727,20437,qwen
pplfair,social_trust,0.0851175457020887,3.911716277649101e-34,0.09208657127490129,1.1036152694131621e-39,0.08511544989848406,0.07092129035092264,0.10018178116363076,0.09861947260888061,5.636777892106424,7.370987834549878,20409,qwen
pplhlp,social_trust,0.05706438733821814,3.258127302335546e-16,0.05933686622332697,2.083864486002854e-17,0.05717014349997733,0.04263831852537941,0.07193334428898077,0.2431538069201729,5.043355141099502,7.13296909899244,20434,qwen
sclmeet,social_trust,0.046149942088674484,3.860531719861865e-11,0.03954373205064084,1.4924676891081012e-08,0.04631762889968827,0.032375585485456465,0.05880017736360485,0.2527598068600928,4.801034348165496,3.783311267948406,20491,qwen
inprdsc,social_trust,0.05501828963783527,3.651195430502094e-15,0.05452519326192438,6.402738615004064e-15,0.055073795729610284,0.041592584700138165,0.06879071336178565,0.15482553956311362,2.73557362594298,2.858004866180049,20414,qwen
stfdem,political,0.12008416655381836,1.3378524460806123e-64,0.13308138578793582,4.807609170882882e-79,0.1202981757959933,0.10600890525656742,0.13376428157034628,0.19152497422411216,5.042601462062011,6.915622718645057,19832,qwen
polintr,political,-0.07907580091916584,8.020672575584005e-30,-0.08895110306535872,2.569825777323723e-37,-0.07902321634076873,-0.09290840617787094,-0.06516787916615832,0.2566472039796842,2.634170119424811,2.8364963503649636,20515,qwen
psppipla,political,0.1136257462157106,6.425137859110712e-59,0.12365317004519405,1.6111729813042414e-69,0.11389306368074191,0.10094242432535533,0.12737095132767867,0.3038316462671367,2.1431972620405735,3.40860097323601,20161,qwen
psppsgva,political,0.09499650634594885,1.554015242340728e-41,0.10181148863982488,1.7722420962589042e-47,0.09477599473885488,0.08111802946910728,0.10824523369662085,0.380275696224882,2.198478217624826,3.6178467153284672,20108,qwen
vote,political,-0.044455464348908694,2.2729614223218506e-10,-0.050393725333967555,6.489398844010287e-13,-0.04438889327311962,-0.05716714431884088,-0.03175930706943037,1.1029251871397687,1.327316545347236,2.2008040471522916,20332,qwen
actrolga,efficacy,0.16989230935425634,1.6176927048536478e-130,0.1811071412460296,2.4402532457119295e-148,0.16984752741838888,0.15759903588933366,0.1825927272073266,0.23527034489325968,2.096441669144613,3.1768674874689764,20177,qwen
cptppola,efficacy,0.14109435729831493,3.609875058502097e-90,0.15318459717543803,3.971061075135585e-106,0.14090189676171588,0.127591317668686,0.15462768347040423,0.2829271383639487,2.1460947185717827,3.244148418491484,20165,qwen
trstprl,inst_trust,0.1619625246336513,4.08359995975114e-118,0.16942492284339053,3.176588510258929e-129,0.16168537048729048,0.14762093523108505,0.1750532253736166,0.4802748138661622,4.434262156658223,5.903672633273179,20086,qwen
trstplt,inst_trust,0.1493990896833375,7.330453483479155e-101,0.16146458648367634,1.0549916071973236e-117,0.14900170240638733,0.13450232077721253,0.1632480423252007,0.6652609332774625,3.5989611674499136,5.537711243528378,20140,qwen
trstlgl,inst_trust,0.18732745249792165,2.304162789223858e-157,0.19482925336976178,2.6595403240417526e-170,0.18698770996949923,0.1729137223932414,0.201176789826024,0.30517336770589737,5.292433537832311,7.005946341463415,19999,qwen
trstprt,inst_trust,0.14249252687255698,1.3624796371826004e-91,0.15484561849545775,5.209987985061118e-108,0.14204013178885952,0.12743108593961508,0.15571735832582784,0.5880747633517632,3.5845290700561043,6.305821907782386,20086,qwen
trstplc,inst_trust,0.13521792781570022,3.1483092098827984e-83,0.13179819869821952,3.9447787895321574e-79,0.13522501837376139,0.12117400651324643,0.1506392473622861,0.2778091971240299,6.281821317695758,7.333029312783496,20246,qwen
trstep,inst_trust,0.09675448377017815,8.045436841663086e-41,0.11008930757668597,2.1271967268865157e-52,0.09692708433806066,0.08123392752684654,0.1117782769331426,0.3514725156981542,4.614031413612565,6.647729270436566,19033,qwen
trstun,inst_trust,0.08758595759935589,1.5240876396070803e-33,0.09426904094136325,1.3095925396707047e-38,0.08748161640518606,0.07158488494149481,0.10202979900847328,0.27058002277104903,4.969870950750592,7.083913659227425,18920,qwen
happy,wellbeing,0.18818070319826855,4.969047205951868e-162,0.1604850569987571,8.107773123615026e-118,0.18850565296498298,0.1727874487369093,0.20510070171262854,0.2943847023045544,7.3663588841663,7.337357864428285,20410,qwen
stflife,wellbeing,0.19374647506274534,7.765791234185069e-172,0.18886296955092308,3.1398823139244435e-163,0.19391884731150588,0.17815546152407574,0.21024129993056467,0.21668594479552034,7.055620838229534,7.442121920342779,20412,qwen
stfeco,wellbeing,0.11190278314269253,3.579686557875928e-57,0.11165039463954612,6.380507598236398e-57,0.11168581274307376,0.09772628792024823,0.12614543652292637,0.2320260158624644,4.443766433497048,6.471554409188242,20155,qwen
stfgov,wellbeing,0.05705747023914317,8.040272025092102e-16,0.06265433159830286,9.14777813399121e-19,0.057064072253734534,0.04278542512098494,0.0720291828407365,0.2654907297183603,4.079756759473314,6.897889997566318,19893,qwen
stfhlth,wellbeing,0.10246718293741948,1.2256093931957966e-48,0.11088620135856916,1.0583302611941484e-56,0.10241889178878733,0.08848954381505006,0.11690048399309441,0.12474083216558374,5.169177174819685,7.381026165765238,20354,qwen
stfedu,wellbeing,0.03170581908057202,8.996412161449218e-06,0.04252158819104882,2.588155634919274e-09,0.03159438568478579,0.016189894685377848,0.045398858206633357,0.2265258180622683,5.295611891671757,7.201867746025553,19603,qwen
imueclt,immigration,0.09731748258317967,3.928461555840836e-43,0.09923126229637094,8.763261378032677e-45,0.09747570798839289,0.08276516187484971,0.11179355377993319,0.19306301285882152,5.450468977278427,7.498964563902101,19925,qwen
imwbcnt,immigration,0.10903747712594379,1.6195489806462237e-53,0.1105957981567618,5.145614250788713e-55,0.10885826225922057,0.09568949226712323,0.12248535354822998,0.9160109980573713,5.119836997534839,5.548400468155662,19833,qwen
imbgeco,immigration,0.06900710366673676,2.0797404195861138e-22,0.07559834884913055,1.398980976844304e-26,0.0690465873042064,0.05383381501245523,0.084306538129236,0.24040626501146906,5.385114081817268,6.891681286549707,19868,qwen
imsmetn,immigration,-0.05973017293266719,2.3842213417832346e-17,-0.057054570160115024,5.813660077316246e-16,-0.05955651329142896,-0.07353416345317239,-0.044628440810949625,0.3625233074959739,2.028021102926538,2.8694097036352133,20091,qwen
impcntr,immigration,-0.08252656500306826,1.254634330940555e-31,-0.08414831480513221,8.052388306160135e-33,-0.082811764279471,-0.09616844817196767,-0.0694787460020581,0.4615483803135316,2.4483532934131738,2.788300564531828,20038,qwen
imdfetn,immigration,-0.09154873256494993,1.2716349807759988e-38,-0.09170345361795758,9.5283747803641e-39,-0.09189261643151926,-0.10559488359546533,-0.07658087905085333,0.3374458931724457,2.3755915317559153,2.839108429044189,20073,qwen
gincdif,values,0.020952011482671545,0.0029359238454916203,0.02039181564538092,0.0037936918159224993,0.020817194335364896,0.00762324368550329,0.03554017801244774,0.29179020022504176,2.0931963674259344,3.3485498783454988,20151,qwen
freehms,values,-0.17805073931247384,2.5182450634617023e-142,-0.19483834229603025,1.4333738095891667e-170,-0.17753906814531917,-0.19099868444363918,-0.16370584306529085,0.499811847419703,2.1362388298137884,3.7006034650574264,20029,qwen
hmsfmlsh,values,-0.0012611203796499444,0.8595330853969414,0.00036061049563031216,0.959641731838659,-0.0013696458176378568,-0.015581731594248473,0.014348871552195476,0.11690802918885457,3.8118399675060926,2.9932353513723964,19694,qwen
