variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.1172642815513541,1.6112079604095938e-63,0.11566762172739643,7.705891915636644e-62,0.11716165236344267,0.10168942734531501,0.1306720704412745,0.4338018514850821,5.072474377745242,6.964507948893007,20446,qwen
pplfair,social_trust,0.06421142403259596,4.2251775024565515e-20,0.06858810425668548,1.0252181482133841e-22,0.06416871731186256,0.050290648048392936,0.07869766285052465,0.14924742135725744,5.636777892106424,7.198749391727495,20409,qwen
pplhlp,social_trust,0.04191340915695826,2.1000730301439015e-09,0.04159990104063464,2.7640862765794114e-09,0.042206401365957914,0.029352906258268235,0.05646455905700367,0.315632866646445,5.043355141099502,6.82207950771635,20408,qwen
sclmeet,social_trust,0.03283473258972675,2.5809812885515686e-06,0.0274018644211883,8.731932429955109e-05,0.032675161374139415,0.01869749688832224,0.04654743824389766,0.20362255403337007,4.801034348165496,3.871643388972699,20495,qwen
inprdsc,social_trust,0.043236614020087744,6.407971512944796e-10,0.041588422885028634,2.777075926447596e-09,0.04330332099288792,0.030319003298701443,0.05723583367047756,0.12269597639598856,2.73557362594298,2.8919221411192213,20414,qwen
stfdem,political,0.12690312544157129,5.381503869226507e-72,0.12577214125496325,9.669298089064164e-71,0.1269347972249463,0.1131607278845179,0.14027723153053603,0.23896531123038153,5.042601462062011,6.650598598403738,19834,qwen
polintr,political,-0.10276003010366899,2.791651761623573e-49,-0.11139289415960502,1.2035708846229188e-57,-0.10259480130346703,-0.11706414556443609,-0.0874120614362397,0.20468029156062245,2.634170119424811,2.864720194647202,20515,qwen
psppipla,political,0.07100640748356106,5.856096589694913e-24,0.07786813533118442,1.7041948910456476e-28,0.07106831210754166,0.05696150679125999,0.08602973294643206,0.3351051369465461,2.1431972620405735,3.347314138956475,20161,qwen
psppsgva,political,0.06901260432128323,1.1569751616330831e-22,0.07559233859765215,7.056227755353368e-27,0.06929679714059918,0.055998348548343124,0.08284261661714731,0.4651758210744714,2.198478217624826,3.5643649635036496,20108,qwen
vote,political,-0.01164573326976443,0.09680927081650278,-0.012632007011172699,0.07167718190279884,-0.011813519722558292,-0.026107416485790895,0.001426888701056053,1.075300218666893,1.327316545347236,2.122992700729927,20332,qwen
