variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.10738255873550062,1.2581668805293172e-53,0.08232942550209113,3.636332844228073e-32,0.10743241471929796,0.09295324420815242,0.1219007180472453,0.1406761013015855,4.801034348165496,4.56403892944039,20496,qwen
inprdsc,social_trust,0.06894689291803141,6.076623139496498e-23,0.0646934860491815,2.1955923258062243e-20,0.06912067159951071,0.05468574883544373,0.08319531941067893,0.08366796436334947,2.73557362594298,3.857420924574209,20414,qwen
stfdem,political,0.16756516221870393,7.496111291396383e-125,0.17590135168960042,1.405948655465137e-137,0.16771686449224002,0.15406351408559318,0.18151592468440295,0.19702978904582844,5.042601462062011,6.726072992700731,19835,qwen
polintr,political,0.17841854275558938,4.869883998648378e-146,0.17723954539703757,4.123151508799516e-144,0.17847859352569206,0.16532522432452287,0.19096820196221595,0.20688242990505756,2.634170119424811,2.2136727130875755,20473,qwen
psppipla,political,0.17830740193562622,1.1538206120497332e-143,0.18825533560584104,3.316643969219857e-160,0.17839770712017025,0.16542467569755073,0.19179261239046927,0.2954390316201819,2.1431972620405735,3.539907542579076,20161,qwen
psppsgva,political,0.12814470482830334,2.2509409681995918e-74,0.13407948575425896,2.6266930586716365e-81,0.12811292357006449,0.11425416756136007,0.14131646510499582,0.2799914473102336,2.198478217624826,3.7849829683698295,20108,qwen
actrolga,efficacy,0.23352020455128095,5.0996631859642555e-248,0.24154938895534317,9.586501894309683e-266,0.23367682973895673,0.22114851596943613,0.2464893943096945,0.23444734855137822,2.096441669144613,3.03820194647202,20178,qwen
cptppola,efficacy,0.18162835878134662,4.142652886221244e-149,0.1896630947145328,1.1761959177494063e-162,0.1810750554372472,0.16718955279276032,0.19478925881751996,0.2094867096931526,2.1460947185717827,3.110861313868613,20165,qwen
trstplc,inst_trust,0.21450896809611264,7.405589953001972e-210,0.19689404194130902,1.7750135987461744e-176,0.2141738539332264,0.1997430339337964,0.22858046898788612,0.24037947994044884,6.281821317695758,7.321383035670836,20292,qwen
happy,wellbeing,0.2057569839995802,1.538743360835831e-194,0.17604108356322637,3.936342032712046e-142,0.2056847333923871,0.1896244157794399,0.22218456124254415,0.15582595100275878,7.3663588841663,7.556036790111441,20468,qwen
stflife,wellbeing,0.2043618078634855,1.7893100547642525e-191,0.17808364226750958,3.801042211373384e-145,0.2046870907964597,0.18949890822906673,0.2202627330471061,0.12286745238401317,7.055620838229534,7.648189781021897,20424,qwen
imsmetn,immigration,0.0641942754071605,8.381671765070773e-20,0.060179503008457993,1.3724453084447093e-17,0.06396690030518817,0.049291160338421194,0.07900716353703392,0.1757802306660121,2.028021102926538,1.9549878345498783,20092,qwen
impcntr,immigration,0.07579433239086103,6.294361339448303e-27,0.0705546942509398,1.527772367068455e-23,0.07571800989450128,0.06210738197573036,0.09038069845534176,0.2050166910526569,2.4483532934131738,2.0554744525547446,20040,qwen
imdfetn,immigration,0.05426327344397652,1.433217356524738e-14,0.04523923285623078,1.4315014101710125e-10,0.054328079164439706,0.04023228855972643,0.06882125426953248,0.2303539376859627,2.3755915317559153,1.9298749330867682,20074,qwen
gincdif,values,-0.005445525583932065,0.4395382987132124,0.002737384617959695,0.6976017238824934,-0.005456641870892131,-0.021814091587738775,0.009569657420088246,0.015498545056191648,2.0931963674259344,3.0008272506082725,20151,qwen
freehms,values,0.07866831157351262,7.113588268704326e-29,0.08273289792831456,9.09051714688816e-32,0.0783363078799355,0.06485551767592194,0.09119518913402373,0.2527333082732998,2.1362388298137884,2.7989294403892946,20031,qwen
hmsfmlsh,values,-0.01999458797793936,0.005013086812567251,-0.028430321253817066,6.592471355935169e-05,-0.020308814114584857,-0.03571829985681693,-0.004557733371643513,0.011630962371339532,3.8118399675060926,3.001265206812652,19696,qwen
hmsacld,values,0.07319531413581305,5.466426250941651e-25,0.08036838491169801,8.38028383197729e-30,0.07329766555880828,0.059048229514752706,0.08760607786157638,0.03297700601383928,2.852607709750567,3.014793187347932,19845,qwen
health,health,0.13832187622478967,3.34202869506526e-88,0.1371167698095095,1.085009432253702e-86,0.13834569413795975,0.12589537221156605,0.15058467522796076,0.6281667375846459,2.185986454222092,2.626015864518955,20522,qwen
rlgatnd,religion,0.10269245627248155,5.237160183489218e-49,0.11189330210968168,6.675416056481221e-58,0.10255797302459499,0.08834241897271854,0.1154230131656799,0.8715955756781748,5.397963180571876,5.481751824817518,20424,qwen
aesfdrk,safety,0.08448569276460609,1.5591899531762782e-33,0.08307768253124755,1.7744152227018562e-32,0.08448703652586315,0.07031999496744464,0.09808714944118456,0.3486086471644977,1.89283430875916,1.9868126520681266,20333,qwen
hincfel,income,0.3913848637278506,0.0,0.3867834155349529,0.0,0.3913353819435051,0.37958430658199716,0.40246139812830356,0.5697676939607847,1.948062206862503,2.1205839416058394,20255,qwen
