variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.10827537158794674,2.0979943940532064e-54,0.11184976225129613,5.8830206320106564e-58,0.10796412095449841,0.09502621873019976,0.12274141753633235,0.4879263982530629,5.072474377745242,6.530989278752436,20460,qwen
pplfair,social_trust,0.04260588839697636,1.1367273606151214e-09,0.045638965002086994,6.899515773376474e-11,0.04269773878834002,0.02917122014817544,0.05698740033882845,0.15151901687578267,5.636777892106424,7.201099810209744,20408,qwen
pplhlp,social_trust,0.03363223321737001,1.5074854010559985e-06,0.030328146343614384,1.4414834440697211e-05,0.03356605422118543,0.018808961587223845,0.0484345529625105,0.389415424011894,5.043355141099502,6.483500226315239,20447,qwen
sclmeet,social_trust,0.035020536513777054,5.315666014050174e-07,0.027247168564488743,9.578784170306935e-05,0.03514808458343932,0.020116619502690527,0.048617460592614466,0.2131118758101916,4.801034348165496,3.832975616878376,20493,qwen
inprdsc,social_trust,0.03065359347290276,1.1848080939614786e-05,0.03004368045679537,1.761407530071376e-05,0.03023953154339069,0.01654617546095022,0.04360810079483314,0.13578663380406442,2.73557362594298,2.8425227504988078,20413,qwen
stfdem,political,0.11836679923334634,8.344532237686633e-63,0.1229783673749093,1.100389624496036e-67,0.11806896731901194,0.10276682754822383,0.1324058461063573,0.2604616791101216,5.042601462062011,6.386191287417863,19832,qwen
polintr,political,-0.04989415751226568,8.653347597337431e-13,-0.05831903821851586,6.289072333967245e-17,-0.049441108678890525,-0.06439200971031128,-0.03518369673567223,0.18563321952648057,2.634170119424811,2.884087591240876,20515,qwen
psppipla,political,0.056248726406146345,1.3238052382516523e-15,0.06196606555669053,1.294299493422743e-18,0.056135551592182927,0.042917486099396204,0.07055096541551949,0.379483513378832,2.1431972620405735,3.381913961749963,20160,qwen
psppsgva,political,0.05244825191641429,9.920051314147823e-14,0.06036729819116046,1.0573170755109995e-17,0.0526847982836094,0.03976158959680872,0.0657394943643048,0.49479304926178375,2.198478217624826,3.6529440389294403,20108,qwen
vote,political,-0.01624661536045518,0.02052440963881638,-0.0158201610403462,0.024082888267309723,-0.01632717754940655,-0.028384281583196624,-0.003857021160320991,1.341475909611659,1.327316545347236,2.2011678832116788,20332,qwen
actrolga,efficacy,0.0712423094147833,3.977321794696438e-24,0.07990802153736946,6.0109142823573315e-30,0.07112176547402506,0.05706800112995066,0.08481471086309905,0.13806057401346356,2.096441669144613,3.0823357664233577,20178,qwen
cptppola,efficacy,0.04989211705396481,1.3524883273493685e-12,0.053599721165180574,2.60945009246565e-14,0.0497148804222321,0.03681789572281358,0.06364405792973177,0.19654597660905132,2.1460947185717827,3.145214111922141,20165,qwen
trstprl,inst_trust,0.14540770418693832,2.6611543368320578e-95,0.1484650887549012,2.586696463696629e-99,0.14529501373756176,0.13151133987276797,0.15869541709694332,0.4717181346346115,4.434262156658223,4.47262967842678,20078,qwen
trstplt,inst_trust,0.10474341110841612,3.278154527330148e-50,0.11015557443028315,2.246783332020226e-55,0.10459425710735565,0.09113154393164961,0.1179367259723548,0.4404953860138732,3.5989611674499136,3.7668001982499693,20128,qwen
trstlgl,inst_trust,0.17271136114617977,1.035341233103373e-133,0.16477892825394277,1.0027382168313993e-121,0.17244863712530872,0.15941518163713286,0.18640288515908224,0.2354448304610391,5.292433537832311,6.733530100497609,19999,qwen
trstprt,inst_trust,0.13422005689465852,2.387495786100989e-81,0.1379634701058282,6.931908836133429e-86,0.1344661758970982,0.12074093303087764,0.14832223203636624,0.5980627369432285,3.5845290700561043,4.695289006053504,20076,qwen
trstplc,inst_trust,0.13584644507657773,5.5111460654013385e-84,0.12216050058861873,3.726632869183761e-68,0.1359555859617218,0.11967878191103712,0.15164698987562272,0.14622217580635047,6.281821317695758,7.357714257841081,20244,qwen
trstep,inst_trust,0.031852102121345816,1.1134707386642317e-05,0.02830085881037383,9.469899315333188e-05,0.0318563377394382,0.018246916851390606,0.04648526486216509,0.4243250664228049,4.614031413612565,5.78130526110107,19022,qwen
trstun,inst_trust,0.04502866263938872,5.842435020385027e-10,0.028969604916058583,6.771263875468594e-05,0.04479335190395308,0.030076815602283122,0.05867157832977089,0.2246911881457283,4.969870950750592,6.677948793120297,18909,qwen
happy,wellbeing,0.11002384526003335,4.514352237475066e-56,0.09230643555196613,6.375907697989918e-40,0.11016403072561846,0.09408053579874372,0.12595986756001862,0.16785358255131813,7.3663588841663,7.437670565302144,20439,qwen
stflife,wellbeing,0.10584298631721896,5.860315567152397e-52,0.11359811907391937,1.2582148145184374e-59,0.10558468289976995,0.0902153557399379,0.12119922972275955,0.0972632011815769,7.055620838229534,7.643135250888207,20421,qwen
stfeco,wellbeing,0.10473345108158921,2.9976057416882137e-50,0.10397561345012304,1.511631470972717e-49,0.10499301928383553,0.0911988732442303,0.11818610638284947,0.3434319442593456,4.443766433497048,5.848191245922392,20148,qwen
stfgov,wellbeing,0.06217619426582846,1.6659709121274602e-18,0.07411776051811095,1.2114298238244065e-25,0.06218012856285544,0.04842941531336816,0.07706116285813013,0.3087266451028968,4.079756759473314,6.379584834030954,19895,qwen
stfhlth,wellbeing,0.09076808978744735,1.7386241309091483e-38,0.09676630528398505,1.5823791078116469e-43,0.0904985933536423,0.07565307646071537,0.10485234693577448,0.1276429106989042,5.169177174819685,6.9430173044114065,20346,qwen
stfedu,wellbeing,0.05482459960714285,1.5554355812343047e-14,0.050277008395902864,1.8577813105554956e-12,0.05432828185470462,0.039134243218390485,0.0691629409097459,0.22329225497208313,5.295611891671757,6.706633523419603,19611,qwen
imueclt,immigration,0.03760830797465181,1.1112958847063822e-07,0.015431927798270777,0.029465075428169597,0.03732601461970062,0.022491276828024195,0.05206522797070142,0.28125238741243064,5.450468977278427,6.9544253825908955,19905,qwen
imwbcnt,immigration,0.0691415715304,1.9748445259571963e-22,0.06993032446074553,6.554585636018934e-23,0.06928739351352917,0.055418351126302445,0.0835061123728719,0.9321668200224665,5.119836997534839,4.847026947861746,19812,qwen
imbgeco,immigration,0.04118666547626572,6.45215605965026e-09,0.026807774500073833,0.0001586021758736817,0.041342722945867966,0.026637712254953847,0.055981684361703477,0.22456941378808412,5.385114081817268,6.699819512195122,19848,qwen
imsmetn,immigration,-0.020781345001139703,0.0032210749612588897,-0.013926094462184114,0.048388043125078085,-0.020879018762795284,-0.035206356807312204,-0.00751764274805295,0.4296653032949991,2.028021102926538,2.9160097323600973,20092,qwen
impcntr,immigration,-0.03588535506827557,3.7576867900141757e-07,-0.03874633661128378,4.1065641031813525e-08,-0.03579045899454338,-0.04892380273125203,-0.021461653615028883,0.6164307620718589,2.4483532934131738,2.7021318018105713,20036,qwen
imdfetn,immigration,-0.0472676554689913,2.0793645640006675e-11,-0.0460575165074886,6.638133919622942e-11,-0.04723867548422876,-0.06077875435091916,-0.03335528255357077,0.4702872763273517,2.3755915317559153,2.7949778578032993,20074,qwen
gincdif,values,0.03409035509848831,1.296718615037998e-06,0.03848272138294193,4.646476122640749e-08,0.034134832798106717,0.0202711203610485,0.0476131344867933,0.37085135450213547,2.0931963674259344,3.5146357486982334,20150,qwen
freehms,values,-0.16435538547113157,7.391364476578615e-121,-0.17930315679290243,7.80039018398138e-144,-0.16423814544752388,-0.1781338233153403,-0.15019398605076173,0.5895406056386525,2.1362388298137884,3.979341668294589,19958,qwen
hmsfmlsh,values,-0.007567576109241027,0.28828470572401715,-0.011532262218422207,0.10560818763478473,-0.0073876617387127015,-0.02142048525293386,0.005974616994827927,0.11844858322812597,3.8118399675060926,2.957655991433856,19692,qwen
hmsacld,values,-0.05821484298353587,2.325334339874944e-16,-0.06762402794090235,1.5306347038042548e-21,-0.05807144464842198,-0.07133527496257912,-0.044030988693920095,0.2282062344898722,2.852607709750567,3.0707119898704587,19829,qwen
euftf,values,-0.004311717391055316,0.553742217324999,-0.005860169311852736,0.42092008651721635,-0.004895945478867938,-0.02033338854211638,0.010116916874274517,0.29888889749271885,5.438139140571186,6.340584225900682,18864,qwen
atchctr,attachment,0.028248461352915286,5.374692231359289e-05,0.050166481806406614,7.208027645344184e-13,0.028323917462906516,0.014260188760471137,0.04089524415271378,0.16487607657697284,7.8790843279201725,7.514848352076335,20435,qwen
atcherp,attachment,0.05690830438865409,5.394749734986741e-16,0.03962347899301007,1.7104677873156154e-08,0.0560374748011725,0.04216115098703806,0.07068403685049998,0.25674326086839006,5.796030217745519,6.7518332765252955,20240,qwen
health,health,-0.07942605759906089,4.417337375087902e-30,-0.08853825400155661,5.377398181773799e-37,-0.07940240628323257,-0.09258737687166092,-0.06586087254952486,0.3486807604721837,2.185986454222092,3.316912601945322,20521,qwen
rlgatnd,religion,0.0005203530804247384,0.9407235821357258,0.0011880881417385774,0.8651812793220456,0.000566207650690838,-0.013934120891241913,0.01419033907304794,0.15040284079893584,5.397963180571876,2.9901216545012166,20424,qwen
aesfdrk,safety,-0.04175373895417769,2.586282723394623e-09,-0.041212335356286406,4.137101497588701e-09,-0.042037999346443145,-0.057330767836157016,-0.028027652351794018,0.4494965175169289,1.89283430875916,2.723159277823738,20332,qwen
hincfel,income,-0.025669939593418418,0.0002585550178215826,-0.028480292175202673,5.039468261397825e-05,-0.025702949058842555,-0.03921115692981764,-0.011837887886495719,0.35165268032811736,1.948062206862503,2.7515450873521825,20254,qwen
