variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.09442022223611965,1.0709045826708495e-41,0.07891396774278008,1.3333531911278156e-29,0.09445203587981098,0.08008625200898552,0.10830379354655263,0.4330492424240513,5.072474377745242,6.973104693140795,20438,qwen
pplfair,social_trust,0.05089702952626653,3.4579230055284397e-13,0.05760749960112053,1.781450917884167e-16,0.05103953746879894,0.03717145128013849,0.06424563247814578,0.1491926210909169,5.636777892106424,7.208214511655068,20408,qwen
pplhlp,social_trust,0.03371287197294381,1.460328274208156e-06,0.02497435634512803,0.0003601948684759811,0.033439609011901655,0.01833880058564007,0.04778473251800967,0.31634719441720827,5.043355141099502,6.806032924625079,20403,qwen
sclmeet,social_trust,0.02961159260978885,2.2352741902085226e-05,0.023665184635037223,0.0007033343985995319,0.029649877604768456,0.01594586151319009,0.04316810417472946,0.20521418777206757,4.801034348165496,3.87960097323601,20496,qwen
inprdsc,social_trust,0.0462824420901283,3.693901892290604e-11,0.04205467148385354,1.8442739516004955e-09,0.0465779681276136,0.032268502470501524,0.05977869990504832,0.11909835995991354,2.73557362594298,2.897615571776156,20414,qwen
stfdem,political,0.08207674942889412,5.367406136896129e-31,0.07651064237863864,3.844727783230257e-27,0.08207906765167045,0.06737083423164242,0.09566796582693962,0.22854671739498375,5.042601462062011,6.6824913612692844,19832,qwen
polintr,political,-0.09675934982033255,7.217189819464697e-44,-0.10748234103228055,9.008919252398081e-54,-0.09678910399211904,-0.10990792762571237,-0.08333811368097979,0.19422385973685083,2.634170119424811,2.8686131386861313,20515,qwen
psppipla,political,0.06457113226310533,4.4151023284329663e-20,0.07021858010729969,1.8274432760195152e-23,0.06465526983160541,0.05168950569984711,0.07856326234538304,0.33664859611864434,2.1431972620405735,3.3466593673965934,20161,qwen
psppsgva,political,0.07436610083662819,4.601801028438237e-26,0.08182383141775189,3.200566560531727e-31,0.07438695574955778,0.05983320542472333,0.08865724741413077,0.4687709280086499,2.198478217624826,3.5650024330900236,20108,qwen
vote,political,-0.01896597519774996,0.0068419320579906125,-0.02195229846475911,0.0017458622185092857,-0.019161795886134442,-0.03246880924020133,-0.005978587732283243,1.0675609637891672,1.327316545347236,2.117493917274939,20332,qwen
