variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.09120642524805887,4.931000985232466e-38,0.10656632420546201,2.337193826283417e-51,0.09133395505435811,0.0780415983347903,0.10576445562806906,0.24711111203127595,5.072474377745242,6.910129753018386,19902,qwen
pplfair,social_trust,0.060679553537466596,5.5410641593415116e-18,0.06364026802787537,1.25605452948669e-19,0.06041810595902687,0.046886230684429375,0.07468708917185471,0.11657045965298517,5.636777892106424,7.209853835589563,20247,qwen
pplhlp,social_trust,0.024253702192759,0.0006348459703686838,0.027924447308969504,8.371546862831552e-05,0.024018533521150374,0.010187823975796866,0.03835813530540348,0.24282860259280029,5.043355141099502,6.903868957893678,19837,qwen
sclmeet,social_trust,0.02611827027038805,0.00020791748338774678,0.028717067848215712,4.5344383059645505e-05,0.026048071445450988,0.012641216885663293,0.03981905964314145,0.36748654823669347,4.801034348165496,3.6690903694910224,20164,qwen
inprdsc,social_trust,0.014822158371003556,0.034764574920270123,0.012431986154722786,0.07662161923935548,0.014928956821380705,0.0013468012077206765,0.02819408735149246,0.1693080900010667,2.73557362594298,3.0437561214495594,20286,qwen
stfdem,political,0.09772689985781485,9.664185471553396e-43,0.10163194599132615,4.236055661601778e-46,0.0977994195731562,0.08309062593183986,0.11258248893407324,0.12626672812075487,5.042601462062011,6.981152271494105,19571,qwen
polintr,political,-0.01383824744012477,0.047681325429265814,-0.012755777326213587,0.06795767490677097,-0.014109775823026562,-0.028416177909940516,-0.0005894860709183828,0.31483598667927815,2.634170119424811,2.886286076443058,20477,qwen
psppipla,political,0.06765521500379859,6.889597851832021e-22,0.07478089796776756,2.1439150065291156e-26,0.0674721497703988,0.05436338835509469,0.08015636658937622,0.31528612983846266,2.1431972620405735,3.470597525095189,20155,qwen
psppsgva,political,0.05347525446484531,3.28482137635581e-14,0.05969462964742887,2.4452559886891204e-17,0.05398307100184583,0.03963301951094026,0.06800016636976192,0.2993463120576116,2.198478217624826,3.6632551233996984,20101,qwen
vote,political,-0.03213581406520699,4.707781946203568e-06,-0.031536033136563384,7.058055175954302e-06,-0.03208382114086553,-0.0456667379275426,-0.018051301291814686,1.2456136729364504,1.327316545347236,2.1098590175130494,20281,qwen
actrolga,efficacy,0.06587151303975805,8.970869977157977e-21,0.07546349083752264,8.907857998929574e-27,0.06577966366255009,0.05235607516752626,0.07813812434527097,0.2636982184053468,2.096441669144613,3.356333072713057,20096,qwen
cptppola,efficacy,0.009497148736006582,0.17762394135195125,0.017021755759178765,0.015677622273419064,0.009030765905477963,-0.005416587227765505,0.02310988873293233,0.3783132087020049,2.1460947185717827,3.4544657640985683,20151,qwen
trstprl,inst_trust,0.11971878447240406,2.35564360987113e-64,0.11986028136093366,1.671757548684643e-64,0.1193265824408442,0.1052122305448742,0.1334727738980562,0.15483179045242465,4.434262156658223,6.852462653453631,19876,qwen
trstplt,inst_trust,0.10344495831167008,9.104431405856617e-48,0.1164430119976488,3.9539413465884677e-60,0.10301428460797461,0.08901319115687242,0.1170515575601927,0.4599148502578594,3.5989611674499136,5.798870538627579,19598,qwen
trstlgl,inst_trust,0.11682029817563377,7.040842240115125e-61,0.11109499124418962,3.390511841089456e-55,0.11665972251544109,0.10167298873346575,0.13225484507658514,0.10912157620188952,5.292433537832311,7.408172553675671,19721,qwen
trstprt,inst_trust,0.08432334836752461,1.8506155889255412e-32,0.09055315118333233,3.4305788326452272e-37,0.08443539803343793,0.0700561500659083,0.09834177707829646,0.26383459760613487,3.5845290700561043,6.7377168132796585,19723,qwen
trstplc,inst_trust,0.076152583398203,6.681904399863409e-27,0.07448399409480523,8.371471572111119e-26,0.076358012617788,0.06112919412971176,0.09106426021159378,0.09545266648118661,6.281821317695758,7.594696479259001,19831,qwen
trstep,inst_trust,0.02349033985732224,0.0013632020432253538,0.034602626279882524,2.381973549631998e-06,0.023418932833430797,0.008755874614194383,0.037493000589734,0.09762579240853915,4.614031413612565,6.977612089671737,18582,qwen
trstun,inst_trust,0.04425029373649225,1.7785787198880752e-09,0.04466856145986536,1.2494418872349407e-09,0.04386814029347853,0.02888349422130241,0.05809099090566889,0.10548653031507244,4.969870950750592,7.1994895150392875,18473,qwen
happy,wellbeing,0.017140287409082567,0.01535705664875674,0.028564133449435515,5.348602437133884e-05,0.01723322255103664,0.00357684251610271,0.031930096962773914,0.18834113382744966,7.3663588841663,7.513404732254048,19997,qwen
