variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.08686196149262101,3.0723853923896563e-34,0.0987825857072804,8.020661652493218e-44,0.08658229125794559,0.07131086170184717,0.10173904781042654,0.25739998068381176,5.072474377745242,6.845424405335498,19658,qwen
pplfair,social_trust,0.05547025064678225,2.9293130643716432e-15,0.06337300356758573,1.8700550849575364e-19,0.055804226395960284,0.041308546643175195,0.06927838589915657,0.11861676185030413,5.636777892106424,7.250302048033006,20223,qwen
pplhlp,social_trust,0.03535953335742842,5.490045230332284e-07,0.0430218178113202,1.0974574559955158e-09,0.03543350507236407,0.0214264436656407,0.0498908874844207,0.24444575516764255,5.043355141099502,6.902524976390477,20052,qwen
sclmeet,social_trust,0.03144221309642148,7.441338578396875e-06,0.027261135210004225,0.00010249993304559559,0.0314963826978114,0.01717845522596989,0.04591139796766514,0.2723923289221658,4.801034348165496,3.694158396384003,20300,qwen
inprdsc,social_trust,0.02125129849046764,0.002439406585749848,0.02589226383094631,0.00022177030114411495,0.021374243200591673,0.008666771516499834,0.03431229202852955,0.1579523922158046,2.73557362594298,3.0319460726846423,20337,qwen
stfdem,political,0.11765757521086341,1.0533412530598371e-61,0.1268789319997462,1.5583723442694906e-71,0.11759207027748866,0.10326566201237634,0.13131260181493865,0.11545231533179273,5.042601462062011,6.923076546353886,19711,qwen
polintr,political,-0.007397542870041271,0.28959362706288844,-0.006320175060572964,0.36558358193220764,-0.00784361772240128,-0.022502816957737124,0.00628936154151471,0.17206117537822538,2.634170119424811,2.92524962252204,20496,qwen
psppipla,political,0.09763192696500299,7.08838484298733e-44,0.09826053177417571,2.012670093229404e-44,0.0975271090238872,0.08423669809907001,0.11159064777983084,0.28475956528726964,2.1431972620405735,3.4171827077552215,20152,qwen
psppsgva,political,0.05838275523672233,1.1854694500983306e-16,0.06356372082483525,1.8608770167586437e-19,0.058657327432473,0.04394228712931896,0.07122147734021389,0.28019420752330776,2.198478217624826,3.586926259430518,20104,qwen
vote,political,-0.021750135233688992,0.0019371433727341841,-0.020890362304252133,0.0029094493986152915,-0.0220358576969167,-0.035251909930393864,-0.008430458395547765,1.1036934087585726,1.327316545347236,2.1081555100847704,20308,qwen
actrolga,efficacy,0.05158381768685297,2.4753976333550173e-13,0.05585115068308763,2.2501113703194555e-15,0.05124747200391397,0.03790359252609369,0.06513069026715325,0.240305813504983,2.096441669144613,3.3528069319013913,20114,qwen
cptppola,efficacy,0.025012287784787725,0.0003830948991401328,0.03470425165857784,8.293666309138385e-07,0.02531045217140371,0.011967888297277875,0.03883682292315946,0.29544390272088833,2.1460947185717827,3.3929406037000973,20157,qwen
trstprl,inst_trust,0.11992482967022691,6.810957711662326e-65,0.11945156930164362,2.1550925307350647e-64,0.12003957091615443,0.10576921957633179,0.134595146437354,0.15848531407850158,4.434262156658223,6.7230369316788465,19978,qwen
trstplt,inst_trust,0.09549603642461789,1.995160536358259e-41,0.10538384321236954,4.0976560839190226e-50,0.09533008433600175,0.08219879686257718,0.1108639960442435,0.45042181794973496,3.5989611674499136,5.767393783154033,19843,qwen
trstlgl,inst_trust,0.12738981631809054,1.4303542178234136e-72,0.11966162506308135,3.435030406213744e-64,0.12737085978029664,0.11265755332529591,0.1426454801182391,0.1125111450876642,5.292433537832311,7.2061510473006205,19843,qwen
trstprt,inst_trust,0.07135640331444391,7.3891964068836e-24,0.07129836069071961,8.032570295625016e-24,0.07113043550744415,0.05700760619061387,0.08552820580029949,0.2739415613704379,3.5845290700561043,6.575749654764253,19873,qwen
trstplc,inst_trust,0.11039996903093083,3.42427970758541e-55,0.09799822765606223,8.235499862618034e-44,0.11036458238734315,0.09534005613705372,0.12593292651224194,0.0998770115473796,6.281821317695758,7.441687271288695,19970,qwen
trstep,inst_trust,0.03766604513006855,2.534542065604284e-07,0.04234037744140631,6.814976347573818e-09,0.03765335898038963,0.022880378769012086,0.05224578664201567,0.0900269735055013,4.614031413612565,6.892003375359872,18721,qwen
trstun,inst_trust,0.04254402607407183,6.3852507424278856e-09,0.04160439340219455,1.3628675516916732e-08,0.042523912512149355,0.02733989767636633,0.05682654586493867,0.10751270695496241,4.969870950750592,7.019447618101435,18612,qwen
happy,wellbeing,0.030822274256020618,1.1913780038357788e-05,0.04209462848409938,2.204941003999418e-09,0.03047243561825054,0.015894983061493843,0.044547545254629055,0.1997270366632378,7.3663588841663,7.400207356208345,20179,qwen
stflife,wellbeing,0.060142101182704036,1.0536823896422503e-17,0.05773772483698287,1.955040284257359e-16,0.05979705878754775,0.0457439231301876,0.07340427094021255,0.105839090516841,7.055620838229534,7.509035169470741,20261,qwen
stfeco,wellbeing,0.09071466569401021,5.4763597211047e-38,0.09221530726438527,3.339397367434909e-39,0.09087828718327919,0.0770514636946762,0.10537900327190242,0.17581101173087316,4.443766433497048,6.561280874743727,20094,qwen
stfgov,wellbeing,0.049119497411221714,4.686390470892359e-12,0.0453667508922505,1.7038391212879077e-10,0.04878467863067398,0.03484554565418656,0.06306371200369629,0.13929636872410756,4.079756759473314,6.869646874694317,19796,qwen
stfhlth,wellbeing,0.136051402264855,1.9392904409534782e-84,0.1424655550730114,1.7387880691289652e-92,0.1361907791320548,0.12234454841196604,0.14940341760703182,0.07717730404178622,5.169177174819685,7.319681344997801,20294,qwen
stfedu,wellbeing,0.0903131740195579,1.3773390261771179e-36,0.0887656237196319,2.131854222425246e-35,0.09028951175830614,0.07606795241558556,0.10486848929480365,0.08723779741967361,5.295611891671757,7.359119219263401,19491,qwen
imueclt,immigration,0.01972654578992194,0.005487714461296573,0.029581395635940737,3.117672070375215e-05,0.01962441021402433,0.0054893204552433905,0.03305632873924916,0.17307621286291952,5.450468977278427,7.361620563035496,19815,qwen
imwbcnt,immigration,0.05819002424514212,5.08696912690077e-16,0.0563471764218541,4.089144264843712e-15,0.05806352428245779,0.0438749511713081,0.07273753052161165,0.37248730138018904,5.119836997534839,6.5062500000000005,19391,qwen
imbgeco,immigration,0.022151034572595475,0.00190555832258103,0.02340563477465599,0.0010363982714343789,0.022086454676735118,0.007073308370100832,0.037067199957498846,0.15341799242456902,5.385114081817268,6.95878321747276,19641,qwen
imsmetn,immigration,-0.009171281626270988,0.1947449595859619,-0.0073799493879154075,0.29676466758270525,-0.009407501823104025,-0.022889560828732846,0.004540995198415239,0.30370449131713934,2.028021102926538,2.8864214439444336,19991,qwen
impcntr,immigration,-0.03368689451959199,2.0060551603074193e-06,-0.0333001734163792,2.624370763452553e-06,-0.034015690437327974,-0.0483595667416556,-0.021255729374916894,0.32675250692397384,2.4483532934131738,2.871061014457241,19897,qwen
imdfetn,immigration,-0.032603957691798705,4.020216766878106e-06,-0.027241785465877518,0.00011725666758077595,-0.03262492837434016,-0.045992868649706746,-0.018951640602513354,0.21307541038647704,2.3755915317559153,2.9104638091979864,19987,qwen
gincdif,values,9.992866685122137e-05,0.9886831339328486,0.0004968831231038695,0.9437729904618073,0.00016356519291210655,-0.013130017438342889,0.013581830094928393,0.262397626827641,2.0931963674259344,3.311693999708015,20150,qwen
freehms,values,-0.10006536903121967,1.3129695247177161e-45,-0.11250545746146505,2.9606997811910033e-57,-0.10013505046770772,-0.11269999697681035,-0.08749093350702734,0.4497726932228809,2.1362388298137884,3.546204539907249,19968,qwen
hmsfmlsh,values,-0.00806973378242613,0.25754452861300836,-0.01571863408643215,0.027420179437697468,-0.007990099001521402,-0.021787643896038364,0.005392745108641723,0.24301104232909584,3.8118399675060926,2.9238034957885,19687,qwen
hmsacld,values,-0.04422270096497563,4.80036848792865e-10,-0.054586672561733586,1.5125535008560542e-14,-0.04403252865444208,-0.058882769029165206,-0.030094894571830483,0.15110322721505343,2.852607709750567,3.0221897098268715,19801,qwen
euftf,values,-0.00705599351900627,0.33644098924861265,-0.005850254726459007,0.4254724480809761,-0.0075533539321437,-0.02182752916848657,0.007345355629093871,0.1760879199444719,5.438139140571186,6.767463144355397,18560,qwen
atchctr,attachment,0.015029708875022191,0.03235733369119238,0.020014017225057218,0.00437506849986243,0.014999716183250151,0.0009700577240848441,0.028668962758814233,0.18288564840578725,7.8790843279201725,7.171091373049367,20273,qwen
atcherp,attachment,0.02529862036112472,0.0003369676453243905,0.02439399765284777,0.0005465248893292134,0.025605162909170025,0.011345542881814396,0.039884862881389815,0.15361608135902424,5.796030217745519,7.105861561119293,20078,qwen
health,health,-0.1103577698131785,2.362912837546774e-56,-0.12220613729960399,8.799572698829162e-69,-0.10995270263816079,-0.12325269014384221,-0.096612964797964,0.30022567812328954,2.185986454222092,3.7270001877534296,20420,qwen
rlgatnd,religion,0.005728882113859453,0.4132403654535968,0.006788462683228803,0.33227674764963677,0.006003345804346132,-0.007709178223499103,0.01971174919150441,0.1969691518937123,5.397963180571876,3.177993764006626,20400,qwen
aesfdrk,safety,-0.0384955577654572,4.0817144865289254e-08,-0.04015827267404144,1.0375384324546193e-08,-0.038211563638402155,-0.05191702836191984,-0.02488595490619191,0.23873037907872685,1.89283430875916,2.887148565024607,20306,qwen
hincfel,income,-0.03647691844903242,2.129365661576551e-07,-0.04300492093967025,9.54322180434634e-10,-0.036522354453215826,-0.05126686309560622,-0.023366550515039435,0.1696214799737396,1.948062206862503,2.896464794226643,20215,qwen
