variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.09003838947471557,1.3490984041461035e-37,0.09592396356861696,1.8442887909666296e-42,0.09003371720824044,0.07586740460080481,0.10407566811815419,0.176145980727901,5.072474377745242,7.182625883283096,20178,qwen
pplfair,social_trust,0.05428374705468808,9.137737766082111e-15,0.058712252231230486,5.112662492505414e-17,0.05444262227998755,0.041538425983056196,0.06816266609856257,0.09311105220358964,5.636777892106424,7.511054737047517,20359,qwen
pplhlp,social_trust,0.02610284141849792,0.00019710945681231072,0.0374364576787849,9.293942147078876e-08,0.026242464987834575,0.011749358321446891,0.04043691995512848,0.1779368244891284,5.043355141099502,7.151193568942699,20335,qwen
sclmeet,social_trust,0.03892556861109337,2.7885383259741152e-08,0.03862033091419355,3.5754411387912376e-08,0.038856233355249965,0.02473496388176311,0.05278649450302657,0.2525736381851513,4.801034348165496,3.819401960784314,20347,qwen
inprdsc,social_trust,0.008292469225541568,0.2364012260674947,0.014958357208751405,0.032688120486466056,0.008403401128640004,-0.004998689437821401,0.02244995559159216,0.15683915977004936,2.73557362594298,3.0252862362971986,20389,qwen
stfdem,political,0.11423652473285693,2.751461968668168e-58,0.12205441782788617,2.441792439606138e-66,0.11415260262963435,0.09990983099555777,0.12889473788876105,0.1306487028036639,5.042601462062011,7.146447097973965,19724,qwen
polintr,political,-0.02933118565683785,2.6507500446340633e-05,-0.03683643902213723,1.3108907713364214e-07,-0.029212939768636197,-0.04332715572874108,-0.014965788486437924,0.30568295644009225,2.634170119424811,2.926245863344364,20513,qwen
psppipla,political,0.06284060537521452,4.2226637521488323e-19,0.06756567021694489,7.690664299193964e-22,0.06314082264894243,0.05001797940356396,0.07615038208084741,0.3043394315734028,2.1431972620405735,3.572144629908998,20161,qwen
psppsgva,political,0.03651516595207037,2.2265600646294575e-07,0.044224269398045336,3.5234245540311217e-10,0.03658028650197445,0.022472390014198124,0.05037487683709733,0.27056155357331246,2.198478217624826,3.754637469586374,20108,qwen
vote,political,-0.0417293675344906,2.6584887519698822e-09,-0.03762743052111571,8.052248640811407e-08,-0.04153622151912573,-0.05473957005299153,-0.027909626519741947,1.141097033661045,1.327316545347236,2.2789758068441803,20325,qwen
actrolga,efficacy,0.06002530253161471,1.4223715837025954e-17,0.0647067074223201,3.574215520643199e-20,0.06006561830011107,0.04619568266738225,0.07477039242932022,0.2574899628614538,2.096441669144613,3.396048277204594,20176,qwen
cptppola,efficacy,0.018125562370068352,0.010058320015713473,0.029441056046539325,2.900086126985152e-05,0.018008983155713493,0.004541957087864982,0.03085459829994736,0.44088017579707034,2.1460947185717827,3.6011777301927195,20163,qwen
trstprl,inst_trust,0.15334897794437258,4.482657540324484e-105,0.1556397182924856,3.2298845696755864e-108,0.1534432499388466,0.13932488758180725,0.1665192530204474,0.3873237992534637,4.434262156658223,6.089036446805371,19918,qwen
trstplt,inst_trust,0.12912430429616262,5.259363864943699e-75,0.1346142905800233,2.052745737525896e-81,0.12929877831784675,0.11452056769996675,0.14348930531282916,0.6111345881865063,3.5989611674499136,4.869932033096927,19974,qwen
trstlgl,inst_trust,0.12868262442344677,5.939302767825389e-74,0.1252322799717563,4.149789535243366e-70,0.12891827446766702,0.11408658479323595,0.14370824542611255,0.1339599933715937,5.292433537832311,7.413328739479254,19823,qwen
trstprt,inst_trust,0.10857744311959461,2.2126747896077105e-53,0.1175083586239917,2.826098764797551e-62,0.10863243968653989,0.0943228910303249,0.12248489777158122,0.5164151976361648,3.5845290700561043,6.153631092767295,19950,qwen
trstplc,inst_trust,0.09300468301186077,8.322033469500896e-40,0.08415257922638691,7.103607537724931e-33,0.09273566498783849,0.07739365142330745,0.10851887005086926,0.10427133479085456,6.281821317695758,7.659917335039118,20071,qwen
trstep,inst_trust,0.02868282547336356,8.865415961137152e-05,0.030845536222262618,2.493363210851526e-05,0.028734350549951635,0.013695131547155905,0.04479555715940541,0.1587160913360529,4.614031413612565,6.810394265232974,18670,qwen
trstun,inst_trust,0.04828612924463991,4.424861766907924e-11,0.04722934151343175,1.158040133705087e-10,0.048241621965391696,0.03277630711511664,0.06401250593574696,0.15756396298527864,4.969870950750592,7.094187779433681,18602,qwen
happy,wellbeing,0.025360069237431344,0.00031391309386859576,0.0279050429005301,7.330308871796386e-05,0.025135787442950103,0.011016384151423734,0.039345583643532654,0.15866840532158472,7.3663588841663,7.593989340702724,20187,qwen
stflife,wellbeing,0.03997514898024521,1.29098557454165e-08,0.04563342199309582,8.412010773096253e-11,0.039674298198781856,0.025005023308971735,0.053969699280250534,0.06980627068574662,7.055620838229534,7.813133199036997,20227,qwen
stfeco,wellbeing,0.09075332218693344,4.810142063027336e-38,0.0893332206507475,6.52543703316824e-37,0.09085144898782678,0.0777304072080226,0.10524488590255746,0.20504110706304532,4.443766433497048,6.510000975704947,20108,qwen
stfgov,wellbeing,0.05844062619971649,1.842393597755078e-16,0.06411770875037404,1.6677671742522126e-19,0.058632346186967096,0.04446001911578407,0.07250326392885369,0.1863902132846012,4.079756759473314,6.940099227685992,19810,qwen
stfhlth,wellbeing,0.12789570464610234,3.186281551632343e-74,0.13001597302122941,1.1583738233487904e-76,0.1280234181698955,0.11503142146031908,0.1414720831244754,0.08853177960635324,5.169177174819685,7.484162071681764,20145,qwen
stfedu,wellbeing,0.05814495928794316,5.857878489444646e-16,0.062498780137392185,3.3388108967827717e-18,0.05815558735776584,0.04357113425862273,0.07278283924903352,0.08537899205962166,5.295611891671757,7.629589718240237,19339,qwen
imueclt,immigration,0.03561517107295888,5.198286138551969e-07,0.03930657246995369,3.034803676128348e-08,0.03571403607455776,0.021513367570264372,0.04924190224602961,0.14107534813347075,5.450468977278427,7.641225068439577,19848,qwen
imwbcnt,immigration,0.04541253638264817,2.0370558079433657e-10,0.05065616235386326,1.306560637192431e-12,0.04538925056820818,0.0314843900162428,0.059678846728577616,0.5040323222867649,5.119836997534839,6.523787175180318,19587,qwen
imbgeco,immigration,0.007674233285001296,0.28053153199278924,0.01495974806427942,0.0354064994827567,0.007719996573555096,-0.006516172460912435,0.021867539980498635,0.1922447495195339,5.385114081817268,7.002888616891065,19775,qwen
imsmetn,immigration,-0.006641993855394006,0.3465207893230018,-0.00080320258201392,0.9093682836025831,-0.006588970022559814,-0.020074223759373018,0.006819459314474495,0.37956907185686384,2.028021102926538,2.8727794811894682,20089,qwen
impcntr,immigration,-0.0038455875967471713,0.5865305090587789,-0.0021903731529303765,0.7567301404439696,-0.0040761714086552155,-0.017794583567374348,0.009440118196137793,0.4362615332720021,2.4483532934131738,2.8209828393135727,20004,qwen
imdfetn,immigration,-0.01368537893214102,0.052554250416868536,-0.012814748496168904,0.06948882426787845,-0.01409458937741303,-0.02775655533821183,-0.0006814052463116824,0.19061258565118297,2.3755915317559153,2.9304805024098144,20066,qwen
gincdif,values,0.015936967921761462,0.02368091210463581,0.015609081016488275,0.026710860772543508,0.01583998624519141,0.0015516652503582177,0.03066982375608218,0.34622128638823363,2.0931963674259344,3.3613314516521484,20150,qwen
freehms,values,-0.15867111813673987,4.456501820186442e-113,-0.1823800859413414,2.302216748850283e-149,-0.15868773520160506,-0.17313714730963928,-0.14558597740242074,0.5846678859647426,2.1362388298137884,3.7306082725060827,20031,qwen
