variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.09166084007606648,1.0764418088614161e-38,0.10733964943438455,1.7203359035880555e-52,0.09154857137524343,0.07718377900754735,0.10545817478207518,0.22708126741936685,5.072474377745242,6.8831718105461945,20063,qwen
pplfair,social_trust,0.06027509312667639,7.554353321315675e-18,0.0631090308562905,2.0308646129142196e-19,0.06021854192926226,0.04623986911494803,0.07448071899615133,0.12114544506636026,5.636777892106424,7.249655980090763,20352,qwen
pplhlp,social_trust,0.047835038054457046,1.0213847631654094e-11,0.04710196291390526,2.0974133770430404e-11,0.04760163830998064,0.03399161498671575,0.06123945678329629,0.24572038832510246,5.043355141099502,6.935217519976325,20208,qwen
sclmeet,social_trust,0.03226086170996294,4.311064940926462e-06,0.027289993020023415,0.00010133667976212085,0.03238325968243898,0.018752689236771394,0.04701822653845307,0.31267863334843576,4.801034348165496,3.7788839724680434,20286,qwen
inprdsc,social_trust,0.013212839206922906,0.059547609115207775,0.015303359761524164,0.0290899356852929,0.013507272985503466,-0.0005585578239865909,0.028409859881515433,0.1660677289998344,2.73557362594298,3.0896634263103904,20335,qwen
stfdem,political,0.0851104932500753,6.140680163296867e-33,0.09570514138184864,3.110572785969118e-41,0.08515113007339276,0.0708055907095599,0.1002309521638862,0.12457817962766655,5.042601462062011,6.997643362136685,19660,qwen
polintr,political,-0.012568395958546948,0.07190089107939719,-0.01599694010815623,0.021977568001441048,-0.012473366132521488,-0.026898008709044643,0.001233652435788193,0.30654656159731,2.634170119424811,2.9069178715739254,20506,qwen
psppipla,political,0.07990518139792235,6.441501995700714e-30,0.08585941623218948,2.681411135642425e-34,0.08022002909848439,0.06563747637555614,0.09450775852825581,0.31545758948231784,2.1431972620405735,3.5148885427820495,20158,qwen
psppsgva,political,0.05084092040886251,5.456533113138325e-13,0.05951755170832044,3.001617503460801e-17,0.050918110075638054,0.03703446683880917,0.06402070091634438,0.29278912381653494,2.198478217624826,3.7393668791668695,20107,qwen
vote,political,-0.0250073234689772,0.000365441512813914,-0.0255938773455017,0.0002648269899914947,-0.025017713954390265,-0.038997328433322986,-0.01152359655994365,1.3366971025560728,1.327316545347236,2.1512936705160066,20306,qwen
actrolga,efficacy,0.058856147107612555,6.252526517885018e-17,0.06786829516411046,5.248458804325231e-22,0.05868818579901495,0.044263485199905736,0.07284624122681511,0.2614096060388923,2.096441669144613,3.3440485474751416,20145,qwen
cptppola,efficacy,0.019464747299640518,0.005713072504988087,0.03057137053702151,1.4154579220138448e-05,0.01931130430470902,0.005860560934521896,0.03278309647271417,0.36869298425558866,2.1460947185717827,3.449063032367973,20160,qwen
trstprl,inst_trust,0.1450813727489425,1.0575302468943465e-93,0.1534136202182465,1.1238373969783236e-104,0.14502056946514716,0.13078589302868351,0.15904769873927477,0.30529942272189303,4.434262156658223,6.318145878632141,19824,qwen
trstplt,inst_trust,0.12525286403651975,5.409940242282133e-70,0.12989535814615724,3.509812343870754e-75,0.12536353897217808,0.11153716015056826,0.13917767027715733,0.5524411065808624,3.5989611674499136,5.088430368418436,19783,qwen
trstlgl,inst_trust,0.1237677766929598,4.177406318298481e-68,0.11397944466882375,5.688089489834802e-58,0.12402712111073916,0.10862499120122678,0.13878036664759505,0.1315289087880294,5.292433537832311,7.320689313657522,19703,qwen
trstprt,inst_trust,0.10337582891681257,2.9526096701864855e-48,0.11308231444649736,1.8900433627592897e-57,0.10327216187207819,0.08921135114569965,0.11825259888337615,0.3952989271653328,3.5845290700561043,6.327148292731136,19833,qwen
trstplc,inst_trust,0.11042711814995716,4.77911587338204e-55,0.11071903048197732,2.4873812870012358e-55,0.11064131497468745,0.09567736936679333,0.12554504145080322,0.11911711154736856,6.281821317695758,7.57031459336079,19906,qwen
trstep,inst_trust,0.02566851283881089,0.0004716688422309604,0.03640506122755319,7.063108608192029e-07,0.025562556742521572,0.00968918386969388,0.040633130172126455,0.15742092198831167,4.614031413612565,6.778642234905377,18550,qwen
trstun,inst_trust,0.03899794963834931,1.1296981948860782e-07,0.043933175637434416,2.280885141432442e-09,0.03873126822330835,0.024738918220920187,0.05416783738452099,0.151873184168794,4.969870950750592,7.080230873019839,18490,qwen
happy,wellbeing,0.021202090922315384,0.002677288148252524,0.029442413548030514,3.046752458178149e-05,0.021251439057926702,0.007522666316346185,0.035216183713525785,0.21801739168762474,7.3663588841663,7.50525505389162,20053,qwen
stflife,wellbeing,0.0434662596058438,6.120790642613289e-10,0.05568159674068558,2.2179189123970443e-15,0.0436305901070818,0.030050128346374674,0.05824337440373555,0.09313129939080625,7.055620838229534,7.752410407461952,20246,qwen
stfeco,wellbeing,0.08803169414374669,8.030774887792577e-36,0.09063246618850854,7.100719293693078e-38,0.0880099588451219,0.07370651464328955,0.10143582206485732,0.2367468124628794,4.443766433497048,6.362697947214077,20068,qwen
stfgov,wellbeing,0.04745479055091163,2.4454335165428334e-11,0.05638200608152091,2.1142718791993626e-15,0.04722808903913638,0.03357771007520222,0.06173800171133812,0.16153741822785858,4.079756759473314,6.9461489497135585,19775,qwen
stfhlth,wellbeing,0.11504141583212107,2.5548445802461453e-60,0.11413556956438418,2.1428082020162496e-59,0.11488604334461784,0.1018846075356821,0.1283353786069702,0.08761571056921492,5.169177174819685,7.374417917794732,20147,qwen
stfedu,wellbeing,0.07196133701050147,1.1371803663446438e-23,0.07478304772922752,1.9412968522326497e-25,0.07213383065375945,0.0588526237393288,0.08545171306314692,0.08934418628902974,5.295611891671757,7.417975033305374,19375,qwen
imueclt,immigration,0.02961955030965999,2.999005482977353e-05,0.03276033072369657,3.906050632385468e-06,0.029955608401178953,0.016347568052823436,0.04334373448238709,0.1645048000976402,5.450468977278427,7.50765019308794,19848,qwen
imwbcnt,immigration,0.05017003517696356,2.5509540461035496e-12,0.052453746247278,2.4878012498164254e-13,0.05001212862884173,0.036003399885819486,0.06521637986903417,0.4956834073686749,5.119836997534839,6.379587270014918,19448,qwen
imbgeco,immigration,0.02556607043838114,0.0003342750442577556,0.03227994287170007,5.9083348346020005e-06,0.025507064283108383,0.011406152124287302,0.03939935880042903,0.15269904377806112,5.385114081817268,7.059206966104196,19683,qwen
imsmetn,immigration,-0.005066594398772154,0.47311781585018114,-0.0031219588267800994,0.6584466847197709,-0.005055914590802725,-0.018585246419319627,0.009237260281772136,0.48022578678827516,2.028021102926538,2.830854746696572,20052,qwen
impcntr,immigration,0.00602010334381679,0.3953104893342374,0.006614258211105214,0.3503444093760552,0.0061375282611642245,-0.007529876121313176,0.019628003462556706,0.40398556801251617,2.4483532934131738,2.8368464811463783,19939,qwen
imdfetn,immigration,-0.019091935772539585,0.006887314854513449,-0.013946370734308705,0.04839713004216261,-0.019270215431379818,-0.034159528311088296,-0.006040279597983147,0.27833615447171944,2.3755915317559153,2.899487929773226,20032,qwen
gincdif,values,0.0133232366650921,0.05859014557909204,0.014183663611600537,0.04407180407210317,0.013338032025933323,-0.001072197559754245,0.02729464633384441,0.35296706201455336,2.0931963674259344,3.39654501216545,20151,qwen
freehms,values,-0.10827265047294038,2.907676552594935e-53,-0.13433718385880256,2.9640625930766597e-81,-0.10825207936127516,-0.1209460207717453,-0.09522024239842669,0.6680188666061019,2.1362388298137884,3.7452154857560265,20017,qwen
hmsfmlsh,values,-0.020183872279365658,0.004626199033807869,-0.023552295813636485,0.0009507403847147983,-0.020113289682187018,-0.033748565341404066,-0.006438212942560761,0.35813102611155695,3.8118399675060926,2.9168411315059157,19685,qwen
hmsacld,values,-0.04239839519481348,2.3191233583164375e-09,-0.053261767004637604,6.08403883111752e-14,-0.04240620359288711,-0.05703985328459763,-0.029005548306299807,0.21502690755287657,2.852607709750567,3.0471739447933404,19836,qwen
euftf,values,0.0026246199733574306,0.7200093738672699,-0.0030902718367644493,0.6729951198933573,0.0028405986800072664,-0.013310378070065812,0.017266459254291877,0.20500231100105998,5.438139140571186,6.837099394476444,18654,qwen
