variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.07185613465973684,1.105267442800553e-24,0.07721902490795933,2.917641653349413e-28,0.0715092639000159,0.05717562873656207,0.0848338986011233,0.2519976078173969,5.072474377745242,6.826885149389197,20324,qwen
pplfair,social_trust,0.04650027661453711,3.091430660967264e-11,0.051137373651991565,2.7655639439351675e-13,0.04635978068177739,0.03251149158122262,0.060086490400348344,0.13692345656925203,5.636777892106424,7.1193568818514015,20384,qwen
pplhlp,social_trust,0.012328299548752884,0.07858847408360177,0.014350276886278731,0.04061412673015682,0.012300493066709937,-0.0006223352776696763,0.02564128170028949,0.35402292168481336,5.043355141099502,6.5737135862913085,20357,qwen
sclmeet,social_trust,0.03845905525515444,3.838743445888884e-08,0.03707497312151613,1.1573493874483801e-07,0.03812981897566025,0.024460672485668633,0.05179424676053862,0.20999563757440456,4.801034348165496,3.6780555691195858,20425,qwen
inprdsc,social_trust,0.020445316624124583,0.0035170699280383817,0.02253956792006889,0.0012929845032240033,0.02041830467100963,0.007551781275168524,0.033712455148856506,0.16727151724031494,2.73557362594298,3.0154551216420455,20375,qwen
stfdem,political,0.10409546780727312,8.083490403930057e-49,0.10628862416179924,7.821958085258314e-51,0.10397488844133766,0.089130541854045,0.11764607999445667,0.13516461546041977,5.042601462062011,6.877462453676614,19795,qwen
polintr,political,-0.02183781342050359,0.0017598512111778437,-0.02584695255272915,0.00021351313202253548,-0.02153163662668055,-0.03548727296188985,-0.008344852431408282,0.2638399022579141,2.634170119424811,2.882603406326034,20515,qwen
psppipla,political,0.06980807464978699,3.2900704955196507e-23,0.0756772340172727,5.309327266676271e-27,0.06956441600807309,0.05645265603700853,0.08357101428597673,0.29943235554234177,2.1431972620405735,3.52474695863747,20161,qwen
psppsgva,political,0.06015456320956861,1.3741902240634531e-17,0.06219543445524992,1.070629377948187e-18,0.06038073960050755,0.046935988588738264,0.0737471115573389,0.2720979342624399,2.198478217624826,3.70029197080292,20108,qwen
vote,political,-0.014639550284790746,0.03688069650433636,-0.0177801262327228,0.011248523390291837,-0.014598627489544908,-0.02693113400994482,-0.0019051813139099925,1.228026272124233,1.327316545347236,2.1522173002969383,20325,qwen
actrolga,efficacy,0.058243747893681995,1.2360108712129475e-16,0.06654734897495528,3.0084206742335797e-21,0.05794302696093976,0.04430962620650163,0.07097828566023288,0.2029459228952995,2.096441669144613,3.239634027642593,20176,qwen
cptppola,efficacy,0.03683077401239644,1.6809433028079698e-07,0.043275189870240045,7.860054354669918e-10,0.03663769798329735,0.023623359337425997,0.05027093899730585,0.2872565701542713,2.1460947185717827,3.3231143552311435,20165,qwen
trstprl,inst_trust,0.14862215404244344,2.0021549591462903e-99,0.15533652007845827,1.5269986922545746e-108,0.14890983991951717,0.1350453147432804,0.16294726556712227,0.392197032001161,4.434262156658223,5.636762407190309,20058,qwen
trstplt,inst_trust,0.09527571811412802,1.0563728698598545e-41,0.09632729069004295,1.3576244089445106e-42,0.09529791006833951,0.0817084703838281,0.10926052521712477,0.5314975980555047,3.5989611674499136,4.383676369695188,20074,qwen
trstlgl,inst_trust,0.14526913067977618,2.044115728934802e-94,0.1414654644554962,1.379162169345866e-89,0.14547216566865245,0.1316216418314238,0.15946760119177864,0.22065850307000434,5.292433537832311,6.957266673195575,19926,qwen
trstprt,inst_trust,0.1053296602123463,1.6674742203753634e-50,0.11189867238152408,8.275166464191781e-57,0.10548591447300024,0.09083788668404957,0.1190188876787508,0.5352891378903432,3.5845290700561043,5.733865204835789,20024,qwen
trstplc,inst_trust,0.08294463361434494,4.136755131146605e-32,0.06755908863872473,7.869366231421558e-22,0.08296928306832498,0.06805533336173009,0.09763963426432126,0.1335524133484264,6.281821317695758,7.556484248689432,20155,qwen
