variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.15627938135099811,2.0179271272372024e-110,0.16447500007644897,2.952595295760406e-122,0.15581816928466277,0.1418506982907811,0.16907006171716019,0.45822989436165024,5.072474377745242,6.538156463257838,20163,qwen
pplfair,social_trust,0.056118425406942715,1.115143145585531e-15,0.05644017498021521,7.661339887337069e-16,0.05607494112466641,0.042142483789047114,0.0699580430802267,0.09390590603386638,5.636777892106424,7.3166040680942395,20361,qwen
pplhlp,social_trust,0.03140669823572277,7.526118971237937e-06,0.0328609270725724,2.7899722150808634e-06,0.03157559133887698,0.0166527470353175,0.04595156239618343,0.326220437264435,5.043355141099502,6.961690859160455,20324,qwen
sclmeet,social_trust,0.031608559781424496,6.872449746387432e-06,0.027796504208720388,7.654832527619222e-05,0.032039773085125116,0.018131896356120208,0.04703515906567986,0.29032232921899975,4.801034348165496,3.6913315592351665,20239,qwen
inprdsc,social_trust,0.05165000092866396,1.7228393165823663e-13,0.05090491797382714,3.8063299707645466e-13,0.05151656837202311,0.03830367037584633,0.06490013465274422,0.19211419285737175,2.73557362594298,3.0181782642689603,20329,qwen
stfdem,political,0.0920101301821325,3.1261872898980285e-38,0.10282546157082587,2.319145222753749e-47,0.09203056578906077,0.07855672665395436,0.1055703421141055,0.32997621511685915,5.042601462062011,6.462138543865677,19661,qwen
polintr,political,-0.053214557865964386,2.49665677973153e-14,-0.05385390945831032,1.2215951519999759e-14,-0.05329485417470026,-0.06742214759591801,-0.03904368439052899,0.44268699626910685,2.634170119424811,2.882893198206977,20489,qwen
psppipla,political,0.11608707155202014,1.9656077045652134e-61,0.12361519671851764,1.7880099457965548e-69,0.11621866600191241,0.10284056074533407,0.12945642596381024,0.2975579103238073,2.1431972620405735,3.3986547060954577,20160,qwen
psppsgva,political,0.09931758128640647,3.006160426994326e-45,0.11275204281117046,6.989354249491989e-58,0.09991273498455172,0.08629546441517522,0.1128865087301191,0.3094355192744012,2.198478217624826,3.5484425192251536,20105,qwen
vote,political,0.002355697687959268,0.7373670246816497,0.0020917383080248475,0.7658814183070005,0.002273993176407142,-0.010775831030269405,0.015420939558531077,1.5446197238982209,1.327316545347236,2.1207224798633146,20267,qwen
