variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.14901664816192686,1.7176872473302427e-100,0.16250411686897637,2.184027968984668e-119,0.14888346435428668,0.13405286864696955,0.16295749890752426,0.3691424004444403,5.072474377745242,6.375617955309472,20169,qwen
pplfair,social_trust,0.04762014576914826,1.0380657164231228e-11,0.054156060657012166,1.0269537843671937e-14,0.04792240871280995,0.03310703240195341,0.06272186230556623,0.08517343874461543,5.636777892106424,7.20423530558534,20377,qwen
pplhlp,social_trust,0.041544767240911495,3.023795636859561e-09,0.037665201990981514,7.61166725196031e-08,0.041615772204281774,0.02773933335152743,0.05778977136704622,0.33896142741489826,5.043355141099502,6.730608448773802,20361,qwen
sclmeet,social_trust,0.039132576323899784,2.3516022960276614e-08,0.04067569860436318,6.464002590277383e-09,0.03922129761246655,0.025542987183290195,0.05315799106690114,0.3156460041771528,4.801034348165496,3.7152632094892657,20348,qwen
inprdsc,social_trust,0.037812150847884224,6.659001081868642e-08,0.04390226817230598,3.594805167429069e-10,0.0377539782616188,0.023838774423107053,0.051101389749568,0.16322309808606664,2.73557362594298,2.944493177387914,20384,qwen
stfdem,political,0.11429386574429515,1.581421132501047e-58,0.12231672845628141,7.905135253077947e-67,0.11422912658462034,0.10111533134322397,0.1280580041695386,0.22879422167031274,5.042601462062011,6.531993365206361,19788,qwen
polintr,political,-0.04017062461191038,8.725405694676916e-09,-0.04320690578312504,6.050787924641492e-10,-0.040301944645673465,-0.05356810656256603,-0.026948763379589052,0.42194268532006335,2.634170119424811,2.870331596630472,20502,qwen
psppipla,political,0.08987729168726,1.9531038624917087e-37,0.10372635576161776,2.4049913891495613e-49,0.08995203300115448,0.07699642628981042,0.10347143770115427,0.3318570293778252,2.1431972620405735,3.543386539490973,20160,qwen
psppsgva,political,0.04163023503470669,3.5163878909967067e-09,0.05467170393165585,8.633741985622791e-15,0.041705516773405,0.028515703113678396,0.05467539717984722,0.3811455078713811,2.198478217624826,3.611282238442822,20108,qwen
vote,political,-0.03839046085418245,4.562504146490229e-08,-0.03931784757648547,2.1466349790230154e-08,-0.03818824772890797,-0.052149861121168234,-0.024579989104363417,1.3299222015968135,1.327316545347236,2.066429129246388,20271,qwen
actrolga,efficacy,0.11566183223396137,4.845731263084136e-61,0.1260131906950202,3.361764920956706e-72,0.1158204028465643,0.10269626348032383,0.12919942601685708,0.2659243897951107,2.096441669144613,3.1882664979560054,20176,qwen
cptppola,efficacy,0.06846385162674726,2.1874167466841246e-22,0.0819920314233579,1.9980909624800433e-31,0.06822497327835524,0.05508411422374902,0.08165527388717111,0.3793109353892757,2.1460947185717827,3.366587181857998,20164,qwen
trstprl,inst_trust,0.14278240247676602,3.852983586955178e-91,0.15779766024333824,3.861243762346417e-111,0.1428986881705855,0.12943216545172465,0.1568079793021809,0.3123101400185541,4.434262156658223,6.417592911641644,19903,qwen
trstplt,inst_trust,0.15387404055322998,1.0830365211998102e-105,0.1583861419530875,6.060822890355894e-112,0.15391379757157336,0.1406923078323282,0.1682737090349014,0.6713932805834683,3.5989611674499136,4.323010380622837,19899,qwen
trstlgl,inst_trust,0.161755683657184,2.5774085274714084e-116,0.16443515647405646,3.4580937673073706e-120,0.16159957469806582,0.14693839752130203,0.17647946542391627,0.16596390417876658,5.292433537832311,7.221571618363431,19826,qwen
trstprt,inst_trust,0.15525842545716226,1.8138469257410114e-107,0.1640403343440939,6.560238560417149e-120,0.1553736518101063,0.1413559160671647,0.16885950944016745,0.6773248670204769,3.5845290700561043,5.332235479735726,19876,qwen
