variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.16031862858290724,3.2916420864222874e-116,0.1693522774955141,1.2226132406880635e-129,0.16009200758183648,0.14614928349851394,0.17362109705512568,0.36748877545616937,5.072474377745242,6.36948440357902,20169,qwen
pplfair,social_trust,0.044239715219894254,2.64186170165087e-10,0.04753472262776381,1.1246385737580903e-11,0.043926489965642884,0.029881881209975817,0.05713685667814741,0.08383752550292915,5.636777892106424,7.207172790176396,20381,qwen
pplhlp,social_trust,0.039686955038196935,1.4915872619624825e-08,0.034584040447988885,8.057182511998306e-07,0.039695370994483475,0.025325438679316904,0.0546555224263465,0.3431619352305662,5.043355141099502,6.726934195697976,20344,qwen
sclmeet,social_trust,0.03610375853286099,2.5468996181155495e-07,0.034184639680871404,1.060436137901354e-06,0.03576189160939374,0.021972763190825226,0.05029189601143411,0.32334517720113765,4.801034348165496,3.701845867606737,20370,qwen
inprdsc,social_trust,0.03623330530677216,2.292965039098059e-07,0.039220136694163715,2.1350850511454328e-08,0.03589035068850922,0.02225581665272923,0.049392382482084496,0.16307576763513398,2.73557362594298,2.94447964903729,20379,qwen
stfdem,political,0.12048974851596145,7.534932983469442e-65,0.13219456011328662,8.530229675725988e-78,0.12077473928164867,0.1062115801800362,0.13499616451549165,0.22963854838151906,5.042601462062011,6.534098008590394,19776,qwen
polintr,political,-0.04696817540164154,1.7225457152327733e-11,-0.05240413031006648,6.028355172900222e-14,-0.04717995831883623,-0.05995006736448311,-0.033469487276636074,0.4111573067506805,2.634170119424811,2.8701602298738615,20498,qwen
psppipla,political,0.09793441569099595,3.724350532230385e-44,0.10806291531496841,1.9844331660280078e-53,0.09780571887842686,0.08411320097536343,0.1118216572768927,0.3410164412916775,2.1431972620405735,3.533661546114707,20160,qwen
psppsgva,political,0.06200504024890083,1.3632646381894678e-18,0.07249745257037023,7.55893438118006e-25,0.06207230767983142,0.04904160870385536,0.07566901235353926,0.3747522894337566,2.198478217624826,3.616406326034063,20108,qwen
vote,political,-0.029152976774780542,3.308618403332312e-05,-0.029812431659210364,2.185399025459715e-05,-0.029394210183222073,-0.04328428964158895,-0.016889501587242523,1.3324900892437392,1.327316545347236,2.0699990237235184,20269,qwen
actrolga,efficacy,0.11996507932651437,1.4734475390735486e-65,0.13608724154214802,5.34637235472435e-84,0.11981309135046862,0.10680308822475508,0.1340630677306819,0.26592087592801594,2.096441669144613,3.1845038205090765,20175,qwen
cptppola,efficacy,0.08312682963411756,2.952962767164266e-32,0.094596691167658,2.6258920761397634e-41,0.08333426086298107,0.06952766625144996,0.09698793592054175,0.3819731829093841,2.1460947185717827,3.3705567451820126,20163,qwen
trstprl,inst_trust,0.15892691534059206,1.238464398470557e-112,0.16607519031757317,5.8967044754329515e-123,0.15885042457228246,0.1440683984416856,0.17294504000470398,0.3095743263805561,4.434262156658223,6.406009852216749,19886,qwen
trstplt,inst_trust,0.151865096013234,5.590223611450275e-103,0.15560696631656024,4.416995572414366e-108,0.15179962810838843,0.13753946144090184,0.16469543046106427,0.6660833014991917,3.5989611674499136,4.326989226055155,19901,qwen
trstlgl,inst_trust,0.1487825171193599,1.7904262849043163e-98,0.15061427551844042,6.816939301887452e-101,0.14855061097389685,0.1340426851222761,0.16290608474763021,0.16560348136034678,5.292433537832311,7.2303037762788644,19819,qwen
trstprt,inst_trust,0.15382977812857113,1.6599938057309912e-105,0.16268262059729446,6.211815428515758e-118,0.15346605342864178,0.1407181607736857,0.16784700993970136,0.6777637061803999,3.5845290700561043,5.3334303185718515,19875,qwen
trstplc,inst_trust,0.10813535906321844,4.272287920279115e-53,0.10017683967438708,8.769781815803523e-46,0.10835166358889149,0.09307027302616418,0.12297982717584559,0.12021599770106793,6.281821317695758,7.5629658883348965,20003,qwen
trstep,inst_trust,0.049379010462518094,1.4082830303155381e-11,0.04980678504157687,9.383152349198263e-12,0.049256916126372466,0.034575965840668896,0.06318524844108753,0.2702189406706893,4.614031413612565,6.526041148991154,18705,qwen
trstun,inst_trust,0.03463864619093162,2.304851367970461e-06,0.03832531465786561,1.7146174687864968e-07,0.03401600886133085,0.019320737904772116,0.04915665401350781,0.15443590990793962,4.969870950750592,7.0830808206249065,18596,qwen
happy,wellbeing,0.07012441055920604,2.785311561544737e-23,0.0788877334937224,4.7764606865348084e-29,0.07010837588878938,0.0550808492427989,0.08571913320538536,0.2979034895304647,7.3663588841663,7.359997018781675,20046,qwen
stflife,wellbeing,0.09193270656185294,2.305948775674965e-39,0.09279671250308831,4.4576971453223705e-40,0.09168152772753708,0.07457007366880909,0.10785843101023074,0.11955142736795436,7.055620838229534,7.671229993637121,20305,qwen
stfeco,wellbeing,0.1054372172918824,7.855847280532171e-51,0.10798467661180443,3.0394244087940546e-53,0.10552090575292929,0.09153510525538708,0.11986027009611647,0.2976703698501374,4.443766433497048,6.039104783265883,20117,qwen
stfgov,wellbeing,0.03496692215976088,8.567581557703706e-07,0.040519390592875126,1.169305429079541e-08,0.035558462183779,0.02169836341899883,0.051153041481531,0.2696301772280724,4.079756759473314,6.524816625916871,19804,qwen
stfhlth,wellbeing,0.1211431143756767,6.058652601178088e-67,0.13553411391652204,1.7822243011038884e-83,0.12104970306634782,0.10778569821069993,0.1336445949309736,0.09051309848271906,5.169177174819685,7.26873006526326,20212,qwen
stfedu,wellbeing,0.0842691185230567,6.279761044087985e-32,0.08893829012206067,2.1932335071468746e-35,0.08421543351653972,0.06996124633592643,0.09930517556558692,0.1053385983746287,5.295611891671757,7.46020779988182,19408,qwen
imueclt,immigration,0.04931994897923544,3.406723655758341e-12,0.04872139862765721,6.187319478397621e-12,0.04930243278671994,0.0360698667555836,0.06328022127685469,0.1880882018226876,5.450468977278427,7.424941474834179,19892,qwen
imwbcnt,immigration,0.08408910370773512,3.3659140582441814e-32,0.08550753607858694,3.05706266015017e-33,0.0838440892452969,0.06957875932907603,0.09778108896700226,0.7839445384370294,5.119836997534839,5.829947865433799,19666,qwen
