variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.08720638726585843,1.820644645028093e-35,0.09868982780720484,5.5543470572037525e-45,0.08675103676381307,0.07241285237976028,0.10110443422796284,0.2575393993064411,5.072474377745242,7.105847866784905,20238,qwen
pplfair,social_trust,0.0518572982758654,1.3473624176865933e-13,0.053650084890185114,1.8934986577448312e-14,0.05172513896952858,0.03883461645083654,0.06572035740206346,0.09980608600965155,5.636777892106424,7.715663591545858,20346,qwen
pplhlp,social_trust,0.038378981059134974,4.3363853077109327e-08,0.03376008989558764,1.4568182622216805e-06,0.03837649667372114,0.024181640077007568,0.05262413629638645,0.20600540359764122,5.043355141099502,7.217955625214282,20350,qwen
sclmeet,social_trust,0.038088513540996655,5.399327271178532e-08,0.03821953559288194,4.86018722135585e-08,0.03805475479605269,0.023930600002078944,0.052279222059864114,0.2863664300031727,4.801034348165496,3.9283797679087304,20369,qwen
inprdsc,social_trust,0.01651166958184606,0.018341871260009208,0.018968201211204804,0.0067362205864578695,0.01653986805976301,0.0028934610346375463,0.02960289534525385,0.13572858917232833,2.73557362594298,3.0832481378706005,20405,qwen
stfdem,political,0.13783861226706068,1.5740297582531e-84,0.13578544159733114,4.60559953119939e-82,0.13853031880033614,0.12420219675280635,0.1537425989806598,0.21107675019675035,5.042601462062011,6.8294473440319985,19788,qwen
polintr,political,-0.011459086085093804,0.10075477478300665,-0.006572379033845928,0.3465534261058059,-0.011688265591465123,-0.024299489443379216,0.002266377634148394,0.1915509027593188,2.634170119424811,2.9091439972748065,20514,qwen
psppipla,political,0.057467364042861256,3.1877989561356762e-16,0.06311290516233034,2.9718064807373006e-19,0.057271206615713104,0.043671376455786275,0.07051422264270928,0.2891810501474887,2.1431972620405735,3.479985401459855,20161,qwen
psppsgva,political,0.04781981297081174,1.1653988366303148e-11,0.05431479989232163,1.2861366876256732e-14,0.04793350866747849,0.034586393596677326,0.061873534678349836,0.28933545730206917,2.198478217624826,3.6701581508515817,20108,qwen
vote,political,-0.02615500058641016,0.00019186640558923574,-0.02360064041982032,0.0007650105089390198,-0.02605661569709333,-0.0404181000283634,-0.012943425256101213,1.0964460409253334,1.327316545347236,2.2920033096466463,20328,qwen
