variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.05100489512939975,3.370413360578617e-13,0.047715253582077705,9.848538354313588e-12,0.050822843347837626,0.036316691933744996,0.06442165123095432,0.35988639833791336,5.072474377745242,6.473838235294118,20341,qwen
pplfair,social_trust,0.03819814561945567,4.8122249172828744e-08,0.040120369412658397,9.867303179880229e-09,0.038578786196251845,0.02500891328411474,0.05213281661930693,0.19022192840906613,5.636777892106424,7.070163056704795,20405,qwen
pplhlp,social_trust,0.010250008459456545,0.14344513984497217,0.012071647245667925,0.08486707236674661,0.010007498511862885,-0.0037014033017671744,0.02378529028802124,0.36204390535321934,5.043355141099502,6.7131285462727455,20376,qwen
sclmeet,social_trust,0.03716955238088557,1.0324544946992874e-07,0.03383614450852548,1.2760752813861633e-06,0.037505395756722536,0.02300568858987915,0.050851235661246684,0.23904667539646923,4.801034348165496,4.041516509204247,20481,qwen
inprdsc,social_trust,0.018683072463810683,0.007603217686440437,0.016285452844424002,0.01998604598791139,0.01869904795477902,0.004153527201624326,0.031628366403487936,0.10408341099361403,2.73557362594298,2.9989778037383177,20410,qwen
stfdem,political,0.14788417824932462,3.420490403606944e-97,0.14068733723627685,4.7050555605596417e-88,0.1480179072769414,0.13322784579432292,0.16327517128672162,0.30300962620394717,5.042601462062011,6.163089375396168,19797,qwen
polintr,political,-0.049762023160870035,9.945894416431805e-13,-0.048610052250931755,3.261484408568353e-12,-0.04987211491756926,-0.0629446838955736,-0.036075218426938484,0.12854599594673374,2.634170119424811,2.919752786023651,20514,qwen
psppipla,political,0.04519924121763948,1.4474212377020532e-10,0.058510164057803626,1.026862462496011e-16,0.045144978599816275,0.030783211437250227,0.05843137394972696,0.4240417563571422,2.1431972620405735,3.5780700898086684,20099,qwen
psppsgva,political,0.037166202835919544,2.1213632833348093e-07,0.045815801322420885,1.5845626603876292e-10,0.037224621637857516,0.02386679152225045,0.05135802009588312,0.5884748556421118,2.198478217624826,3.744425751082541,19477,qwen
vote,political,-0.021843857370947923,0.0018694422034606145,-0.0160996307814348,0.021893387119921438,-0.021576406927149194,-0.03478378887038287,-0.008309573169463165,1.1104034381343235,1.327316545347236,2.0504661037629948,20271,qwen
actrolga,efficacy,0.036410946081630424,2.3016867660529598e-07,0.03694602358756908,1.5273375651147977e-07,0.03619976155606966,0.022422520942582513,0.05029597352990943,0.17081366015999513,2.096441669144613,3.1507470676984477,20175,qwen
cptppola,efficacy,0.00841809239913827,0.23195193850947918,0.01171207851869495,0.09629035347468887,0.008904345051383053,-0.005084895202668415,0.022391167542441175,0.21903951100868707,2.1460947185717827,3.2208807785888083,20165,qwen
trstprl,inst_trust,0.14216901176635,5.619603047712398e-91,0.14338312390055397,1.6073566140246273e-92,0.14200848903204186,0.12890519766607195,0.15634237960595984,0.4315495000810371,4.434262156658223,5.4497335093638455,20040,qwen
