variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.14428034085086228,2.587639452456734e-95,0.1417441116361153,5.019640144886957e-92,0.14399360482493628,0.1298629222413229,0.15814724081948878,0.4619104281097159,5.072474377745242,6.632137445622953,20399,qwen
pplfair,social_trust,0.05237820223500769,7.042921152443109e-14,0.05264769710005867,5.246124505327469e-14,0.05279202385158814,0.038834543807433876,0.06706499390345809,0.13874849868336933,5.636777892106424,7.094062682499513,20407,qwen
pplhlp,social_trust,0.047130908333677723,1.632204811276915e-11,0.04234984464605834,1.4332079505284737e-09,0.047019509142551555,0.03303674211911533,0.06127238241064384,0.3173387956325453,5.043355141099502,6.786757522469714,20404,qwen
sclmeet,social_trust,0.019150917684054795,0.006118868709740334,0.013114605785194699,0.06049231347414196,0.019199749952615416,0.004957446291334885,0.034052925595176774,0.21500681613097777,4.801034348165496,3.970284281750475,20489,qwen
inprdsc,social_trust,0.03781306830851611,6.5227706828769e-08,0.03336874839988489,1.8575824489715657e-06,0.037530197980792296,0.024164979526913724,0.051732248283081116,0.09844765643684139,2.73557362594298,2.9177008809071885,20411,qwen
stfdem,political,0.13514199824390133,1.835603439151966e-81,0.13976293077792867,4.728320120962403e-87,0.13524893240667674,0.12131258771287748,0.14928075278238478,0.28957996707923794,5.042601462062011,6.482880646417445,19829,qwen
polintr,political,-0.09777609347182406,9.213456216564749e-45,-0.1045681207225203,5.628888920660215e-51,-0.0975602033874637,-0.1109818008682575,-0.08398780130061663,0.1534506584422735,2.634170119424811,2.902433090024331,20515,qwen
psppipla,political,0.093338977408305,2.970771097768725e-40,0.10140986668957468,3.095619863583528e-47,0.09342536727888594,0.08006571173801073,0.10629973799056164,0.33552957106760695,2.1431972620405735,3.4485717761557173,20161,qwen
psppsgva,political,0.08701233094185679,4.23446197836404e-35,0.09948357158491045,2.114919620941435e-45,0.08695280958537362,0.07383571224242551,0.10059226234704297,0.43000762703444634,2.198478217624826,3.670216545012165,20108,qwen
vote,political,-0.005945782082529543,0.3965681058829154,-0.0021138417530360484,0.7631131676758227,-0.005857780000502917,-0.018710160936223665,0.007074080976051377,0.9979274547750949,1.327316545347236,2.101021897810219,20332,qwen
