variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.10974233109737544,1.562125033659016e-54,0.12169180753489746,9.989967062240622e-67,0.1097498724581395,0.0947933413941883,0.12363929722545328,0.23856904900699233,5.072474377745242,6.887948256917391,19962,qwen
pplfair,social_trust,0.04555942650052783,8.060432980952324e-11,0.054391245837580135,8.417975782535948e-15,0.045957530169904934,0.032317966330911926,0.059956455927455646,0.11144770958696251,5.636777892106424,7.260442512454822,20333,qwen
pplhlp,social_trust,0.01862735099732049,0.008203571139866434,0.03333035297628853,2.232916851783728e-06,0.018475566655154246,0.005079100379959927,0.03279335310082147,0.2112310400358017,5.043355141099502,7.099554587746214,20140,qwen
sclmeet,social_trust,0.035516205393978734,4.5333092054793497e-07,0.03535493790262068,5.10941553333765e-07,0.03558505276323773,0.021563163976147996,0.049205895498726504,0.3286278578568453,4.801034348165496,3.6513501483679525,20168,qwen
inprdsc,social_trust,0.019419575510292074,0.005676044918788811,0.019368303420522932,0.005804466042766876,0.019283998449635152,0.005432275167573276,0.034320752738444586,0.1879210446462529,2.73557362594298,3.018265510993585,20285,qwen
stfdem,political,0.0859478297652114,2.321965553562269e-33,0.09008979706379093,1.691820797091265e-36,0.08599137063351439,0.07147567267891856,0.10068980481734241,0.13833903780336337,5.042601462062011,7.014853246368219,19538,qwen
polintr,political,-0.01661346085309628,0.017494337053698763,-0.02022248192321379,0.0038227577494104642,-0.016775223350916968,-0.03000127120661667,-0.0024746622143435072,0.44054999304493014,2.634170119424811,2.842052608462252,20456,qwen
psppipla,political,0.07493670476337293,1.7132780972347985e-26,0.07743581549545613,3.5000338587735624e-28,0.07487454541985526,0.06111424180543845,0.08847076700325454,0.3111488972233753,2.1431972620405735,3.5162447051949948,20150,qwen
psppsgva,political,0.054309935363450725,1.3067784627955835e-14,0.06077526628051561,6.46372076778385e-18,0.054577280743895666,0.040025278412185616,0.06930062087668858,0.29646559581472554,2.198478217624826,3.730560288176021,20101,qwen
vote,political,-0.02840213937846044,5.3459257739234344e-05,-0.024284397141549393,0.0005522081283885203,-0.028343893428946505,-0.04273153765749645,-0.01499966947733305,1.4052753182998372,1.327316545347236,2.1141110295915873,20227,qwen
actrolga,efficacy,0.050436432968492415,8.385165223436921e-13,0.05825084339652653,1.3971012600518975e-16,0.05020041942445113,0.03710542666023256,0.06416251749819599,0.28627416208164097,2.096441669144613,3.3896487714327583,20100,qwen
cptppola,efficacy,0.011375926765320949,0.10637727314584103,0.018515561128598382,0.008583082368149288,0.011332092044873107,-0.0020104732246821015,0.02493902454681216,0.38217554072736554,2.1460947185717827,3.5072813169686343,20148,qwen
trstprl,inst_trust,0.12651974641780622,4.799225075469411e-71,0.12468179632421957,4.92556419645037e-69,0.12655449742335526,0.1129337699719328,0.14118516826783173,0.21040869534257997,4.434262156658223,6.760671808907688,19685,qwen
trstplt,inst_trust,0.1143382211457102,1.3313510547411186e-57,0.12379318438376177,2.7842757984121167e-67,0.11440499516369834,0.10165769425857511,0.127734219029615,0.51474785724523,3.5989611674499136,5.802407810207901,19450,qwen
trstlgl,inst_trust,0.12476125196064199,1.3999302643424223e-68,0.113420397180635,6.380089605754771e-57,0.12432219225069403,0.10993077038734388,0.1396737220862394,0.13274927063019668,5.292433537832311,7.361925459632293,19527,qwen
trstprt,inst_trust,0.09072765660835572,4.274566806739768e-37,0.09404099340106538,9.739849243367917e-40,0.09092727157074675,0.07657482727122919,0.1056685436850579,0.32011348724322686,3.5845290700561043,6.682864718831298,19594,qwen
trstplc,inst_trust,0.09119438095417928,1.958018265821496e-37,0.09022999373093414,1.1125891395175871e-36,0.09057833364255619,0.07554471725164107,0.10575099891823826,0.1401108316071806,6.281821317695758,7.515334174022699,19579,qwen
trstep,inst_trust,0.03569058861793519,1.3243284134824014e-06,0.04169128656425167,1.60618054433886e-08,0.03542455678254852,0.021709685706724467,0.04976264435927777,0.14052347133295365,4.614031413612565,6.911863033127343,18351,qwen
trstun,inst_trust,0.03310619520824753,7.683776205627099e-06,0.03784022781041263,3.1544949011905973e-07,0.032882015878546444,0.017728237280092974,0.04749254976384468,0.15704034223646512,4.969870950750592,7.1315270188221005,18254,qwen
happy,wellbeing,0.02195716464891121,0.0020148880806897967,0.02989626559712188,2.6107347449227605e-05,0.021885989614200192,0.008136244889480093,0.0363336978637344,0.3334145328485781,7.3663588841663,7.37775035260931,19777,qwen
stflife,wellbeing,0.05319952638729164,4.6566948961723236e-14,0.05655171330787381,1.0825221524129785e-15,0.05333733417849216,0.03710490678598404,0.06871281494816828,0.10725348015838997,7.055620838229534,7.683319300678519,20068,qwen
stfeco,wellbeing,0.0897640338164786,5.515853055981254e-37,0.09545337513001356,1.2875792580030566e-41,0.08995094593320271,0.07627919986237762,0.10378676698659535,0.21383780142646389,4.443766433497048,6.534824720979398,19956,qwen
stfgov,wellbeing,0.05236751501024311,2.060521227569866e-13,0.05058985040788856,1.2920397204248506e-12,0.0522312026189174,0.03854492056315176,0.06634527803905559,0.1574989990291161,4.079756759473314,7.013499260719566,19647,qwen
stfhlth,wellbeing,0.11588527753615925,8.909100962697037e-61,0.12425236101183597,1.1567488483323244e-69,0.11615327133566282,0.10326708057021067,0.12984337292802797,0.0838057000193746,5.169177174819685,7.390785625774472,20008,qwen
stfedu,wellbeing,0.051186378900956106,1.2752373071726988e-12,0.06117260548796162,2.1769521784369022e-17,0.05128457683159925,0.03691241632912198,0.0657323870160464,0.08423820763938521,5.295611891671757,7.50513969819214,19201,qwen
imueclt,immigration,0.029648524103706192,3.1124045526537166e-05,0.04119239770010306,7.124111785960334e-09,0.029613341432509693,0.016350870564313207,0.0423410079299752,0.16878969903442603,5.450468977278427,7.508561593312024,19729,qwen
imwbcnt,immigration,0.03667386889197102,3.444643824345333e-07,0.03545527815931411,8.313698217818985e-07,0.03631416912277866,0.021660288764879347,0.051168081872435045,0.48640654727231686,5.119836997534839,6.476755836088568,19308,qwen
imbgeco,immigration,0.012433600995634318,0.08234526833962498,0.021144214423957097,0.0031316525129564798,0.012653732073461769,-0.0012211824068646894,0.026305205294213884,0.15637332240474078,5.385114081817268,7.041865079365079,19523,qwen
imsmetn,immigration,-0.021792100719401075,0.002084804626394621,-0.01955314818530542,0.005752100094139119,-0.021782921128360687,-0.035672885957259926,-0.00696511745106739,0.4791974989115025,2.028021102926538,2.8255477672663103,19946,qwen
impcntr,immigration,-0.006852784817090719,0.33393533210819326,-0.007903544837051016,0.2651182647683253,-0.00712189010778187,-0.020803805553112346,0.006991148015368202,0.4403541528568338,2.4483532934131738,2.8280851481263487,19882,qwen
imdfetn,immigration,-0.01901855994936253,0.007248726607295595,-0.020093659905058386,0.0045537139833844355,-0.019005778396233713,-0.032658215013484385,-0.005555331585108641,0.289766879089315,2.3755915317559153,2.8914620398960937,19933,qwen
gincdif,values,0.014113397549159376,0.04514162567170745,0.017060234747891773,0.015449029362272342,0.014281626753609266,0.0005142072944595826,0.02754637898602351,0.3420752769501013,2.0931963674259344,3.382129647654273,20149,qwen
freehms,values,-0.12051636180109918,1.5232578721680843e-65,-0.14532331150413758,9.260876557681676e-95,-0.12054736093511269,-0.13416698481030623,-0.10711264509516238,0.6249278121086899,2.1362388298137884,3.6358404058140668,19985,qwen
hmsfmlsh,values,-0.009059280689071107,0.2043875305985547,-0.017299634403849296,0.01536307264346305,-0.009201382194844067,-0.02250755592545074,0.004790408392732045,0.35470212798809825,3.8118399675060926,2.917806212150811,19628,qwen
hmsacld,values,-0.0669907717557048,3.6351190531821844e-21,-0.0725659756981043,1.4479333380243472e-24,-0.06678684335885074,-0.08193379406407388,-0.05304973185252056,0.22238761585360678,2.852607709750567,3.046517291768144,19826,qwen
euftf,values,-0.0036471989122979004,0.6197899465739208,-0.007864499316651983,0.2846809371442873,-0.003922722505162783,-0.018439850526310923,0.011375204035023527,0.2093636571725706,5.438139140571186,6.85290175246984,18508,qwen
atchctr,attachment,0.019573155991567524,0.005538987529004,0.026470753610324912,0.0001756300930365681,0.019464866822661804,0.0057133818467006775,0.032659944789723304,0.23927739697235897,7.8790843279201725,7.371202139779086,20083,qwen
