variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.14699361386362075,4.1021887742719754e-98,0.16265049952973404,5.5673007405203194e-120,0.1468129240280178,0.13303886080356644,0.16002994514568725,0.47959904571957374,5.072474377745242,6.717977528089889,20234,qwen
pplfair,social_trust,0.10436050652091174,1.817666960887589e-50,0.11894953692419932,3.992810721697697e-65,0.10419911181907904,0.09005115017857915,0.11825167626462257,0.1610300915081166,5.636777892106424,7.208691839220463,20384,qwen
pplhlp,social_trust,0.07316761604381772,1.6922589882538465e-25,0.07441436411022302,2.5474124343564752e-26,0.07303795232548294,0.059510523488040395,0.0877622132180981,0.24358909069599713,5.043355141099502,7.292313737046314,20293,qwen
sclmeet,social_trust,0.041331462740661656,3.4068939806417234e-09,0.03832907324034172,4.229434650048844e-08,0.04112775840422145,0.027516631259683184,0.05566726542695834,0.27591402179326097,4.801034348165496,3.818184480234261,20436,qwen
inprdsc,social_trust,0.053457931948644725,2.1606119544549866e-14,0.0566606181027427,5.533888546388118e-16,0.05371745667385595,0.03895946380108194,0.06788636816834019,0.14482413545768114,2.73557362594298,2.995374202658616,20402,qwen
stfdem,political,0.13055068556980204,5.011879506271524e-76,0.1416086076211972,2.993697394176344e-89,0.13067612507358173,0.11718058370677764,0.14473060325383869,0.32302673279249583,5.042601462062011,6.808678068508502,19809,qwen
polintr,political,-0.08667917135494518,1.642422730527348e-35,-0.09762511867056863,1.26455971802001e-44,-0.0863029325405478,-0.09947887501125982,-0.07213897156556645,0.3070039166321401,2.634170119424811,2.8756083317111156,20513,qwen
psppipla,political,0.13578446099997302,1.4227437266408944e-83,0.14413821944752458,4.85626536597828e-94,0.1355880519170014,0.12244623432585854,0.149838291178886,0.34191520426575783,2.1431972620405735,3.4354379562043795,20161,qwen
psppsgva,political,0.12185020730944525,2.2566543742381008e-67,0.12987811331356916,2.295064492534366e-76,0.12178831000519307,0.10807173762417913,0.13587725728605518,0.4018277849536402,2.198478217624826,3.601455258177886,20108,qwen
vote,political,-0.047283671193805187,1.5279491927723736e-11,-0.051182260332175475,2.8336708292309614e-13,-0.04739937607235744,-0.060967644529233096,-0.03443724983931853,1.281649576725881,1.327316545347236,2.324751800661865,20330,qwen
actrolga,efficacy,0.17205263896736214,7.867761844572499e-134,0.17905745410928264,5.797401822500266e-145,0.17215643110602225,0.15822141816711113,0.18552281919882857,0.3258427230957249,2.096441669144613,3.402097834022877,20173,qwen
cptppola,efficacy,0.14526661087762527,1.6177706172171423e-95,0.15383970546160788,5.016316403728806e-107,0.14501362245108065,0.13167786782537708,0.15803687698995797,0.4413148569799204,2.1460947185717827,3.4034259574675167,20164,qwen
trstprl,inst_trust,0.15093352103235336,1.380429193334538e-102,0.16646082809427484,1.156619289833876e-124,0.1509547713423455,0.1364071552546003,0.16486379183980338,0.43901846353497664,4.434262156658223,6.369943861361972,20072,qwen
trstplt,inst_trust,0.1384955552818466,1.5781138635180137e-86,0.1495062131124674,1.1251495519542572e-100,0.1382269506787568,0.12421704400671929,0.15331119630770781,0.6575347080544505,3.5989611674499136,5.940263686712739,20073,qwen
trstlgl,inst_trust,0.1684543048630698,5.8307264887483125e-127,0.17646183950965064,2.5632119658094335e-139,0.1683972587420526,0.1549481395718248,0.1820287146778182,0.4093301903921968,5.292433537832311,6.8931622678396876,19960,qwen
trstprt,inst_trust,0.1343197196032317,2.1388228989709656e-81,0.1462759453402695,2.446887107600338e-96,0.13358874459743653,0.11917739821553328,0.14763742427155888,0.6152860578488963,3.5845290700561043,6.4017200097727835,20058,qwen
trstplc,inst_trust,0.12049268902672264,2.899619918837552e-66,0.11345081759351662,6.620993211144686e-59,0.12065454894638633,0.10550028515848704,0.13612409114088905,0.4294488551647256,6.281821317695758,7.085045177045178,20219,qwen
trstep,inst_trust,0.10376374046488687,1.6900523433399866e-46,0.11581664756159822,1.4579862288074877e-57,0.10431596060288743,0.08886646259742906,0.11934925816073319,0.3876740167287537,4.614031413612565,6.700289513715098,18940,qwen
trstun,inst_trust,0.111338132388925,4.145168352688755e-53,0.12088977059939265,2.34979675940308e-62,0.11148156459061487,0.09689198362678492,0.126587608172459,0.35575954085835615,4.969870950750592,6.94828059175076,18867,qwen
happy,wellbeing,0.17189888676975193,8.099022238365978e-135,0.16649651747280525,1.7479124384035943e-126,0.17176724676341626,0.15639726862742084,0.18782522005596328,0.343690460523603,7.3663588841663,7.275574796986596,20361,qwen
stflife,wellbeing,0.21055655342509208,4.5083534981838674e-203,0.19570651859262753,3.5291465667483133e-175,0.2107297372154357,0.1942448279737471,0.2262073731511911,0.35019632619418695,7.055620838229534,7.251138080616075,20391,qwen
stfeco,wellbeing,0.13715595338457773,3.610767455265557e-85,0.13635452878083446,3.443737951143006e-84,0.13759354076810956,0.12333372651967371,0.1517316783978744,0.297649422103796,4.443766433497048,6.495086437789141,20142,qwen
stfgov,wellbeing,0.06975211836182618,7.085146028166907e-23,0.07095811705259412,1.2789215664031952e-23,0.06983172817711722,0.05440549819812097,0.08452213672470765,0.3841898262454612,4.079756759473314,6.790015585427626,19882,qwen
