variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.09123720255619779,1.0171133077515924e-38,0.10734582283299329,5.269089491054334e-53,0.09152351613922968,0.07859395242748811,0.1046490239572057,0.3181059944651246,5.072474377745242,6.480805943711869,20264,qwen
pplfair,social_trust,0.056744451502395314,5.423363950529347e-16,0.06496150465944159,1.7411770572745767e-20,0.05706411337625314,0.042557686998312576,0.0715060804171179,0.11250379377255929,5.636777892106424,7.217989753598439,20354,qwen
pplhlp,social_trust,0.020983610176321252,0.0027931707267375367,0.023719649448776674,0.0007260528057569537,0.02096411812965537,0.006693403370206376,0.034875967771083025,0.24244524613669996,5.043355141099502,6.99156886815615,20297,qwen
sclmeet,social_trust,0.03944660194086601,1.757791627554784e-08,0.04326317749888747,6.413628166288818e-10,0.03923081363461411,0.025370505549471085,0.0526281741941025,0.386407629092962,4.801034348165496,3.863418452206242,20388,qwen
inprdsc,social_trust,0.039553917876264603,1.610510065372668e-08,0.043906658948273995,3.5732699064019434e-10,0.03987594229982947,0.026047649380271858,0.05384137709900768,0.16406776340085555,2.73557362594298,3.012766786862879,20386,qwen
stfdem,political,0.09475547081798069,1.2004637799744247e-40,0.10416255669090693,8.509510341076455e-49,0.09461002738099068,0.08146225951094975,0.109246977527679,0.16652130676831223,5.042601462062011,6.786596981390123,19760,qwen
polintr,political,-0.029209099029386294,2.860787986425302e-05,-0.03472191182627188,6.54377114249741e-07,-0.029147188092549278,-0.04293727781462149,-0.01576138593052134,0.2805552683640761,2.634170119424811,2.912992700729927,20515,qwen
psppipla,political,0.05936331855609169,3.287165110466901e-17,0.065368749583606,1.5279639171151923e-20,0.059587489482100936,0.046511326929948145,0.07306211366770184,0.326130996237731,2.1431972620405735,3.5724649803087765,20161,qwen
psppsgva,political,0.048721170948250334,4.7629315045478106e-12,0.054475659705512144,1.0750078049174725e-14,0.04876775673879935,0.035315996454238316,0.06281219313744835,0.32091536608421634,2.198478217624826,3.6905859165896153,20108,qwen
vote,political,-0.04950646841242579,1.645367250854356e-12,-0.04591466955133168,5.8020518936350913e-11,-0.04915122171499737,-0.0622405635530599,-0.03518332478654406,1.4273628495398352,1.327316545347236,2.1649790672767986,20324,qwen
actrolga,efficacy,0.08143615145538695,5.074501375765641e-31,0.0899424209269187,1.7116269214673386e-37,0.08180184901844004,0.06713440933268022,0.09469785617415936,0.2798458952139532,2.096441669144613,3.3058436815193573,20163,qwen
cptppola,efficacy,0.039556304914229214,1.920820942398133e-08,0.04865971952360623,4.7277828146306e-12,0.039988814000055724,0.027257238977258673,0.054911840558244836,0.41585787677828834,2.1460947185717827,3.455669099756691,20165,qwen
trstprl,inst_trust,0.14739959545487907,8.16056821671661e-98,0.14958733092193213,1.027457918541516e-100,0.1476569714963486,0.13292951898454175,0.1630831026985335,0.2051834342849968,4.434262156658223,6.672664224664224,20059,qwen
trstplt,inst_trust,0.14920171049611208,3.634525092539972e-100,0.15270255371706848,6.94200924807358e-105,0.14896936031350203,0.13584398531768127,0.16345938316503236,0.6418964807593129,3.5989611674499136,4.559587932303164,20052,qwen
trstlgl,inst_trust,0.130713114145673,8.929170622455199e-77,0.13342327438899584,6.0904914432357956e-80,0.1307891188264308,0.1173386332615736,0.14479755006020562,0.11056479778520593,5.292433537832311,7.340761560269822,19959,qwen
trstprt,inst_trust,0.14519511889872433,6.419361183066532e-95,0.1516755034661589,1.6692834001837149e-103,0.14491962229022468,0.1310671537380316,0.15787626088388743,0.6336898214375443,3.5845290700561043,5.416188474509995,20055,qwen
trstplc,inst_trust,0.10073771944685397,1.1452977041542784e-46,0.09569058559248404,2.928319144270265e-42,0.10076840859942951,0.0859015938693737,0.11553007769424371,0.09740540904070337,6.281821317695758,7.534382341425215,20177,qwen
trstep,inst_trust,0.025445967050790178,0.0004765991493556557,0.030901298582674628,2.2066478334643513e-05,0.02550127724719876,0.011134259308820869,0.039750540188005626,0.1585639720524712,4.614031413612565,6.73545221422231,18846,qwen
trstun,inst_trust,0.04067182571576684,2.4477972776892647e-08,0.03193528646153158,1.196140739045069e-05,0.040330351880319706,0.02485638574760302,0.05566126462641498,0.1159046391409227,4.969870950750592,7.1516224188790565,18789,qwen
happy,wellbeing,0.029521545400770864,2.6220223728713164e-05,0.04190521580734207,2.389226256491045e-09,0.02956440392155853,0.01598686160233038,0.04526679461748147,0.1876577390000239,7.3663588841663,7.446983097484277,20273,qwen
stflife,wellbeing,0.04531255776086026,1.0399018579903776e-10,0.051123085808146215,3.0864797207890946e-13,0.045472548313117214,0.031175574287835885,0.060828454900737974,0.07904964932205762,7.055620838229534,7.7046577621214345,20313,qwen
stfeco,wellbeing,0.09242396555133342,2.2357200551391125e-39,0.09630532383078617,1.2786277830389902e-42,0.09203800633325915,0.07725932985186952,0.1057073191716454,0.2663523615804892,4.443766433497048,6.203470493483673,20096,qwen
stfgov,wellbeing,0.04911993094105365,4.388246793191607e-12,0.05482774535868905,1.0770233112545632e-14,0.049544259106363286,0.03510919837379992,0.06397554812538679,0.18424215259272927,4.079756759473314,6.696063414634145,19849,qwen
