variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.08775016541230847,1.1919045305815583e-34,0.10536221516482454,2.8704657566238073e-49,0.0879821370299773,0.07320842768141604,0.10288403651653368,0.22448522717050196,5.072474377745242,7.087602249488753,19504,qwen
pplfair,social_trust,0.0532744784800283,3.613496573602261e-14,0.06337949316474543,1.995388780036196e-19,0.05329516270382057,0.03915219797217932,0.06721548977801778,0.11416737344388679,5.636777892106424,7.2604466965120285,20187,qwen
pplhlp,social_trust,0.050078292764376496,1.6772499613149528e-12,0.0556414423670345,4.353224134042713e-15,0.050050144022996366,0.036229252107716485,0.06466677886576716,0.15848784184231535,5.043355141099502,7.147835584793854,19847,qwen
sclmeet,social_trust,0.029364864893835857,2.9974950636961732e-05,0.030491686661982088,1.4650008624085413e-05,0.029278163860787385,0.015666010324114396,0.04344321219185243,0.23140187836735088,4.801034348165496,3.8247888576085347,20195,qwen
inprdsc,social_trust,0.016770558484109247,0.016752051811253877,0.02431798863378085,0.0005225588862451908,0.016728981356464574,0.003201758655614034,0.031106336535904684,0.13899008925639283,2.73557362594298,3.131689453125,20345,qwen
stfdem,political,0.08771055212915407,8.791291994254994e-35,0.10229349211792588,9.51315471309893e-47,0.08809590796312719,0.0733966653229966,0.10293015910260447,0.10109491423691867,5.042601462062011,7.026727407042601,19600,qwen
polintr,political,-0.02107517634641266,0.002554184051099714,-0.018388625835020777,0.008483240298425291,-0.021130236517165148,-0.03456808022638942,-0.00743687759750739,0.12550842660954067,2.634170119424811,2.969352952640811,20489,qwen
psppipla,political,0.08283205998102174,5.164468134537593e-32,0.08567473482348678,3.875188149782673e-34,0.08246698005921838,0.06879460010184525,0.09704015938128092,0.2777633836146031,2.1431972620405735,3.488125152179206,20146,qwen
psppsgva,political,0.06905150078524616,1.1384159977224065e-22,0.07257202769645707,7.064075353709046e-25,0.0691717171837689,0.055677304997632175,0.08252350645693338,0.24862154963616456,2.198478217624826,3.639354241745398,20092,qwen
vote,political,-0.06223060561958846,7.174884491808104e-19,-0.059140724162178776,3.432121174096647e-17,-0.0625214181363151,-0.0761625480783035,-0.04904794797448572,0.9293915142117445,1.327316545347236,2.333739698639489,20289,qwen
