variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.1002771870486754,8.692433423197098e-47,0.105608092734985,9.975433421117288e-52,0.10036900229854177,0.08624098632351085,0.1143476306876279,0.5599959918432629,5.072474377745242,6.319249926750659,20418,qwen
pplfair,social_trust,0.05070980682120326,4.2101954096331237e-13,0.0467191623642358,2.4298606139132754e-11,0.05075508059395993,0.03618572561197795,0.06592066810820287,0.300257516967226,5.636777892106424,6.703357664233577,20409,qwen
pplhlp,social_trust,0.038900952607302024,2.736318194640907e-08,0.03625304341672098,2.2310888922487156e-07,0.03866185453661933,0.02385962288237239,0.052744017775290676,0.3863908775320789,5.043355141099502,6.632284387979478,20397,qwen
sclmeet,social_trust,0.044290570745818755,2.2679526554139334e-10,0.03903400395048442,2.2877711195712665e-08,0.04387711458064777,0.030208510452855004,0.05768057942345176,0.22543147793422394,4.801034348165496,3.8676582278481013,20486,qwen
inprdsc,social_trust,0.02544061218450245,0.000277701940366426,0.022658862838998067,0.001205140639015425,0.02539753331843112,0.01228141835847884,0.03830375398500877,0.15093906937304444,2.73557362594298,2.810608272506083,20414,qwen
stfdem,political,0.14511844271925223,8.989149686462939e-94,0.13764875823219067,1.8026740441532023e-84,0.14531955368994556,0.13146433001791186,0.160344441819136,0.2652065102499404,5.042601462062011,6.612033296013241,19829,qwen
polintr,political,-0.04397824185449231,2.9440968301930135e-10,-0.045258524478442044,8.853607537941746e-11,-0.04437083355727002,-0.05883086609374646,-0.029762983439143333,0.17778836877849005,2.634170119424811,2.8953284671532846,20515,qwen
psppipla,political,0.1062391461477123,1.104229622955615e-51,0.1126439740530766,6.423919593924985e-58,0.10662643973991412,0.09311822350757042,0.1194762219461021,0.3329282127776436,2.1431972620405735,3.584179402316752,20157,qwen
psppsgva,political,0.05691013570836867,7.156756989344792e-16,0.06918925532774488,9.960773249717677e-23,0.05724501212147384,0.04384534482475564,0.07060405484803726,0.36271291023969543,2.198478217624826,3.7826035012434773,20067,qwen
vote,political,-0.007584714413603709,0.27950617836496144,-0.004179281137401521,0.551257832202865,-0.007535469792311535,-0.020991097717989154,0.0063305543481822655,0.79172609999617,1.327316545347236,2.0107547812545623,20331,qwen
actrolga,efficacy,0.06959709034026826,4.274010201858192e-23,0.07348051070042994,1.448682379380896e-25,0.06967174955947428,0.0553358635488153,0.0845117412572007,0.1469149158251482,2.096441669144613,3.122755365224585,20177,qwen
cptppola,efficacy,0.07979355263867345,7.556627850232981e-30,0.08695263437480787,3.786466665701581e-35,0.07984141037506862,0.06612180988525392,0.09368154486495459,0.20935509404098482,2.1460947185717827,3.213364963503649,20165,qwen
trstprl,inst_trust,0.11979812367454429,3.999162572409846e-65,0.12256017651681705,4.246544384740941e-68,0.11968862302448621,0.10504727017442576,0.13352393161141815,0.5297109130870806,4.434262156658223,4.970440803588843,20094,qwen
trstplt,inst_trust,0.11192239273934469,3.192202574052091e-57,0.11731024592772789,1.0091642664354469e-62,0.11219563324995638,0.09860981141767954,0.12678407700363095,0.6142444843938467,3.5989611674499136,4.500507366572348,20166,qwen
trstlgl,inst_trust,0.15799503048492886,4.75809892429641e-112,0.1475493971004464,8.146628969391625e-98,0.15810661530057152,0.1443363246898503,0.17321624770408783,0.32514980209721406,5.292433537832311,6.663296938974458,20018,qwen
trstprt,inst_trust,0.10840141451575155,1.32204721887051e-53,0.11140692101968791,1.551513522000753e-56,0.10852317090672166,0.09412990579739576,0.12241104145242412,0.6840700068573822,3.5845290700561043,5.356973006067741,20102,qwen
trstplc,inst_trust,0.16722292737271327,5.531446609240034e-127,0.14693307924592858,3.5919975247555517e-98,0.16740993402782278,0.15150730780417476,0.18233650806944096,0.26044652848171135,6.281821317695758,7.220372930451526,20263,qwen
trstep,inst_trust,0.042616768076820445,4.060711535665806e-09,0.03772392600718268,1.9304905852205591e-07,0.04294353377438199,0.028156868680125024,0.05748233980051461,0.45585067072936125,4.614031413612565,5.966451770451771,19033,qwen
trstun,inst_trust,0.05479937161001841,4.4810335409157864e-14,0.04755273379436835,5.866992616359942e-11,0.05491050874442876,0.03947203693412163,0.07072806940113181,0.3226351660616912,4.969870950750592,6.55057824623042,18937,qwen
happy,wellbeing,0.17067216606686375,2.373739687290757e-133,0.1486669833890478,2.6778690895219258e-101,0.17064938511323918,0.15425658101659517,0.1865480413084834,0.21262837104805907,7.3663588841663,7.389615834633385,20431,qwen
stflife,wellbeing,0.19706255756238789,7.528617659717096e-178,0.18313265420051153,1.8477744909080827e-153,0.19747317083173108,0.18133757216575686,0.21360836143070164,0.18137513271670716,7.055620838229534,7.457465556691495,20416,qwen
stfeco,wellbeing,0.12761081839966096,6.1966113933201815e-74,0.11941272457570998,6.614976192499946e-65,0.12717792401087274,0.11352673665610168,0.14178833156894421,0.2553260183203346,4.443766433497048,6.360546038543897,20155,qwen
stfgov,wellbeing,0.10182817902671282,5.304750726954786e-47,0.10259992128620549,1.0785062554147353e-47,0.10187663961792948,0.08662239576083686,0.11722276419836475,0.33475352170955947,4.079756759473314,6.586876947040498,19892,qwen
stfhlth,wellbeing,0.07767429673195023,1.2913359285859564e-28,0.0816594864302954,1.8434859933457196e-31,0.07782817624133045,0.06387951273358289,0.0939222086595309,0.13958581098168288,5.169177174819685,7.069801666585449,20353,qwen
stfedu,wellbeing,0.052142988268904414,2.8135687969698344e-13,0.0500643841826942,2.3572111786073537e-12,0.05224415071858142,0.037143802565285426,0.0674979773208834,0.3031811609606952,5.295611891671757,6.69139748218991,19592,qwen
imueclt,immigration,0.026541336385868135,0.00017924029154186354,0.02345573135475877,0.0009299167330208257,0.026635534224443223,0.012433573634133496,0.041748824138159495,0.2738834120602002,5.450468977278427,7.103922170270797,19922,qwen
imwbcnt,immigration,0.021693934819709812,0.002248227849625144,0.02697597325344742,0.00014500602419595634,0.021550490691007475,0.007696835214190158,0.03607965086709045,0.9094840048899487,5.119836997534839,5.240347283191884,19833,qwen
imbgeco,immigration,0.03751719360317223,1.2241198514099236e-07,0.02738611676928995,0.0001130357641413846,0.037256699852125784,0.022793306170926102,0.05216990077311499,0.24167752396143813,5.385114081817268,6.857467959651089,19869,qwen
imsmetn,immigration,-0.01798342572164551,0.01081097597361746,-0.015238785948328728,0.03079518607358983,-0.017941234022048273,-0.03344273867614687,-0.003527016017320359,0.41440581323832804,2.028021102926538,2.923133093174959,20086,qwen
impcntr,immigration,0.0020128652338129802,0.7757365448201896,0.0021588895687619705,0.7599502195322215,0.0018472996898093136,-0.01312272833498416,0.01577728102186626,0.6898085163820015,2.4483532934131738,2.762498174560678,20033,qwen
imdfetn,immigration,-0.008622047953915617,0.22193843372702238,-0.003233584961764509,0.6469102010132955,-0.009201124417813017,-0.024313430904834423,0.005450828774092104,0.4428455870407408,2.3755915317559153,2.8369353582554515,20069,qwen
gincdif,values,0.03507292117984829,6.43696515955585e-07,0.04087844074460335,6.54520973384677e-09,0.03518440809319965,0.02198083081779367,0.04854565684002854,0.35465409550841326,2.0931963674259344,3.608918221226438,20132,qwen
freehms,values,-0.09536358512212854,4.017661356958597e-41,-0.10383929360727734,1.8029765721844315e-48,-0.09526814023032133,-0.109794799472786,-0.0807530287245431,0.5212985080067397,2.1362388298137884,3.842821171126691,19746,qwen
hmsfmlsh,values,-0.018078046170399056,0.011175478716478908,-0.023804026646559243,0.0008348429661750922,-0.01799643626639387,-0.03224768724686334,-0.0035338172636957175,0.1298424345301109,3.8118399675060926,2.941508515815085,19696,qwen
