variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
sclmeet,social_trust,0.029587783096794548,2.270528876121401e-05,0.025871603965592824,0.00021206538018059645,0.029640560540062377,0.015619171749062783,0.042950320226335666,0.2062438840291774,4.801034348165496,3.8398340551851673,20495,qwen
inprdsc,social_trust,0.04410724211873293,2.8890599569644465e-10,0.040706885053755956,5.950032638022032e-09,0.04380609867394392,0.02962053029208333,0.05756895202149485,0.12962856515221968,2.73557362594298,2.8631143552311435,20414,qwen
stfdem,political,0.13052222757666668,4.3556327717034415e-76,0.13346834958643686,1.6621482000953684e-79,0.13069231366432338,0.11715033978410004,0.1441367738608697,0.24881227537532963,5.042601462062011,6.593186684835507,19834,qwen
polintr,political,-0.11411537273219438,1.99589932861908e-60,-0.12194545067131289,8.351645523363283e-69,-0.11416273826347324,-0.1281435036790185,-0.10005053774316662,0.20414849163984067,2.634170119424811,2.8597323600973237,20515,qwen
psppipla,political,0.09050081087245677,6.160532823114013e-38,0.09961063752279219,1.2527342988738907e-45,0.09030571852103798,0.07581364273551586,0.10546491625489196,0.3516877266567956,2.1431972620405735,3.359022168153555,20161,qwen
psppsgva,political,0.06337897783084308,2.34529411922089e-19,0.0719971728195735,1.5800639723699542e-24,0.06328882656165356,0.04877625503810479,0.07687308766735117,0.48524180977828474,2.198478217624826,3.589024330900243,20108,qwen
actrolga,efficacy,0.1131024967153676,1.94199164658923e-58,0.1233005166375721,3.45757827068815e-69,0.11323415178386827,0.10040910555489695,0.1257867772340011,0.15714654885893298,2.096441669144613,3.0781727493917272,20178,qwen
cptppola,efficacy,0.11055774477660846,7.256988114306521e-56,0.11692690171397338,2.5704371317223445e-62,0.1105583422297685,0.09588645355421709,0.12513386263350365,0.19787511002607064,2.1460947185717827,3.1384665920482746,20164,qwen
trstplc,inst_trust,0.13766873780594638,2.6786899235945297e-86,0.12038418421584969,2.769429486783719e-66,0.1373852764687078,0.12167714890804851,0.15362687143569,0.20904098893665807,6.281821317695758,7.312773526974998,20262,qwen
happy,wellbeing,0.18396736867120267,3.5038050506038847e-155,0.16033094559061176,7.282117883455973e-118,0.18402560719744962,0.16938289333055515,0.19889297432633424,0.2082029327837627,7.3663588841663,7.432627324958613,20458,qwen
stflife,wellbeing,0.18773293784351192,2.297833554923727e-161,0.1785949725790751,5.537471956360625e-146,0.18769147383841603,0.17212261293819633,0.20437098878486076,0.1485323480645644,7.055620838229534,7.554189781021897,20424,qwen
imsmetn,immigration,-0.03539232818121802,5.221496446389707e-07,-0.0325419897882141,3.956776604624757e-06,-0.0355347917544382,-0.04932115962943111,-0.020590309104934708,0.5074640072577703,2.028021102926538,2.949294403892944,20092,qwen
impcntr,immigration,-0.051027971276566386,4.911140399959528e-13,-0.04831896604868881,7.724706910967139e-12,-0.051461117666239356,-0.06558205766998863,-0.037559308890563234,0.7328726100735085,2.4483532934131738,2.75322400116794,20039,qwen
imdfetn,immigration,-0.07685466763450853,1.0944912438294243e-27,-0.07643128740479256,2.1189564442423857e-27,-0.07715922349599552,-0.09239579983409309,-0.06268617458372977,0.5551285806748839,2.3755915317559153,2.856204379562044,20075,qwen
gincdif,values,0.04617730873939854,5.4477434870898e-11,0.04781270610081947,1.1160790141422962e-11,0.04597330167622026,0.03290058061674052,0.05991483777061157,0.3575087075279031,2.0931963674259344,3.4586082725060825,20151,qwen
freehms,values,-0.1698557106665372,1.84005555939112e-129,-0.17534554325055757,5.758898745804997e-138,-0.1702538312022069,-0.18386215350491064,-0.1558787827328479,0.5904431596942242,2.1362388298137884,3.908272067773504,20020,qwen
hmsfmlsh,values,-0.0044970165898248465,0.5280265876197601,-0.004690181030731926,0.5104568880595451,-0.004239694757356151,-0.017499226664040555,0.010087385819809952,0.12736171402243052,3.8118399675060926,2.965589409130731,19692,qwen
hmsacld,values,-0.06863234897046208,3.704771360856663e-22,-0.07781161091336189,4.920563709767151e-28,-0.06865872706165041,-0.08362787010334767,-0.054828898854106294,0.2673173385737064,2.852607709750567,3.1615163754927247,19844,qwen
health,health,-0.09010011954598826,2.9384860017524003e-38,-0.10485337474154119,2.906213488072832e-51,-0.08974547111464028,-0.10247166523750367,-0.07717489198572904,0.38489203381832593,2.185986454222092,3.285192340019769,20522,qwen
rlgatnd,religion,0.021838594799211474,0.0018016811299241837,0.02667190027120301,0.00013779051093945954,0.02220720115252526,0.00832611760853531,0.035934089710631015,0.16683210916866906,5.397963180571876,3.0562071147014453,20423,qwen
aesfdrk,safety,-0.04647495011575004,3.355662343735779e-11,-0.04750027472957835,1.2313227894328526e-11,-0.04635175472396358,-0.05945358536957044,-0.03298490544396101,0.48576023404585705,1.89283430875916,2.6992165068859797,20332,qwen
hincfel,income,-0.18663047391999082,3.6592101836568505e-158,-0.17938270511133464,4.48324906974888e-146,-0.18611581234795513,-0.19991290139896087,-0.17111011491849515,0.3643122505064534,1.948062206862503,2.826228710462287,20255,qwen
