variable,domain,r_pearson,p_pearson,r_spearman,p_spearman,r_boot_mean,r_ci_lo,r_ci_hi,var_ratio,human_mean,silicon_mean,n_valid,model
ppltrst,social_trust,0.1331852600439731,2.163127383360242e-81,0.1472552698312235,2.885350469008038e-99,0.13311223661925312,0.11895564469867889,0.14761263203338518,0.436246072654067,5.072474377745242,6.799315838342375,20403,qwen
pplfair,social_trust,0.08822907143359317,1.4864686959986782e-36,0.1024671052775525,9.255251893855714e-49,0.08834754116253907,0.07500425822087906,0.10237779198448003,0.1766227979635037,5.636777892106424,7.258730776717928,20407,qwen
pplhlp,social_trust,0.05258963659524971,5.790858154824765e-14,0.06581136332646129,5.19237055250808e-21,0.05263627668621321,0.03808191791616503,0.06626844826392833,0.2680207896767785,5.043355141099502,7.175242053789732,20382,qwen
sclmeet,social_trust,0.04016877168638984,9.00437243612059e-09,0.033744116394916104,1.3756939737126836e-06,0.039745551842572883,0.02682878361129776,0.053885740784776336,0.23913409401031688,4.801034348165496,3.8520723104056436,20466,qwen
inprdsc,social_trust,0.055342040921426736,2.526186117139209e-15,0.05624222170514746,8.894032882183821e-16,0.055560299903509844,0.04166213600591643,0.07017000485621236,0.15149377256517566,2.73557362594298,2.9334728440724156,20412,qwen
stfdem,political,0.13079819408689855,2.4965613008843575e-76,0.14243554828849997,2.6322448216604807e-90,0.1307494236184477,0.11610851091630467,0.14453989126243694,0.24959882113097384,5.042601462062011,6.954664588103473,19814,qwen
polintr,political,-0.09314167584353061,9.177519803264073e-41,-0.09447384628070761,6.814598946384681e-42,-0.09324467187375995,-0.10701868516899385,-0.07982908870756106,0.2531253926943386,2.634170119424811,2.8729440389294405,20515,qwen
psppipla,political,0.11721904414167975,1.3011681017329285e-62,0.12459428776949971,1.462708679929299e-70,0.1170835507436065,0.10346282930250535,0.13072821936461226,0.3173633284968744,2.1431972620405735,3.494416327780237,20161,qwen
psppsgva,political,0.09459240312598113,3.394777511723131e-41,0.10263643126535205,3.16899219806769e-48,0.09441976684298697,0.08035761338317586,0.10832380673234118,0.3407716768296782,2.198478217624826,3.690729927007299,20108,qwen
vote,political,-0.05421429968509853,1.0334018592748496e-14,-0.0555598160682167,2.2388296084301307e-15,-0.05426314838498352,-0.06720497781248357,-0.04094655670118981,1.1306139715844636,1.327316545347236,2.336010123132331,20329,qwen
