variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,-0.02274597489993957,0.5523056181882035,-0.03394385738436828,0.37506336012496333,5.872992700729927,6.476204379562043,2.160230103675031,1.7129205128417735,685
ppltrst,social_trust,BE,0.0027043755471919486,0.9437166173278537,0.0016990265998246224,0.9646221722064373,5.6345029239766085,6.603216374269007,2.1244672852188344,1.6829664791090455,684
ppltrst,social_trust,BG,0.011929463018642828,0.7558165448704061,0.019412671606369516,0.6127989765766969,3.7052785923753664,6.403519061583578,2.3936286565533704,1.7334031758712984,682
ppltrst,social_trust,CH,-0.001370061931799438,0.9715106237955206,-0.012762956436835548,0.7393544083666095,5.853372434017595,6.636950146627566,2.116065824072765,1.6739907456735135,682
ppltrst,social_trust,CY,0.032882632748526826,0.3901852600600725,0.04528396181217604,0.2365566450402675,4.05985401459854,6.655912408759124,2.496941399577914,1.7344499417693473,685
ppltrst,social_trust,DE,-0.006544969779158381,0.8642338046952569,0.009695815696331937,0.8000315484446305,5.382481751824818,6.470802919708029,2.233382357743512,1.6953221063962765,685
ppltrst,social_trust,EE,0.0475845756383623,0.21355932792488866,0.042964538253393046,0.2614568460306347,5.716788321167884,6.64,1.9915967228071436,1.7086741209083691,685
ppltrst,social_trust,ES,0.08228437209324231,0.031543344499794866,0.07317648236494864,0.055943683823041504,5.338213762811128,6.525768667642752,2.1439653496533286,1.8015008696520298,683
ppltrst,social_trust,FI,0.03873969514550691,0.31168095550795444,0.008154339115284131,0.8314228121900467,7.002923976608187,6.650877192982457,1.8134014503084113,1.7047987879211808,684
ppltrst,social_trust,FR,0.038838843798986764,0.3115105705928995,0.024962934904976117,0.5154747078709505,4.546255506607929,6.5186490455212915,2.157338008212712,1.7790335930440535,681
ppltrst,social_trust,GB,0.04400291166233973,0.2507895336005276,0.048347595585168046,0.2069658119244915,5.440702781844802,6.426207906295755,2.2963532426547317,1.7139076095154586,683
ppltrst,social_trust,GR,0.004810194523933752,0.9000695084298976,0.01863562790645029,0.6265873821734308,4.516081871345029,6.5590643274853795,1.925715283972969,1.7308135855403537,684
ppltrst,social_trust,HR,-0.03786694649071023,0.3230710236206193,-0.042330955715710106,0.2692647226347629,4.689604685212299,6.567642752562225,2.3704548090724806,1.7815093376912106,683
ppltrst,social_trust,HU,0.0259249972913963,0.49878449646030687,0.030065313101921384,0.4327625711182334,4.483162518301611,6.454465592972181,2.485900525114219,1.829833365785446,683
ppltrst,social_trust,IE,-0.02453263260016965,0.5221307561226689,-0.025721749310404267,0.5021575675959737,5.411420204978038,6.589165446559297,2.476692206360271,1.743694053036015,683
ppltrst,social_trust,IL,0.07363068080699882,0.054611182944491056,0.07648386612874504,0.045863495538282874,5.2082111436950145,6.426099706744869,2.3778326542387984,1.7864046145051569,682
ppltrst,social_trust,IS,-0.006550948862989064,0.8641109800264446,0.0029847107784361144,0.9378480503736909,6.56058394160584,6.418978102189781,2.0515062810254276,1.7718367269437345,685
ppltrst,social_trust,IT,-0.050133723981115874,0.19163978979417515,-0.041316048969904526,0.28198630201955227,4.560294117647059,6.572647058823529,2.3202787721575597,1.6962712443632892,680
ppltrst,social_trust,LT,-0.004946556654510721,0.8974772315280872,0.002907616814089617,0.9396276483440147,5.135095447870778,6.481350954478707,2.4112393746284626,1.7242019283961834,681
ppltrst,social_trust,LV,-0.001631950242696731,0.9660678733476452,-0.009654966066242065,0.8012852999565653,3.86950146627566,6.34516129032258,2.56583953065288,1.7466347051774997,682
ppltrst,social_trust,ME,-0.030903581447444196,0.4200377594568554,-0.02762504800338734,0.47104760824240227,4.241581259150805,6.430453879941435,2.562743184152103,1.7833650353781783,683
ppltrst,social_trust,NL,0.03502177806503765,0.3611369982373086,0.03173632670723294,0.40796143063916773,6.252199413489736,6.6413489736070375,1.9639263995646945,1.6564712945589843,682
ppltrst,social_trust,NO,-0.027543685301255876,0.47170530000033534,-0.038844434632036004,0.3100188219388713,6.67007299270073,6.629197080291971,1.8915928559486508,1.675248108705829,685
ppltrst,social_trust,PL,-0.028595349621657565,0.45593696575171877,-0.028251822745056738,0.4613695073024557,4.542521994134898,6.538563049853373,2.334465907898342,1.7832866552644124,682
ppltrst,social_trust,PT,0.028924074156359444,0.4497745009723352,0.028473108986689956,0.45687501984968637,4.1197080291970805,6.442481751824818,2.37006919409621,1.8344469428929593,685
ppltrst,social_trust,RS,0.06107615483668802,0.11129469483270393,0.05336559971305149,0.16420710917486014,4.333333333333333,6.37826725403818,2.7757705165925213,1.719540959332805,681
ppltrst,social_trust,SE,0.07074655005449726,0.06442955795385968,0.07666744322502293,0.045027522736985,6.315789473684211,6.576023391812866,2.0217664288807113,1.687750538258974,684
