variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.004746040626301068,0.9024811647852233,0.02060456670309634,0.5947276071209663,5.87593423019432,6.971300448430494,2.157254347317708,1.2746896819791513,669
ppltrst,social_trust,BE,-0.032730124331838424,0.39976958363927295,-0.016448828254993764,0.6722320325217558,5.626506024096385,7.1227409638554215,2.1354486686771255,1.0802956214072372,664
ppltrst,social_trust,BG,0.07075517200883956,0.06949581592463551,0.05667891451958581,0.14610984638236454,3.6889226100151746,7.050834597875569,2.3774616534141146,1.2505603856158585,659
ppltrst,social_trust,CH,0.023543884196033198,0.5450684531114056,0.024047808829734302,0.5364943642765593,5.8431372549019605,7.156108597285068,2.13009165175559,1.0914337975399058,663
ppltrst,social_trust,CY,-0.0010743823346091076,0.9779550678800539,-0.026598987081483966,0.49382514492995333,4.078313253012048,7.0094879518072295,2.493408417551566,1.2349426290273005,664
ppltrst,social_trust,DE,-0.008752805138924246,0.8226794386881876,-0.0009982775359015023,0.9796093721731999,5.37386018237082,7.091185410334346,2.2213953391667607,1.1297343307665484,658
ppltrst,social_trust,EE,-0.013805261592743484,0.7229296087148849,-0.019586765320829046,0.6149285537350386,5.7265861027190335,7.11404833836858,1.987674609916047,1.1223485146246417,662
ppltrst,social_trust,ES,0.12128185844979981,0.0018588659138012629,0.06911331720213845,0.07690986030400873,5.365853658536586,7.088414634146342,2.1409119559148064,1.1276347949888228,656
ppltrst,social_trust,FI,0.04471413615742699,0.249536198265912,0.027582991451611236,0.4776446639683175,7.013533834586466,7.025563909774436,1.807313703962654,1.300234810544217,665
ppltrst,social_trust,FR,-0.0258212701014202,0.5088041362551783,-0.0528064087725084,0.1764072036427633,4.575342465753424,7.089041095890411,2.1422437191775114,1.1204454525000604,657
ppltrst,social_trust,GB,0.06713199025947442,0.08530450799654718,0.042639749353188185,0.27474911487388193,5.430091185410334,6.99468085106383,2.274631518665397,1.2709321253486003,658
ppltrst,social_trust,GR,-0.008054731657604244,0.8351464957572446,-0.009438940270186772,0.8073314041577868,4.516417910447761,7.027611940298508,1.9305270867210436,1.206756749379968,670
ppltrst,social_trust,HR,0.020956276011553757,0.5918289630609479,0.04118416663268197,0.2918508393718456,4.710806697108067,7.057077625570776,2.3714039760782972,1.268226621618612,657
ppltrst,social_trust,HU,0.02787191804921184,0.47137754825692446,0.0114738847463418,0.7668869563052417,4.485074626865671,7.031044776119403,2.503017833623834,1.1529479137686802,670
ppltrst,social_trust,IE,-0.0426681427575489,0.2773775365552629,-0.06475747755924198,0.0990345780950028,5.392307692307693,7.04,2.502067415870662,1.215247253022375,650
ppltrst,social_trust,IL,0.020453352643589367,0.5993662485228921,-0.006574643882350034,0.8659197279406706,5.2009063444108765,7.130362537764351,2.37494468641483,1.185412924597045,662
ppltrst,social_trust,IS,0.03565675856098154,0.360040262773971,0.05712774147137742,0.1423303347551129,6.544629349470499,7.120272314674735,2.0567455294751684,1.0785008892701962,661
ppltrst,social_trust,IT,-0.038140738596163605,0.3271657096621023,-0.02871634859273432,0.46075203635080875,4.566465256797583,7.03141993957704,2.3274249724906775,1.1210990293776029,662
ppltrst,social_trust,LT,-0.01268212118012549,0.7455880537073074,-0.015284031963628621,0.6957696590300855,5.149162861491629,7.094063926940639,2.4355666314891713,1.1952184011279787,657
ppltrst,social_trust,LV,0.006698325359006723,0.8633194315562097,-0.035332776295138466,0.3636970365283554,3.885369532428356,6.929562594268477,2.561417211941908,1.3599807695638906,663
ppltrst,social_trust,ME,0.04112350797399574,0.2907266424907544,-0.04008178801817119,0.30313036531478305,4.2492447129909365,7.185800604229607,2.5511038880135724,1.0143796131210048,662
ppltrst,social_trust,NL,0.0003363685839588607,0.9931339805489556,0.013885061372887956,0.7224087174337731,6.243531202435312,7.06544901065449,1.9743148732961053,1.2123511302511016,657
ppltrst,social_trust,NO,0.0228096458479701,0.5576815235892414,0.005768632901699952,0.8821405469555942,6.675716440422323,7.03921568627451,1.8669000408090437,1.1149765907049505,663
ppltrst,social_trust,PL,-0.000877510373154627,0.9819802615424942,-0.010444662708759333,0.7880502463337129,4.515789473684211,7.09624060150376,2.332356289083291,1.111509205138703,665
ppltrst,social_trust,PT,0.08065167382594428,0.03906177301814634,0.08068928777994165,0.038970230638876543,4.112977099236641,7.029007633587787,2.373283926826725,1.2769713158610312,655
ppltrst,social_trust,RS,-0.020096622348697742,0.6082212044358253,-0.013631783390489802,0.7280703791754708,4.355283307810107,7.065849923430322,2.760249797697158,1.2242240896234065,653
ppltrst,social_trust,SE,0.09372654040143841,0.016255991777835228,0.05820513700937668,0.1361355419855265,6.301369863013699,6.987062404870624,2.036379785995208,1.1625770564819486,657
ppltrst,social_trust,SI,-0.1414453273274342,0.0002558601899279693,-0.15190983257870758,8.498237668550017e-05,4.703313253012048,7.150602409638554,2.3835005724034604,1.0684984453223723,664
ppltrst,social_trust,SK,0.051297299689232474,0.18911090761581195,0.029461386939832118,0.45092113487547614,4.0867579908675795,7.113394216133942,2.7341714072695047,1.1090001339497855,657
ppltrst,social_trust,UA,0.055887627383479126,0.15214507346388143,0.06535421077458001,0.0939268178686671,3.930091185410334,7.085106382978723,2.836161412791007,1.185101606696065,658
pplfair,social_trust,AT,0.03839817699665959,0.31775092209328926,0.023119815368677032,0.5475616544742906,6.332842415316642,7.203681885125184,1.9899369307605645,0.7599107183305215,679
pplfair,social_trust,BE,0.0005211442067908487,0.989217213913882,-0.007911159685067747,0.8374469499206436,5.997037037037037,7.154518518518519,1.9813649920102827,0.7314204286860503,675
pplfair,social_trust,BG,-0.01951996306896515,0.6132087898837738,-0.0489754430266377,0.20446511764246544,4.317979197622585,7.170133729569094,2.2193522662501044,0.6838590689150864,673
