variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.016191044946911218,0.6727376479676316,0.02029232847095541,0.5965222563942527,5.874084919472914,6.702196193265008,2.163131250762971,1.5988021110164843,683
ppltrst,social_trust,BE,0.032829464460365956,0.39164751774441897,0.05625651234078084,0.14191606586080904,5.635431918008785,7.107759882869693,2.1258852037877207,1.3515760717558944,683
ppltrst,social_trust,BG,0.16676523092670262,1.2531848594019632e-05,0.155138970092238,4.91338397614123e-05,3.715758468335788,6.495581737849779,2.390412692053733,1.8875022691242487,679
ppltrst,social_trust,CH,0.053761233873528186,0.16078972515251572,0.027726986575232662,0.4697385176516362,5.853372434017595,7.129912023460411,2.116065824072765,1.4055531750636767,682
ppltrst,social_trust,CY,0.13205271512532232,0.0005352140197489562,0.13673829994182582,0.00033516075494291513,4.064327485380117,6.765350877192983,2.4960201383315153,1.8426732823429197,684
ppltrst,social_trust,DE,0.05857787224771239,0.1267237016977952,0.06834355057748051,0.07470039119553643,5.381791483113069,6.819089574155653,2.2290641053743907,1.5118414149716546,681
ppltrst,social_trust,EE,0.1751509434825022,4.0640315950150635e-06,0.14666260864215816,0.00011833788294296981,5.7178362573099415,7.4600877192982455,1.992865164328234,1.086803845430904,684
ppltrst,social_trust,ES,0.04145805145878321,0.2799795257946123,0.041369650234113965,0.2810071190616883,5.3392070484581495,6.7067547723935395,2.140864026991881,1.636005235163038,681
ppltrst,social_trust,FI,0.17382943015899685,4.8131480697056245e-06,0.1369787226328056,0.00032707507511148883,7.002923976608187,7.3615497076023395,1.8134014503084113,1.3440823924744336,684
ppltrst,social_trust,FR,0.05461469971261911,0.15515154409789345,0.053197186680167034,0.16616900244209803,4.544918998527246,6.870250368188512,2.1542233919982916,1.6787053663864961,679
ppltrst,social_trust,GB,0.09017033703314549,0.018681754259335936,0.07568034194149705,0.048529662500572696,5.435294117647059,6.6883823529411774,2.299757604303441,1.6351704367657844,680
ppltrst,social_trust,GR,0.05736435036939751,0.13450729098728137,0.05693364259032557,0.1374625306404881,4.511730205278592,6.9605571847507335,1.9146265047020896,1.372623557515245,682
ppltrst,social_trust,HR,-0.04730008387780454,0.2173249817451114,-0.022788396843271965,0.5524402782444177,4.687683284457478,6.793255131964809,2.3716622854994065,1.749297729284089,682
ppltrst,social_trust,HU,0.13511671561358535,0.0004188289869027059,0.11355434541646793,0.003067379788137506,4.491150442477876,6.808849557522123,2.484054585280124,1.8116425145905266,678
ppltrst,social_trust,IE,0.10442229612689542,0.0063052029174217915,0.0847512236437126,0.026771034009813677,5.411420204978038,6.927525622254758,2.476692206360271,1.4279686977014816,683
ppltrst,social_trust,IL,0.27746948995949666,1.740539437594137e-13,0.2714753405098035,5.939399931185899e-13,5.214705882352941,6.926176470588236,2.3783055257987513,1.8610154713014773,680
ppltrst,social_trust,IS,0.14692463103846445,0.00011636200549112053,0.11404504071269671,0.0028379364852548256,6.5549048316251834,7.26632503660322,2.0516394520179047,1.370577652819219,683
ppltrst,social_trust,IT,0.03145320591655908,0.41353805275498007,0.03990999522587782,0.2994145649694043,4.553097345132743,6.403834808259587,2.3199056720672586,1.790740185746842,678
ppltrst,social_trust,LT,0.1300746975500818,0.0006922965648562319,0.12798009400631347,0.0008452874992211779,5.116691285081241,6.738257016248154,2.4024708030042414,1.6581157514140963,677
ppltrst,social_trust,LV,0.024851422289494333,0.51766206660046,0.04041461623775413,0.29262739391859965,3.873529411764706,6.66,2.567246833189401,1.8227138322528074,680
ppltrst,social_trust,ME,0.08828827678902573,0.021019675683367895,0.10651492989064446,0.005327704140945312,4.241581259150805,6.922547584187409,2.562743184152103,1.5804583614455703,683
ppltrst,social_trust,NL,0.05110496136441559,0.18316518706013726,0.062347554275672616,0.10428732674251914,6.251470588235295,7.32485294117647,1.96508497360249,1.3029986856506197,680
ppltrst,social_trust,NO,0.03871195630121686,0.3127388942188964,0.05143802879582278,0.17968195235244044,6.664222873900293,7.440029325513197,1.8913618609018106,1.100378522120207,682
ppltrst,social_trust,PL,0.11725552399125001,0.0022276650016226913,0.09398756700189169,0.014357413628234629,4.547197640117994,7.111061946902655,2.33842404085617,1.5525397477165055,678
ppltrst,social_trust,PT,0.07491106859315112,0.05052740459028216,0.11894012984023898,0.0018614544683956346,4.129032258064516,6.46041055718475,2.371095263344889,1.864117891662077,682
ppltrst,social_trust,RS,0.07508647716405366,0.050157208788599875,0.0631431207296087,0.09968195349138871,4.333333333333333,6.5635829662261385,2.7757705165925213,1.638119823223819,681
ppltrst,social_trust,SE,0.03476614952959006,0.36394996857132095,0.02072177949450734,0.5884995064501094,6.315789473684211,7.396198830409356,2.0217664288807113,1.1231818670761402,684
ppltrst,social_trust,SI,0.04121674919862262,0.2831454966061413,0.023979057124808918,0.5324721810136016,4.686764705882353,6.961764705882353,2.3893112749719965,1.6727944758394648,680
ppltrst,social_trust,SK,0.07891701813886397,0.03950907570521102,0.06686711300818311,0.08120986561451639,4.051395007342144,6.590748898678414,2.7378612237482836,1.8249221248742102,681
ppltrst,social_trust,UA,0.01620682210454231,0.6747138941609429,0.011673083898718423,0.7624436943002356,3.930163447251114,5.828083209509659,2.833609321822864,1.9643016553131227,673
pplfair,social_trust,AT,-0.027882789730840275,0.46691787130967743,-0.011799636403549592,0.7582187444362322,6.341142020497804,7.048023426061493,1.9887933495293022,0.8061937939900122,683
pplfair,social_trust,BE,0.008397823879153605,0.8264679676159006,0.006875504617884842,0.8575521761544412,6.017543859649122,7.167105263157895,1.9778382218342525,0.8986649186701311,684
pplfair,social_trust,BG,0.10694033022781345,0.00524577075814547,0.1266022361830534,0.0009375348246114795,4.310294117647059,7.091176470588235,2.2163962381536,0.9367690052018256,680
pplfair,social_trust,CH,0.06056807175361656,0.11377404631986265,0.08019734051492958,0.03613227056799341,6.4099560761347,7.298389458272328,1.8802930367967179,0.811779324784004,683
pplfair,social_trust,CY,0.044503545708154395,0.24508688733338518,0.048727957142010045,0.203079542512026,4.428362573099415,7.131432748538011,2.258379472540865,0.955491330997396,684
pplfair,social_trust,DE,0.0472993875321039,0.21631936387409584,0.041810790663346954,0.2744937285948295,6.245255474452555,7.107737226277372,1.944702310496455,0.7867590199104323,685
pplfair,social_trust,EE,0.10383108442805677,0.006689289754651525,0.11685243928182415,0.0022562720000846824,6.212922173274596,7.329074889867842,2.0551679067211146,0.7496904431561939,681
pplfair,social_trust,ES,0.02644530515186199,0.4902045999955489,0.05463660877113914,0.1537708394491749,5.588579795021962,7.04407027818448,2.1753723254316526,1.0038076224328651,683
pplfair,social_trust,FI,0.11411848891161153,0.0027998702775441134,0.11672214551725216,0.0022315155466056374,7.16374269005848,7.3048245614035086,1.7059283500345526,0.8901560879029591,684
pplfair,social_trust,FR,0.07696340356686233,0.04451559499236305,0.0784152052506825,0.040636502783805144,6.146627565982405,7.2848973607038126,1.9953459960021371,0.8635500633528236,682
pplfair,social_trust,GB,0.05015579202753508,0.19177213278590347,0.06975003997780471,0.0693114172132205,5.945508100147276,7.020618556701031,2.183669545497061,0.8721445952331379,679
pplfair,social_trust,GR,0.04594333352015353,0.23116395951058347,0.04787461912928527,0.21212067168470583,4.930983847283406,7.159030837004406,2.001380494449328,0.7928605696282356,681
pplfair,social_trust,HR,-0.06589663761213624,0.08666225374394458,-0.03837868560870823,0.3187132362840599,5.192023633677991,7.118611521418021,2.4310117112570695,0.8506571553232027,677
pplfair,social_trust,HU,0.047689929733964506,0.2132174766332847,0.059973229990291144,0.11737313634454768,5.1039531478770135,7.175695461200585,2.1153049760014926,0.8942768049627168,683
pplfair,social_trust,IE,0.027351498210927565,0.4757770390079105,0.029244231741091913,0.4457741526553265,6.145161290322581,7.1385630498533725,2.1658913214281967,0.7878070380527005,682
pplfair,social_trust,IL,0.15626223246235466,4.323634625718176e-05,0.16393920384055977,1.7621610987128732e-05,5.341678939617084,7.190721649484536,2.28588411857488,0.9693317547286371,679
pplfair,social_trust,IS,0.08798280513299189,0.02137442604888048,0.08264980977974891,0.03067076321767613,6.980994152046784,7.226315789473684,1.8377658965300543,0.9629340806179972,684
pplfair,social_trust,IT,0.005320006277080298,0.8899461832556503,0.007750141041057388,0.8402441212104577,4.634756995581738,7.158321060382916,2.2199882187973925,0.8446696357294713,679
pplfair,social_trust,LT,0.051085764226374834,0.185281683298735,0.056631922194292715,0.14191417697746736,5.519287833827893,7.163649851632048,2.240465768997793,0.7948005453770318,674
pplfair,social_trust,LV,0.02685565289062943,0.48607646160530193,0.019322061712587903,0.6162879066460774,5.632592592592593,7.127851851851852,2.231047099831404,0.8396307521631277,675
pplfair,social_trust,ME,0.01985399960307499,0.6066111924464337,0.015645794003286882,0.6849181524486201,4.354074074074074,7.056444444444445,2.3304131319199115,0.9559120015452879,675
pplfair,social_trust,NL,0.04677336248592073,0.22181600505574373,0.04493439359489418,0.24054314702784219,6.6154970760233915,7.38945570355918,1.6242469731723888,0.8238178552070883,684
pplfair,social_trust,NO,0.06979132744731366,0.06792498228579236,0.043880958992728154,0.25141072740255677,6.890510948905109,7.334306569343066,1.845172427784769,0.8182349742765187,685
pplfair,social_trust,PL,0.08645486727568567,0.025013673018334518,0.1212743606663631,0.0016351094633265263,5.21875,7.077827380952381,2.249968951598991,0.9527743065643438,672
pplfair,social_trust,PT,0.06127751900073951,0.11011852414086995,0.06633475801866322,0.08366677260525508,5.138032305433186,7.009691629955948,2.2119411767818464,0.9535660895402143,681
pplfair,social_trust,RS,0.002297748862722009,0.9523087115935128,0.02053518857078279,0.5929518131178914,4.675,7.076911764705883,2.846379764088735,0.787576131585091,680
pplfair,social_trust,SE,0.08837175477645895,0.020804266918038376,0.0480996965225643,0.2089721724208876,6.757309941520468,7.346929824561403,1.779052279615545,0.8455062096511655,684
pplfair,social_trust,SI,0.0454704881615304,0.23739158992232848,0.04762966570071018,0.21582758221921355,5.443131462333826,7.144756277695716,2.2456600357146,0.7978464771887228,677
pplfair,social_trust,SK,0.07160459505958307,0.06163220117794935,0.07573331226196173,0.04804195479116101,4.854838709677419,6.9985337243401755,2.504219356369087,1.0715918783661227,682
pplfair,social_trust,UA,0.05895333666378296,0.12825573060941242,0.03848016525114572,0.32104855352010003,4.787106446776612,6.911244377811094,2.4247748774617794,0.9799687952119772,667
pplhlp,social_trust,AT,0.03685474755339906,0.3368941581997993,0.021284682611427616,0.5792456016437322,6.248164464023495,6.653010279001468,2.0597901826257012,1.3180959579279317,681
pplhlp,social_trust,BE,0.06033259295062781,0.11465557956129643,0.046311040089221656,0.22608257665702988,5.2437956204379566,6.854890510948906,2.1392619551036502,1.3177466794092243,685
pplhlp,social_trust,BG,0.08361838128467182,0.02947401209207676,0.10708436525833602,0.00525140439589172,3.575221238938053,6.628023598820059,2.293676271238807,1.51697804220606,678
pplhlp,social_trust,CH,-0.025285490227301418,0.5103729597791312,-0.05291441825372151,0.16812109447275847,5.916176470588235,6.831764705882353,1.8965211383771947,1.264989002235801,680
pplhlp,social_trust,CY,0.07387711621872298,0.05451487418240806,0.06016714911943855,0.11753938428878548,4.144542772861357,6.71504424778761,2.2482012531865383,1.55389943987238,678
pplhlp,social_trust,DE,-0.014317780684808927,0.709376026478251,-0.02832866512405978,0.4608121839135422,5.435294117647059,6.7041176470588235,2.0033671733328697,1.279444645832706,680
pplhlp,social_trust,EE,0.05008486455050695,0.19306066808063782,0.050235086898816936,0.1917271139836176,5.0930576070901035,7.082865583456426,2.002637820665373,1.1176245683110442,677
pplhlp,social_trust,ES,0.005984951294422075,0.8763856977334183,0.001107637010105046,0.9770337331699198,4.815634218289086,6.686283185840709,2.2808541887976075,1.351000741629072,678
pplhlp,social_trust,FI,-0.04571700888931687,0.2324418129861722,-0.06704219716306277,0.07974876642007318,6.409356725146199,6.9792397660818715,1.9175463660172243,1.2540681704369263,684
pplhlp,social_trust,FR,-0.014950764288528182,0.6969360313802454,-0.005719644615581431,0.8815641055687408,4.634361233480176,6.963582966226138,2.200920912580941,1.2141669000270057,681
pplhlp,social_trust,GB,0.05505422373781643,0.15124636052711377,0.052367642828292406,0.17224960644801157,6.066079295154185,6.70352422907489,2.0000097175197977,1.3802022133657574,681
pplhlp,social_trust,GR,0.07480081591535756,0.05138259252420414,0.09484502807415887,0.013418728691971348,4.351988217967599,6.808983799705448,1.9735996551177843,1.1954406987964452,679
pplhlp,social_trust,HR,0.02364777855690899,0.5378520547861905,0.03623261843821349,0.3451192834267072,4.418502202643172,6.7205580029368575,2.4057916858400072,1.3762225516624271,681
pplhlp,social_trust,HU,0.060820046323573795,0.11333666952892864,0.04264642268410891,0.26711882892884425,4.543446244477172,6.68541973490427,2.292243022976266,1.4650428403813769,679
pplhlp,social_trust,IE,0.014395987241280455,0.7070397423299096,0.013750986871433701,0.7195994540662262,6.049707602339181,6.650584795321637,2.255401825856497,1.3428896129484975,684
pplhlp,social_trust,IL,0.13972998927834623,0.0002545381281924702,0.14308937779742636,0.0001793244387735232,5.117474302496329,6.89676945668135,2.327774137454154,1.3313266784350086,681
pplhlp,social_trust,IS,0.09472126557329437,0.01333531560995403,0.11119960652298685,0.0036411202348469156,6.585043988269795,6.855571847507331,1.7906460530609227,1.3499463343765665,682
pplhlp,social_trust,IT,-0.08463972991280026,0.027770724285716076,-0.11394885711344284,0.0030086193105936304,4.201183431952662,6.6772189349112425,2.259675182575433,1.4059077318640125,676
pplhlp,social_trust,LT,0.05802653497098654,0.129777472439753,0.037280233321371474,0.33063023532593666,5.057101024890191,6.710248901903368,2.400749229347585,1.3956826274651517,683
pplhlp,social_trust,LV,0.06818955974401895,0.07644270833765976,0.08407075090681147,0.0288401454514932,4.949704142011834,6.785502958579881,2.3146201802898547,1.2540883830830372,676
pplhlp,social_trust,ME,0.0093524694534925,0.8080831608188663,0.03415772785748898,0.3748775035626263,4.262924667651403,6.778434268833087,2.1788383152680137,1.3748400339035485,677
pplhlp,social_trust,NL,-0.02772806353871795,0.4690683180862226,-0.023506371369982057,0.5393926002281468,5.722222222222222,7.075,1.758152823349596,1.1487739342344836,684
pplhlp,social_trust,NO,-0.0125439913482706,0.7436679592892705,0.018995001258881154,0.6204648536733187,6.153958944281525,7.09692082111437,1.9047950586977624,1.1539522418168087,682
pplhlp,social_trust,PL,0.02682877970388239,0.4855425601349404,0.027759983060398872,0.4705209072809953,4.523598820058997,6.837020648967552,2.374508397812837,1.186171417533687,678
pplhlp,social_trust,PT,0.032786298995325994,0.39227082737425223,0.035084028417287035,0.35993035739835344,4.068814055636896,6.5797950219619326,2.1538228100392915,1.5977904333087105,683
pplhlp,social_trust,RS,0.03489572293472997,0.36322240852101956,0.04241920066683725,0.26897137500461,3.707782672540382,6.696475770925111,2.7302361328160996,1.2440751004911597,681
pplhlp,social_trust,SE,-0.039719699381224736,0.29994423954338145,-0.04437454148177888,0.24680589199209146,6.134699853587116,6.9434846266471455,1.8959779985723357,1.2675388363844267,683
pplhlp,social_trust,SI,0.008072679711045217,0.8341757604617526,-0.006176670142337738,0.8727403101475272,5.355555555555555,6.7789629629629635,2.2547893855293766,1.3570681404392937,675
pplhlp,social_trust,SK,0.024254056023810415,0.5286957643357565,0.03783107451616622,0.32567238758603256,4.205317577548006,6.469719350073856,2.5571748628462663,1.6077793713435684,677
pplhlp,social_trust,UA,0.00028946066184932395,0.9940152141129995,0.008606765283418876,0.8235090452199877,4.27299703264095,6.3492581602373885,2.6616445066784835,1.6132828238279928,674
sclmeet,social_trust,AT,-0.0008672223538770153,0.9819379725480476,-0.012859790146035265,0.7370775833849105,4.909356725146199,3.7115497076023387,1.1919570119101088,0.6854253013946947,684
sclmeet,social_trust,BE,0.02968777922736915,0.4382292119046869,0.015787389660808712,0.6802189937216964,5.175438596491228,3.822002923976608,1.3684091972859465,0.6869110478750182,684
sclmeet,social_trust,BG,-0.005015467851423581,0.895980871502962,-0.010422197271314437,0.7858641335183445,4.969208211143695,3.808651026392962,1.6740014984431886,0.7902479758622003,682
sclmeet,social_trust,CH,0.019823447799569127,0.6050352737853469,0.02151675722244884,0.574552356441478,5.099560761346998,3.82606149341142,1.293583231975242,0.7049012590918821,683
sclmeet,social_trust,CY,0.08161275455451471,0.0327061011923123,0.07852434253203278,0.03991779635964935,4.005839416058394,3.8291240875912407,1.7073870474296835,0.7048821751034628,685
sclmeet,social_trust,DE,0.020296585175112094,0.5961755260855608,0.0061145012683922655,0.8731773015975324,4.837719298245614,3.7997076023391814,1.3970198578819977,0.6850847074624626,684
sclmeet,social_trust,EE,0.03412406886486292,0.3725318088937765,0.03055887798244599,0.42456406129829205,4.242335766423357,3.843795620437956,1.4817467676992966,0.7063684112677545,685
sclmeet,social_trust,ES,-0.02043872511096745,0.5933336217124864,-0.02133840869154418,0.577170080274491,5.246715328467153,3.9083211678832113,1.4666393087007106,0.7367569299934483,685
sclmeet,social_trust,FI,0.015521352788504306,0.6850988606583547,0.005345076177259778,0.8889448038399831,4.8934306569343065,3.8423357664233575,1.3589751674640431,0.6924533285661096,685
sclmeet,social_trust,FR,-0.0039020414962149448,0.9188635454052029,-0.00039947768212669863,0.9916793411386341,5.220760233918129,3.925438596491228,1.4233285410238439,0.7226490315991807,684
sclmeet,social_trust,GB,0.051075529113165374,0.1821297572336059,0.020161635159729796,0.5986212556968821,4.802631578947368,3.8077485380116958,1.5741112266814905,0.7565903061011904,684
sclmeet,social_trust,GR,0.061917313214349935,0.10593200021620611,0.06476086007661458,0.09080755593624748,4.156661786237189,3.895314787701318,1.6101935134758245,0.6574243345071108,683
sclmeet,social_trust,HR,0.0604470128525187,0.11423344753928831,0.04166692316822957,0.27650200677772696,5.349415204678363,3.825,1.5312698517346435,0.7659886768102151,684
sclmeet,social_trust,HU,-0.0049958442749456905,0.8961583784513434,0.012073173138615138,0.7524431053373947,3.367883211678832,3.745255474452555,1.5223930025380452,0.7312940947788631,685
sclmeet,social_trust,IE,0.006526175695920604,0.864816494110246,0.004361231226318358,0.9094206307879915,4.212298682284041,3.8191800878477307,1.617452783226145,0.7249418429998071,683
sclmeet,social_trust,IL,-0.04528666167604853,0.23756157727466592,-0.04600106413232075,0.23023441709337938,5.425219941348973,3.8793255131964806,1.5407753149735088,0.6756282655499907,682
sclmeet,social_trust,IS,-0.07489649599601374,0.050234061940138984,-0.06313279363997709,0.09899145227572036,5.283625730994152,3.8660818713450293,1.4032886537209597,0.7177044700418241,684
sclmeet,social_trust,IT,0.022693315082507347,0.5540997695201906,0.006896670400253821,0.8573259194630669,4.74633431085044,3.7551319648093844,1.5627434721448887,0.7510218571007927,682
sclmeet,social_trust,LT,-0.0013037117130567707,0.9729296931474951,0.007784247165011348,0.8394336629569545,4.355882352941176,3.7705882352941176,1.5597460569849728,0.7114793697139401,680
sclmeet,social_trust,LV,0.06406768520677968,0.09432449552167646,0.048502731711937544,0.20551066108493932,4.190336749633968,3.764714494875549,1.6097468073563967,0.724902278100611,683
sclmeet,social_trust,ME,0.06903467041684766,0.07138548606686879,0.07186582106679645,0.060497794922064446,4.802342606149341,3.7972181551976574,1.6247337935933457,0.6814086609289369,683
