variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.03353023106409629,0.38196257586848537,0.043585827051298855,0.2556629867872792,5.872434017595308,6.335777126099707,2.1602135097101405,1.8491602404590355,682
ppltrst,social_trust,BE,0.1260984048261654,0.0009495245336909463,0.10522550479723329,0.00587600955825302,5.6345029239766085,6.947368421052632,2.1244672852188344,1.5349063254012607,684
ppltrst,social_trust,BG,0.18301290824017766,1.5811285056590936e-06,0.21316661449628885,2.0353007885325867e-08,3.6892488954344627,6.335493372606775,2.385251981684699,1.925842959792405,679
ppltrst,social_trust,CH,-0.0024469859602338695,0.9491778321547096,-0.013585949525003279,0.7234111011659733,5.856093979441997,6.897503671071953,2.116426375501775,1.60284937287284,681
ppltrst,social_trust,CY,0.12073090842847671,0.001547391343681264,0.13162960224905335,0.0005526997027816759,4.05985401459854,6.781021897810219,2.496941399577914,1.9761565880847842,685
ppltrst,social_trust,DE,0.028474127770538458,0.45784986004379535,0.028582381591705657,0.45614138818897165,5.378299120234604,6.5671554252199416,2.2345566685831346,1.6679866791166564,682
ppltrst,social_trust,EE,0.13004145818127238,0.000651317599719458,0.0918183099797774,0.016303744783881396,5.714912280701754,7.424122807017544,1.9924483694036226,1.0917580042304187,684
ppltrst,social_trust,ES,0.050216056653695725,0.19025685391020586,0.039586680509915324,0.30192244370079835,5.334310850439882,6.50850439882698,2.1431094123158276,1.8824448573463672,682
ppltrst,social_trust,FI,0.09474000319552714,0.013181844896090578,0.10421851729529834,0.006369740385402973,7.002923976608187,7.230409356725147,1.8134014503084113,1.492571888530206,684
ppltrst,social_trust,FR,-0.01355467467491511,0.7242169545500647,-0.007653814505675387,0.8420884782754382,4.55,6.389705882352941,2.1567102532207634,1.8766168055884218,680
ppltrst,social_trust,GB,0.0674865118772454,0.0782055276946967,0.06832933142728216,0.07454715434989034,5.43841642228739,6.446627565982405,2.297260543666337,1.7660683510443718,682
ppltrst,social_trust,GR,0.018397624967442495,0.6317518518748082,0.03410227249336861,0.37424191692459063,4.52129221732746,6.620117474302496,1.926571651332686,1.583190371018399,681
ppltrst,social_trust,HR,-0.00809551299645529,0.8329842895461056,0.004438308949844287,0.9079617948253954,4.688693098384729,6.527900146842878,2.368296402125364,1.9241002088103665,681
ppltrst,social_trust,HU,0.10399758918829735,0.006641613627029595,0.11423641369065193,0.002852405101723423,4.4941176470588236,6.4051470588235295,2.484110467908396,2.0201969841157847,680
ppltrst,social_trust,IE,0.00964302875028204,0.8016689155472789,0.01690349355131992,0.6596950230746875,5.427312775330397,6.816152716593246,2.4628570157378,1.6037283399653603,681
ppltrst,social_trust,IL,0.2316373229676829,9.803630457709728e-10,0.21697043244019673,1.092457526845505e-08,5.208823529411765,6.795294117647059,2.3806866062065635,1.955109216606781,680
ppltrst,social_trust,IS,0.06950537725292433,0.06926702281608527,0.05742438377990309,0.13352795512783103,6.562865497076023,7.181725146198831,2.0521376861476344,1.4846710962441052,684
ppltrst,social_trust,IT,0.03425125404360075,0.37250986341874637,0.0349351406897593,0.36303421932207025,4.560294117647059,6.158823529411765,2.3202787721575597,1.9178055155103295,680
ppltrst,social_trust,LT,0.0945342686389367,0.01358851100335443,0.11054961493718818,0.0038713544127355714,5.135095447870778,6.563729809104258,2.4112393746284626,1.8021450153362484,681
ppltrst,social_trust,LV,0.061989609538977634,0.10629537760905891,0.06148031331914577,0.10920508113421298,3.8705882352941177,6.554117647058824,2.56939382566751,1.808280931500585,680
ppltrst,social_trust,ME,0.06778248443409983,0.07712212502870981,0.06415164455614844,0.09437698346508845,4.236417033773862,6.647577092511013,2.5624370458730037,1.8520332635029897,681
ppltrst,social_trust,NL,0.05799990232866546,0.13023636973635663,0.08693078318932884,0.023186751508437714,6.252199413489736,6.991788856304985,1.9639263995646945,1.6283438509446981,682
ppltrst,social_trust,NO,0.05520603112030178,0.1495209174630017,0.054019346167304604,0.15848064667329625,6.666178623718888,7.362371888726208,1.8929909018685342,1.2363998901955062,683
ppltrst,social_trust,PL,0.06869431694748332,0.07321811821612421,0.08667822326975119,0.02369393555190716,4.540381791483113,6.825991189427313,2.335512130742299,1.7831440986058442,681
ppltrst,social_trust,PT,0.14553250969048454,0.0001367621238936012,0.14683995584470672,0.00011879944479066651,4.117302052785924,6.185483870967742,2.3648850098482344,1.9419952386866492,682
ppltrst,social_trust,RS,0.09765051067721026,0.010898410829252976,0.09238492216845381,0.016038067931186256,4.331369661266568,6.364212076583211,2.779625042680804,1.846714516006671,679
ppltrst,social_trust,SE,-0.04688847750121254,0.22169819865580903,-0.022247907803206794,0.5621938066750535,6.315712187958884,7.2762114537444935,2.0259790224470127,1.2877674625391422,681
ppltrst,social_trust,SI,0.031028080099308245,0.4188516031826295,0.04002637421720034,0.2969360437362277,4.684287812041116,6.687224669603524,2.386580706781899,1.7824218713285909,681
ppltrst,social_trust,SK,0.07833533936078492,0.041139990700163324,0.07086200497189206,0.06477940903227898,4.063235294117647,6.2225,2.7455361769424504,1.973732418861931,680
ppltrst,social_trust,UA,0.030635887760175215,0.42819264657686384,0.04302805122190875,0.26569910234706534,3.9403874813710877,5.507451564828614,2.8362302864354643,2.014856293596286,671
pplfair,social_trust,AT,-0.028304105148439455,0.4602105916102453,-0.028401846937676715,0.45866227907463414,6.341142020497804,7.0992679355783315,1.9887933495293022,0.8837981500550601,683
pplfair,social_trust,BE,0.0418083298028056,0.2748738722560086,0.07895409381101788,0.03898320212413098,6.017543859649122,7.222953216374269,1.9778382218342525,0.8467919259712382,684
pplfair,social_trust,BG,0.03977639583285239,0.30032200423791006,0.049068912140437265,0.20125772833661118,4.310294117647059,7.138823529411765,2.2163962381536,0.949005415982107,680
pplfair,social_trust,CH,0.0638941917780275,0.0952215780184338,0.07130115411318506,0.0625522058302392,6.4099560761347,7.300146412884334,1.8802930367967179,0.8172175679168271,683
pplfair,social_trust,CY,0.06627195309523234,0.08327877703065416,0.031646844809829294,0.4085967597711497,4.428362573099415,7.21140350877193,2.258379472540865,0.9983962635253327,684
pplfair,social_trust,DE,0.02266605102659286,0.5537032996539798,0.05572008298912607,0.14517087572476767,6.245255474452555,7.088321167883212,1.944702310496455,0.8345662540343356,685
pplfair,social_trust,EE,0.06308917861119942,0.09997225054669688,0.06625254609031318,0.08405149308176049,6.212922173274596,7.33201174743025,2.0551679067211146,0.7480977286601669,681
pplfair,social_trust,ES,0.010999046153266172,0.7741627184813112,0.010897648305178177,0.7761890397488868,5.588579795021962,7.135139092240117,2.1753723254316526,0.9298855775684712,683
pplfair,social_trust,FI,0.10589708254528078,0.005566149155949452,0.11038343666370563,0.003846802727020133,7.16374269005848,7.370614035087719,1.7059283500345526,0.9522258290115301,684
pplfair,social_trust,FR,0.06204923251699,0.10544477802857101,0.07875330714232033,0.03977535624483473,6.146627565982405,7.251612903225807,1.9953459960021371,0.8330571282115647,682
pplfair,social_trust,GB,0.07904691303021735,0.03947480427511656,0.11986879068639647,0.001753843392636462,5.945508100147276,7.121502209131075,2.183669545497061,0.8288013057097249,679
pplfair,social_trust,GR,0.03852309854202315,0.31546360152319025,0.03861111840232581,0.3143583299232421,4.930983847283406,7.141850220264318,2.001380494449328,0.8462523513934375,681
pplfair,social_trust,HR,0.062325113214299135,0.10518293908008446,0.06021861976581877,0.11749686190370645,5.192023633677991,7.178729689807977,2.4310117112570695,0.8861806449049728,677
pplfair,social_trust,HU,0.04283029663047563,0.2636519286144279,0.05275228032627881,0.16848877289735872,5.1039531478770135,7.17203513909224,2.1153049760014926,0.9837654865300846,683
pplfair,social_trust,IE,0.06795698559717812,0.0761457962046489,0.0711524029191509,0.06329694454191703,6.145161290322581,7.271700879765397,2.1658913214281967,0.7512533110840779,682
pplfair,social_trust,IL,0.1424246134280731,0.00019655223164592899,0.18033213218358093,2.2541333145563216e-06,5.341678939617084,7.245213549337261,2.28588411857488,0.9699937232070022,679
