variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.05384835256513177,0.15980443455290122,0.05113197450346401,0.1819672738168294,5.8726207906295755,6.869838945827233,2.1627064371096467,1.563447335004105,683
ppltrst,social_trust,BE,0.05530244196592517,0.14910912961603773,0.05051075235013228,0.18766565508609975,5.642228739002933,7.292228739002933,2.1220829723255963,1.2838364932631559,682
ppltrst,social_trust,BG,0.10570620401475063,0.005723549251644384,0.10039348459725073,0.008700319712959443,3.7052785923753664,6.809530791788857,2.3936286565533704,1.8369226843799606,682
ppltrst,social_trust,CH,-0.0006959420186422769,0.9855368006692947,-0.043685631801783,0.2549249231622439,5.857562408223201,7.095888399412629,2.1147881112042084,1.3977021518099098,681
ppltrst,social_trust,CY,0.1594189632983092,2.845860719175699e-05,0.12169108112157982,0.001440895381838008,4.060029282576867,7.060761346998536,2.5000113781014828,1.7714866116895298,683
ppltrst,social_trust,DE,-0.018312065498834518,0.6323389076425182,-0.032179951265523296,0.40039863059334074,5.382481751824818,7.141605839416059,2.233382357743512,1.3441253126499042,685
ppltrst,social_trust,EE,0.0709979376411695,0.06348447159301315,0.10228082843723743,0.0074257572638428675,5.7178362573099415,7.549122807017544,1.992865164328234,1.054259625637447,684
ppltrst,social_trust,ES,0.06084806112901673,0.11211026279395475,0.0761506531166604,0.0466586579878379,5.338213762811128,7.089311859443631,2.1439653496533286,1.510254283503792,683
ppltrst,social_trust,FI,0.17101951252321007,6.975491916672377e-06,0.12771030365715605,0.000822205798374693,7.001464128843338,7.210102489019033,1.8143281702846648,1.4521196423698217,683
ppltrst,social_trust,FR,0.0519478571482661,0.1763571243399208,0.01645712944317303,0.668598245220117,4.543446244477172,7.452135493372607,2.1597239580345544,1.2773234388576673,679
ppltrst,social_trust,GB,0.07642313896683897,0.046357975752257856,0.08166598340147035,0.033235417740544476,5.435294117647059,6.693088235294118,2.294628722419016,1.6741724769659085,680
ppltrst,social_trust,GR,0.06814206046663798,0.07577862829358795,0.059724392532621774,0.11972107290235631,4.525,6.8375,1.9270858293844706,1.5815084566726938,680
ppltrst,social_trust,HR,0.011100602143180193,0.7722976363536667,0.012915778750176913,0.7363486831059607,4.686217008797654,6.9772727272727275,2.3705394591289486,1.7096073551463578,682
ppltrst,social_trust,HU,0.13384957966657407,0.0004657680117711861,0.09530829814608538,0.012903338657306782,4.479411764705882,7.085,2.4893622763698096,1.6844288176786262,680
ppltrst,social_trust,IE,0.07172199332439565,0.06101570838951009,0.037850820728674794,0.3232772734257081,5.411420204978038,7.036310395314788,2.476692206360271,1.4833086491606424,683
