variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.027608480465899216,0.4802452968031045,0.04959528253663803,0.20457762797729992,5.885670731707317,6.665091463414634,2.158040284620012,1.3960744279641988,656
ppltrst,social_trust,BE,0.023764116386231673,0.5413129475191122,0.03655183310767525,0.3473697267181465,5.653092006033183,6.929260935143288,2.115334303744359,1.0796891251821454,663
ppltrst,social_trust,BG,0.06133413012381159,0.11544174083528883,0.09040379583432907,0.020186077635600038,3.7257575757575756,6.29469696969697,2.3865334512273644,1.3563940856626238,660
ppltrst,social_trust,CH,-0.0013822838152729954,0.97172552774725,0.02985913973735666,0.44378826286031925,5.85,7.205151515151514,2.1186898634488798,1.1347340538923432,660
ppltrst,social_trust,CY,0.05135469012796153,0.18794184807594969,0.014049626666820357,0.7188464221792894,4.034901365705615,6.93216995447648,2.4858863826164237,1.284025062111067,659
ppltrst,social_trust,DE,0.03373481745162918,0.38761557463014146,0.00782015702801238,0.8413081408083665,5.376899696048632,6.850455927051671,2.254887765764569,1.2143014247333375,658
ppltrst,social_trust,EE,0.037627896977799426,0.3333505978776059,0.040159744003427235,0.3018239257296779,5.711915535444947,7.185972850678732,1.984827595787598,1.0177870873385257,663
ppltrst,social_trust,ES,0.06085209810193997,0.11861467968337774,0.0610100022554881,0.11765985995889719,5.332321699544765,6.801365705614568,2.1502178965712058,1.2451295820462003,659
ppltrst,social_trust,FI,-0.03875037350781324,0.3205904734774972,-0.022542898975178142,0.5634846261692866,7.022761760242792,7.2298937784522,1.8062112412502533,1.1040964704478764,659
ppltrst,social_trust,FR,0.02989458163650262,0.44743850808203567,0.035232785377832934,0.37055904235688175,4.575617283950617,6.70108024691358,2.1354065136397895,1.350933756773,648
ppltrst,social_trust,GB,-0.01106733884962008,0.7778951888319361,-0.01472405285163054,0.707461791596394,5.443251533742331,6.76196319018405,2.3057066407687024,1.409042929487097,652
ppltrst,social_trust,GR,0.05583748555319895,0.15440423334278394,0.08803260031218998,0.02458242184740879,4.512269938650307,6.666564417177915,1.9260131455155267,1.2479113759781446,652
ppltrst,social_trust,HR,0.003994058197106647,0.9184890254450105,0.017955184362044813,0.6454519903799607,4.68133535660091,6.814719271623671,2.3703719665287677,1.1703967730996798,659
ppltrst,social_trust,HU,0.10709367349295898,0.0063169179835245864,0.08302588031286838,0.03445563280112928,4.500770416024653,6.529275808936826,2.496988808394402,1.3445384262549862,649
ppltrst,social_trust,IE,-0.03493134071293544,0.36917677817558825,-0.04213007608032036,0.27870533267440223,5.4434389140271495,7.088586726998492,2.4665829928339713,1.146758155416343,663
