variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.028586162478644612,0.46042316231091024,-0.02859722349578203,0.4602495662833371,5.866965620328849,6.799551569506726,2.166414827290953,1.3212846823386368,669
ppltrst,social_trust,BE,0.057967094629102586,0.1330288441039428,0.05091416642155173,0.1870928812980033,5.640416047548292,7.096731054977712,2.1139350167917375,0.8768965910698857,673
ppltrst,social_trust,BG,-0.020006319972962473,0.606284484123028,0.005274693454261634,0.8919247455018076,3.7267267267267266,6.225675675675676,2.399330816564211,1.2883929174336344,666
ppltrst,social_trust,CH,-0.01059551077793551,0.7830172793585322,-0.0017623593275514226,0.963466123534726,5.855457227138643,7.319469026548673,2.11620839564433,0.967860947482936,678
ppltrst,social_trust,CY,-0.04569450705724549,0.23682908769283978,-0.02484603927287616,0.5202350550984414,4.0625,6.956101190476191,2.49929200108879,1.2939472673678916,672
ppltrst,social_trust,DE,0.0036959077226926583,0.9237004097667375,0.04076305381247825,0.2906278310356988,5.381305637982196,6.816468842729969,2.2340750455437286,1.2358483895566774,674
ppltrst,social_trust,EE,-0.009655242130760988,0.8031504186077321,-0.049107479216267604,0.2045991925972914,5.720478325859491,7.205530642750373,1.998775615840515,0.858376772498886,669
ppltrst,social_trust,ES,0.029785183716555155,0.444226776282351,-0.027926340274449218,0.47318353609291136,5.342900302114804,6.903776435045318,2.142842157858253,1.1340291114367662,662
ppltrst,social_trust,FI,-0.001031721770651571,0.9786390903677965,-0.04045346046399704,0.29359243846301925,6.989644970414201,7.331508875739646,1.8163567583950182,0.9324113390056396,676
ppltrst,social_trust,FR,0.038462536472968184,0.3230978556930814,0.027102921342636845,0.4863343657630038,4.531722054380665,6.858459214501511,2.166598956687537,1.1368718051564763,662
ppltrst,social_trust,GB,0.012638295427602192,0.7442036901933369,0.03609751092883792,0.35122223409815845,5.445440956651719,6.8405082212257105,2.2946366113222894,1.1939043201846886,669
ppltrst,social_trust,GR,-0.03351869552039439,0.38636225233938987,-0.03333733899825708,0.38893860518641193,4.501492537313433,6.66910447761194,1.91504877740089,1.1042318804804125,670
ppltrst,social_trust,HR,-0.009079823798301296,0.8147989122255233,0.0005459942792646943,0.9887620287300051,4.687125748502994,6.7037425149700605,2.371624258044477,1.2474866148146806,668
ppltrst,social_trust,HU,0.001909273483625937,0.9607462775733925,-0.005314987446542695,0.8910227415765973,4.475262368815592,6.489505247376312,2.476417854284128,1.3740552510471993,667
ppltrst,social_trust,IE,0.07738538539013717,0.04589849225005062,0.0423040364872151,0.2756354102403467,5.3993993993994,7.284534534534535,2.4950356001979768,0.8747336485744843,666
ppltrst,social_trust,IL,0.016136517393764552,0.6755894544616359,0.02419162554268965,0.530368375710765,5.192592592592592,6.870074074074075,2.3803607196665384,0.9807460191858072,675
ppltrst,social_trust,IS,0.0033350133158153335,0.9312337297820883,0.00847129928814779,0.8264971570650043,6.571428571428571,7.386904761904762,2.038588765750502,0.9488441175037936,672
ppltrst,social_trust,IT,-0.028771079971687926,0.4588787317795932,-0.022802312686652546,0.5572125387791665,4.559398496240601,6.758045112781955,2.3219434369500314,1.24650080022025,665
ppltrst,social_trust,LT,-0.019563662126492878,0.6121492239423401,-0.014317508757119598,0.7106127939958773,5.129080118694362,6.762314540059347,2.414594687153458,1.0732896406724979,674
ppltrst,social_trust,LV,0.02180423725124512,0.5714425384510102,0.008084312893244846,0.8338186499468061,3.8727810650887573,6.7409763313609465,2.562134287282883,1.0958608695290162,676
ppltrst,social_trust,ME,0.05431066230737306,0.16088452989030433,0.04859069948026389,0.20975139741154206,4.241017964071856,7.031437125748503,2.554414149243172,0.89630243306217,668
ppltrst,social_trust,NL,0.02715782680901768,0.4821615097844763,0.05957975205734065,0.12283582328258774,6.25,7.214583333333333,1.9608690551805923,0.9501094794030135,672
ppltrst,social_trust,NO,-0.03562768739267848,0.355018348233483,-0.016509330842268504,0.6683035767382256,6.6671597633136095,7.509763313609468,1.8981905406233444,0.8434633734875971,676
ppltrst,social_trust,PL,-0.018106909788869748,0.6449516750707658,-0.039673679756410625,0.312526387635802,4.570769230769231,6.663846153846154,2.336566896520993,1.2122896523753597,650
ppltrst,social_trust,PT,0.07327868618268896,0.05798924004293701,0.06534209246574929,0.09103057614040903,4.117910447761194,6.994477611940299,2.3762920565782206,1.09221293661086,670
ppltrst,social_trust,RS,-0.01786027229187683,0.6469485151565807,-0.034202299688100804,0.3803432293966969,4.3545454545454545,6.528030303030303,2.786003485786933,1.1759033846134128,660
ppltrst,social_trust,SE,0.07699979509150036,0.04600910624395128,0.05662278693661005,0.14257359107560877,6.316964285714286,7.383779761904761,2.0316007971598777,0.8598454089426913,672
