variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.006746337075199508,0.8610150941368819,0.03726395540272972,0.3333412161736837,5.893491124260355,6.723076923076923,2.1603605189349664,1.2870293098622285,676
ppltrst,social_trust,BE,0.061008300633857794,0.1116932531415604,0.05280413855805295,0.16869644932534375,5.622613803230544,6.870044052863436,2.119937480845023,1.064292708161024,681
ppltrst,social_trust,BG,0.06010222600686262,0.11930520792719143,0.05811288232319455,0.13205460140809627,3.710252600297177,6.424962852897474,2.4011713588229124,1.4112961705675091,673
ppltrst,social_trust,CH,-0.025375538480700163,0.5082427446281241,0.030808931929130028,0.42180480445651314,5.853372434017595,7.187829912023461,2.116065824072765,0.9740155527602156,682
ppltrst,social_trust,CY,0.09074389549620428,0.01811072940369337,0.03576319590834295,0.3524763386733679,4.061946902654867,6.977286135693216,2.500634551695859,1.172701691080236,678
ppltrst,social_trust,DE,-0.003155812500250248,0.9344853494158695,-0.008270421717480103,0.8294305795704651,5.377386196769456,6.8017621145374445,2.2301449924606755,1.2647586874360397,681
ppltrst,social_trust,EE,0.07275534636096548,0.05755826907261514,0.07998688642926954,0.036763291254021155,5.709677419354839,7.01099706744868,1.9898848943725536,1.0617274055480663,682
ppltrst,social_trust,ES,0.02789354163873415,0.4680585516153481,0.008322411808699892,0.8286241400921682,5.335787923416789,6.741237113402062,2.1408515499882235,1.2398409361442895,679
ppltrst,social_trust,FI,-0.03488952564436089,0.36260144513629317,-0.008282316133211898,0.8289413649223953,7.0058565153733525,7.11800878477306,1.813106637862688,1.1212219009823001,683
ppltrst,social_trust,FR,0.015933782466002175,0.6801136543382027,0.026387818960206172,0.4946726499409938,4.541666666666667,6.755208333333333,2.157312913431434,1.2401515284280762,672
ppltrst,social_trust,GB,0.006516189074577908,0.8656120646835682,0.013181126329612136,0.7320922010292897,5.432791728212703,6.700147710487444,2.302620074297689,1.26755716304287,677
ppltrst,social_trust,GR,0.05483065329384791,0.1544377808267025,0.07494303413211284,0.051456575648812945,4.519230769230769,6.745562130177515,1.9317042945237455,1.2911302464008654,676
ppltrst,social_trust,HR,-0.04053410724453046,0.2926303324509357,-0.019968692030733433,0.6042651436661518,4.686390532544379,6.901775147928995,2.3681575250719025,1.0606482083892084,676
ppltrst,social_trust,HU,0.09845540589156689,0.010313753389753814,0.08720121071852267,0.02316393502122755,4.477876106194691,6.512536873156342,2.4839717034072266,1.3616087868028128,678
ppltrst,social_trust,IE,0.07080219085620724,0.06640834162716391,0.05806793235881616,0.1323543946818972,5.390787518573552,6.962109955423477,2.4791460231078766,1.1442036921292857,673
ppltrst,social_trust,IL,-0.019038981494755598,0.6201714266092369,-0.018531860212799112,0.6295188841851895,5.205882352941177,6.724705882352941,2.3784676167874106,1.2735585233838909,680
ppltrst,social_trust,IS,0.023955742933068427,0.5322668682039318,0.04733108242342983,0.21702340161518846,6.560117302052786,7.210850439882698,2.0521952683422975,1.0470710892763384,682
ppltrst,social_trust,IT,0.029846743574404155,0.4395079700160951,0.03354270084534349,0.38495664454055895,4.570579494799405,6.786478454680535,2.306466541646263,1.2514318905529163,673
ppltrst,social_trust,LT,-0.07570382961909741,0.048625827562797055,-0.07158157255819951,0.06229345826523345,5.131075110456554,6.6818851251840945,2.4061543250471322,1.248472333183766,679
ppltrst,social_trust,LV,-0.013241870321567836,0.7310970882358777,-0.010259840219346214,0.7900319133539058,3.8727810650887573,6.774408284023669,2.5719452708875705,1.1266780165855723,676
ppltrst,social_trust,ME,0.07424583951760605,0.053316855300340645,0.05722634307006803,0.1366046455134685,4.2507374631268435,7.041297935103245,2.5682341470501675,1.0649815067756643,678
ppltrst,social_trust,NL,0.03858259166917168,0.31614696528698893,0.036595095970454246,0.3417389761945792,6.2599704579025115,7.1620384047267365,1.9499071436733746,0.9473838057756592,677
ppltrst,social_trust,NO,-0.0335031015892444,0.38304934729770823,0.03637109544289705,0.34363340583403457,6.673529411764706,7.3398529411764715,1.8908054129365688,0.9985925185510913,680
ppltrst,social_trust,PL,-0.026002531304438276,0.501317130404013,-0.04287689125688009,0.2673835928579122,4.564828614008942,6.756482861400895,2.327938667734237,1.2280850884231607,671
ppltrst,social_trust,PT,0.08206895910715961,0.03262979237414707,0.05180997749241795,0.17783006880597776,4.131268436578171,6.900147492625369,2.373324522631926,1.230718338864357,678
ppltrst,social_trust,RS,-0.009003068186439818,0.8157952428875909,-0.040327563521178646,0.2965370479675769,4.336309523809524,6.602678571428571,2.781135635166115,1.262148228174054,672
ppltrst,social_trust,SE,0.05327086306401844,0.1665233782964891,0.03832076497655121,0.31980367331183734,6.316568047337278,7.150591715976332,2.023658014538807,1.1072888233168365,676
ppltrst,social_trust,SI,-0.008099850569902263,0.8332605173617404,-0.010192595042130506,0.7910738911211191,4.691740412979351,6.842182890855457,2.3898399377539343,1.2196771549740668,678
ppltrst,social_trust,SK,-0.005857297559104313,0.8790018004870181,-0.007712648417718049,0.8411226417344226,4.057522123893805,6.6976401179941005,2.740569067572125,1.2153718934031805,678
ppltrst,social_trust,UA,-0.012481461086181906,0.745445473004071,-0.01730594143312055,0.652598952799026,3.9499263622974965,5.7017673048600885,2.8248521762347742,1.762798910502969,679
pplfair,social_trust,AT,-0.0010495816347864395,0.9781728509520344,-0.002643179561804885,0.9450688404857693,6.340175953079179,7.046187683284457,1.990092633889692,0.8545422282931263,682
pplfair,social_trust,BE,-0.006056456537781143,0.8743712000878272,0.012223534612704375,0.7496399770109172,6.017543859649122,7.108625730994152,1.9778382218342525,0.7460183310085501,684
pplfair,social_trust,BG,0.04218515593398864,0.2719777289266861,0.03767243035257468,0.32663335545888944,4.310294117647059,6.956617647058824,2.2163962381536,0.8451283077358307,680
pplfair,social_trust,CH,0.06006663248389536,0.11680217542107373,0.025932364786072755,0.49866245278374927,6.4099560761347,7.316691068814056,1.8802930367967179,0.7312562221862453,683
pplfair,social_trust,CY,-0.01229819240099542,0.748340981697039,-0.04168719659277785,0.27662081010889805,4.427525622254758,7.193997071742313,2.259928410325664,0.8782525538696199,683
pplfair,social_trust,DE,0.01039432171634604,0.7861165445116878,0.0052684357599427,0.8906068133352254,6.242690058479532,7.016228070175439,1.9449651373466808,0.9202058051849727,684
pplfair,social_trust,EE,0.11582584626214167,0.0024680597646065767,0.06095133651643429,0.11202871269083464,6.212922173274596,7.1127753303964765,2.0551679067211146,0.8590169266852035,681
pplfair,social_trust,ES,0.02638047297734347,0.4915879262382858,0.002070997442769624,0.9569469455301889,5.589442815249267,7.139736070381232,2.1768519174686807,0.7907998446271738,682
pplfair,social_trust,FI,0.023548245902929706,0.5386700543188724,0.022991550401141665,0.5483152375834226,7.16374269005848,7.1948830409356725,1.7059283500345526,0.8190735853860279,684
pplfair,social_trust,FR,0.08815653261714292,0.021403761294000317,0.08131839802554953,0.03386299595172864,6.148311306901615,7.098384728340675,1.9963277160837896,0.8361397849652459,681
pplfair,social_trust,GB,0.009230008189475216,0.8104104249118474,0.0054876168971342044,0.8865852800522787,5.948377581120944,7.014601769911504,2.1840002378447236,0.9020945940090969,678
pplfair,social_trust,GR,-0.04347258234784567,0.25795406617075956,-0.012928432703717062,0.736661510387486,4.926362297496318,7.0659793814433,2.0023283330919233,0.8285859971882762,679
pplfair,social_trust,HR,-0.010778224375741913,0.7798491734922274,-0.01413805485058298,0.7138764012004895,5.192592592592592,7.151111111111111,2.4345933443124683,0.7997464979165414,675
