variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.12442000241389348,0.0012091182119123266,0.11964117550755668,0.0018615030308530005,5.87240356083086,6.374183976261127,2.1514108526975235,1.8111799086496627,674
ppltrst,social_trust,BE,0.09229762441969948,0.016138735997473327,0.08042007491693388,0.03616302559477336,5.640648011782033,6.885272459499264,2.1231683464221556,1.259238851311927,679
ppltrst,social_trust,BG,0.11543155941611744,0.0028724084131847307,0.10845917501829422,0.005111799089642677,3.691729323308271,5.827518796992481,2.397854371990591,1.8501898331515463,665
ppltrst,social_trust,CH,0.06565032860294379,0.08808446289567641,0.058883498300010224,0.12614923912970116,5.847633136094674,7.079881656804734,2.1212526742881073,1.3470881576543752,676
ppltrst,social_trust,CY,0.08785589032791394,0.02224608409584462,0.05913030926564399,0.12428677752159777,4.064992614475628,6.179615952732645,2.4958961360871412,1.9961644805362613,677
ppltrst,social_trust,DE,0.02863391856599574,0.45799519197267385,0.027704156417020998,0.4727298401557165,5.376854599406528,6.635311572700297,2.244451283227084,1.4688542525080712,674
ppltrst,social_trust,EE,0.10255746356021289,0.0077987092981893135,0.0573885401929478,0.13724306876554182,5.706845238095238,7.083333333333333,1.995990209868488,1.2618046672843328,672
ppltrst,social_trust,ES,0.0844323090406132,0.028156561941736744,0.06550244708198406,0.08880418234626586,5.326923076923077,6.502810650887573,2.1446747141768676,1.6156478621482369,676
ppltrst,social_trust,FI,-0.015302200075782155,0.6914786669456622,0.008681248732931074,0.8218768462436076,7.019259259259259,7.129037037037038,1.795456526601623,1.3542387976934316,675
ppltrst,social_trust,FR,0.11634457069725623,0.0025986811079484625,0.07665594888295522,0.04765518079973537,4.543413173652695,6.540119760479042,2.1592314342730217,1.49520211708761,668
ppltrst,social_trust,GB,-0.01107718584688489,0.7739062514920486,-0.02734664143199614,0.4781368371864735,5.44,6.698222222222222,2.3047879463726826,1.5383899762706494,675
ppltrst,social_trust,GR,0.04277167428241924,0.2689187392160274,0.02461399472158506,0.5247606845330056,4.528358208955224,6.342686567164179,1.9257367871642648,1.6693845541113013,670
