variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.09353495944592587,0.015363443697776907,0.06676924027929726,0.0839393958059888,5.862891207153503,6.286885245901639,2.161186100220951,1.531278165827555,671
ppltrst,social_trust,BE,0.030257155632394863,0.4318716873368367,0.03220481392720089,0.4028102529657063,5.6292466765140325,6.604874446085672,2.117111503453412,1.2314024298628237,677
ppltrst,social_trust,BG,0.09831754382948082,0.010768648691292999,0.09324257170165827,0.015610659236611603,3.7083333333333335,5.767113095238095,2.388756990624689,1.6203821003469618,672
ppltrst,social_trust,CH,0.051637264631799636,0.17960440314927875,0.05185743628346372,0.1777537038745737,5.861152141802068,6.744608567208273,2.1153665388491274,1.2620852598230394,677
ppltrst,social_trust,CY,0.05277117190113044,0.17213689302980412,0.04108954111192406,0.2878571480106321,4.089418777943368,6.144560357675112,2.4895707456301794,1.6850872005894293,671
ppltrst,social_trust,DE,0.015924898038803575,0.6782600419109233,0.00782818413903845,0.8384223085755838,5.383259911894273,6.443906020558003,2.2304606366094224,1.3265375152592445,681
ppltrst,social_trust,EE,0.07479174969209759,0.052279930552746164,0.04312882003426096,0.26351094298691136,5.728486646884273,6.654005934718101,1.9818316892578292,1.251895551743783,674
ppltrst,social_trust,ES,0.07158352739671762,0.06485546562716796,0.08119323650520843,0.036182070064336144,5.346846846846847,6.288288288288288,2.154512096392434,1.466492233751036,666
ppltrst,social_trust,FI,-0.03749236772199921,0.3307437527234267,-0.05148477382360931,0.18154253293999034,7.014814814814815,6.998518518518519,1.8033318371596858,1.3492488945351522,675
ppltrst,social_trust,FR,0.06954835220429902,0.07244132085138501,0.06139475598501784,0.11289499506966026,4.526946107784431,6.320359281437126,2.1539388869523335,1.3634460671657123,668
ppltrst,social_trust,GB,-0.057800967663157364,0.13443635710480048,-0.06130847432236332,0.11232425055896274,5.461309523809524,6.608035714285715,2.2907167178417054,1.3336952728002758,672
ppltrst,social_trust,GR,0.04746498334325795,0.2187898655091841,0.04933830391543294,0.20112761167556129,4.5200594353640415,6.167904903417534,1.930326273009748,1.4330426473201767,673
ppltrst,social_trust,HR,0.09076552728162551,0.01842806992626324,0.0802951980899859,0.03715278604855037,4.688427299703264,5.999258160237389,2.3726305089191437,1.63416787676493,674
ppltrst,social_trust,HU,0.14009751192571146,0.0002752790337304561,0.14052769947202895,0.0002634697157320967,4.485074626865671,5.794029850746269,2.4850376610394136,1.6699113943192936,670
ppltrst,social_trust,IE,0.04890574079586417,0.20342989783867696,0.048745336192109065,0.20491805015568682,5.404129793510324,6.4834808259587025,2.4834068051349347,1.4488089058153166,678
ppltrst,social_trust,IL,0.04473012475976346,0.2454742814625919,0.026838902513362184,0.48602465534599737,5.207100591715976,6.37914201183432,2.3786102126957225,1.3244794378487885,676
ppltrst,social_trust,IS,0.01974211359082209,0.607577228199756,0.020020615148439197,0.6025195261574146,6.559646539027982,7.379234167893962,2.050014143115961,0.9472029945746203,679
ppltrst,social_trust,IT,0.04746964792180216,0.21874454813844152,0.04423550980289701,0.2517967623154051,4.578008915304606,6.102526002971768,2.31009512402915,1.5350206033376406,673
ppltrst,social_trust,LT,0.10203980910594675,0.008406947116999271,0.08952225409273479,0.020854980182894094,5.15015015015015,6.202702702702703,2.402062079351849,1.440099795589126,666
ppltrst,social_trust,LV,0.020122882549461794,0.6028285214731158,0.031043104124430274,0.4220762055961374,3.8688524590163933,6.0514157973174365,2.5685988445975414,1.5888962446013526,671
ppltrst,social_trust,ME,0.036225735404940625,0.3513266968396005,0.011244106639070267,0.7724255889516033,4.256024096385542,6.599096385542169,2.5768653726455626,1.2159197015884304,664
ppltrst,social_trust,NL,0.03057156418292254,0.4284739625353067,0.02392432548132478,0.5355306447241803,6.2481426448737,6.939227340267459,1.967579556957099,1.0427216549624294,673
ppltrst,social_trust,NO,0.11128668954203025,0.0037149801956988687,0.07624189179782019,0.047206220598203605,6.676991150442478,7.325811209439528,1.8891985053286604,0.9467337177897553,678
ppltrst,social_trust,PL,0.07625877831091293,0.04814897096700865,0.09290315199767031,0.015993963315675253,4.535714285714286,6.002976190476191,2.3326691877988606,1.5325548483067826,672
ppltrst,social_trust,PT,0.1510577333666068,7.761383396754624e-05,0.1614183540147267,2.376978323797715e-05,4.126656848306333,5.997496318114875,2.3683967390698415,1.6726084691472538,679
ppltrst,social_trust,RS,0.013846648899287058,0.7209247585518138,0.015578952259181862,0.6877435317974151,4.345808383233533,5.888473053892215,2.7703501539014828,1.5931549806519976,668
ppltrst,social_trust,SE,0.18304248990335845,1.690635095157889e-06,0.17396868524526207,5.463030314322476e-06,6.305185185185185,7.271407407407407,2.026212444978008,1.114071157716344,675
ppltrst,social_trust,SI,0.03420328107880664,0.37673105036584187,0.01560888274426644,0.6867304443268968,4.695522388059701,6.233283582089553,2.38639848071641,1.578408015267217,670
ppltrst,social_trust,SK,0.03322780806473539,0.3926377810494617,0.018610789576921354,0.6321489495582734,4.0602409638554215,5.820030120481928,2.738362283582559,1.6775258299358453,664
ppltrst,social_trust,UA,0.031707707779342835,0.41536884150388936,0.048849231127324984,0.2093939576783241,3.9290030211480365,5.745468277945619,2.841677910396539,1.7300238316696646,662
pplfair,social_trust,AT,0.029272129544242798,0.44534012289251784,0.024603818585169565,0.5212301209705709,6.3372434017595305,7.206011730205279,1.9876394907949377,0.6086809019435673,682
pplfair,social_trust,BE,0.010483367160730622,0.7843292614373067,0.01577272408711081,0.6804996654375077,6.017543859649122,7.247514619883042,1.9778382218342525,0.6023207616647123,684
pplfair,social_trust,BG,-0.09899194851270476,0.009794762955047933,-0.09987982738644327,0.00915328666579185,4.310294117647059,7.075,2.2163962381536,0.7036356250102074,680
pplfair,social_trust,CH,0.024991951152009806,0.514367728092242,0.03866502923587305,0.3129704703058976,6.4099560761347,7.277452415812592,1.8802930367967179,0.602624717508152,683
pplfair,social_trust,CY,0.010935148551261355,0.7752789562214989,-0.0054360582136399205,0.8871492122068625,4.428362573099415,7.320614035087719,2.258379472540865,0.6497880520594497,684
pplfair,social_trust,DE,0.07499408741554743,0.0499345803464129,0.06834001301989888,0.0740761412431814,6.245614035087719,7.116812865497075,1.9461027775150836,0.6257489241121407,684
pplfair,social_trust,EE,-0.019434924662357946,0.6126534760871603,-0.0054272260938210415,0.887577951113973,6.212922173274596,7.1800293685756245,2.0551679067211146,0.6150184112650953,681
pplfair,social_trust,ES,0.0708830577101657,0.06450254705108824,0.06644136139672951,0.0831700293816697,5.596182085168869,7.150954478707783,2.174027867069839,0.6404523672291879,681
pplfair,social_trust,FI,-0.09515760132143515,0.012913782560632026,-0.05090045362404153,0.18427912881367806,7.161290322580645,7.336656891495601,1.706968556029035,0.6520988115901255,682
pplfair,social_trust,FR,-0.030108949247391808,0.4331113723427676,0.0011278454945185404,0.9765802561046933,6.15,7.145588235294118,1.9973104153922752,0.657556915231377,680
pplfair,social_trust,GB,-0.017497497168496263,0.6490099279068176,-0.03370146555924905,0.38058914135269584,5.945508100147276,7.263622974963181,2.183669545497061,0.6464236620497451,679
pplfair,social_trust,GR,-0.03463324036828708,0.36719851606804604,-0.024805609410838165,0.5184345053087807,4.930882352941176,7.143382352941177,2.002851968993927,0.6743460483412459,680
pplfair,social_trust,HR,-0.027213240531083472,0.47996078820110527,0.00014013416025531174,0.9970983035289795,5.193786982248521,7.0983727810650885,2.4323784748526665,0.6800960826009389,676
pplfair,social_trust,HU,-0.029418887214864187,0.44339661382411844,-0.027635831121099817,0.471527060383527,5.096916299559472,7.058737151248164,2.1100611659064024,0.719630740635609,681
pplfair,social_trust,IE,0.034348955048964035,0.3704417407981159,0.0462693174331154,0.2275249575082063,6.145161290322581,7.380938416422287,2.1658913214281967,0.6076750902344673,682
pplfair,social_trust,IL,-0.008436639874355533,0.8265619724247438,0.008745266923631485,0.8203235067405268,5.34711964549483,7.150664697193501,2.285608073412758,0.6448845143233,677
pplfair,social_trust,IS,0.04482084582502645,0.2420805114333665,0.06662216769964391,0.08188259256263097,6.980966325036603,7.5469985358711575,1.8391125944944127,0.6458999348229607,683
pplfair,social_trust,IT,0.004194835198274577,0.913310085059204,0.013008738369688683,0.7356529369865397,4.634615384615385,7.230769230769231,2.223360819420306,0.6353768202442577,676
pplfair,social_trust,LT,0.014055275581469481,0.715883740275598,0.00019926694177044472,0.9958830760387573,5.5200594353640415,7.09554234769688,2.2420425416050747,0.6403433638104074,673
pplfair,social_trust,LV,0.037513622916259606,0.3308292911174179,0.0557533964229425,0.14821074847261786,5.640949554896142,7.119436201780416,2.222106209515381,0.6934584877480637,674
