variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,-0.05367933528901236,0.16112110484796444,-0.09145308833372247,0.01681659400782045,5.8726207906295755,6.341581259150805,2.1633843126996997,1.465687257972174,683
ppltrst,social_trust,BE,-0.0056264954098574115,0.8835643645040854,-0.023784057295127784,0.5358117113803172,5.632352941176471,6.572500000000001,2.122912466898271,1.3778682762678054,680
ppltrst,social_trust,BG,0.11035999807982429,0.004068138516279814,0.10691544804795873,0.005391913101137966,3.7041420118343193,6.270710059171598,2.3909794684022865,1.6570657060986727,676
ppltrst,social_trust,CH,-0.09566410068172568,0.01270029549244478,-0.09540183656004861,0.012947825016567905,5.8584070796460175,6.665339233038349,2.116408107773629,1.3666720255318558,678
ppltrst,social_trust,CY,0.022966962016268796,0.5490366148223433,0.043962933672679276,0.25122072573676024,4.061493411420205,6.657540263543193,2.4990958120666518,1.4710444090628676,683
ppltrst,social_trust,DE,-0.058076028566017165,0.1302978431698601,-0.06146148317365213,0.10931385407489619,5.392647058823529,6.208823529411765,2.233155977308765,1.467792195959858,680
ppltrst,social_trust,EE,0.10314051545406189,0.006898099788499701,0.09679392787027888,0.011255437456163222,5.716788321167884,6.909197080291971,1.9915967228071436,1.1080461033923295,685
ppltrst,social_trust,ES,-0.027421885088806813,0.47529276615605187,0.003454014625628614,0.9283633113585201,5.330882352941177,6.510735294117647,2.14515636562288,1.4700303225675158,680
ppltrst,social_trust,FI,-0.02116340925607979,0.5814095348216101,-0.02617041707117157,0.4953624225512132,6.998531571218796,6.82466960352423,1.8161848067613098,1.238681432874581,681
ppltrst,social_trust,FR,-0.03299507396886236,0.39241563679829977,-0.04016815817166875,0.29773139756121375,4.534124629080119,6.339169139465876,2.148884479788459,1.5172832601095843,674
ppltrst,social_trust,GB,-0.008739278095257444,0.8199219390976291,-0.009306285899578473,0.80845805440506,5.4331864904552125,6.31057268722467,2.295523131879462,1.4748199674037896,681
ppltrst,social_trust,GR,0.07936968019322327,0.03824519170385574,0.08086934357331645,0.03472948040559762,4.519061583577713,6.482844574780059,1.9260377561717106,1.4262018820653153,682
ppltrst,social_trust,HR,-0.048997613827565706,0.20291557810481262,-0.013700328232136244,0.7219679842702614,4.692762186115214,6.487296898079763,2.3722054673151125,1.4272344431816286,677
ppltrst,social_trust,HU,0.044880858928524,0.24283802297099108,0.04315481396201037,0.26145305060759483,4.4977908689248896,6.371134020618556,2.485280171614646,1.6404160863297055,679
ppltrst,social_trust,IE,-0.04228321727475003,0.2726393096154858,-0.037748139156879634,0.32745313682133204,5.417777777777777,6.694222222222223,2.4838309965427894,1.2215713640341643,675
ppltrst,social_trust,IL,0.12607863209026082,0.001019478868747841,0.14923164778088527,9.833208509018167e-05,5.218934911242603,6.614497041420118,2.3775485766384867,1.5452186368105936,676
ppltrst,social_trust,IS,0.015899849763197763,0.6794092734549674,0.0010858289768322883,0.9774857902244328,6.557522123893805,6.807669616519175,2.0572516971192565,1.2915474087317218,678
ppltrst,social_trust,IT,0.03491744574233518,0.3646977919824534,0.037356165646704,0.3321455335892584,4.553254437869822,6.459763313609466,2.3231788057128986,1.4126127943847608,676
ppltrst,social_trust,LT,0.0546946790587043,0.1563876173403711,0.04597402720641317,0.23362133968356089,5.1381872213967315,6.395393759286776,2.415891271873599,1.4362006138955143,673
ppltrst,social_trust,LV,-0.029531636975556073,0.4446950407051337,-0.030684672405561456,0.4271117503285192,3.8720238095238093,6.540922619047619,2.563353466645075,1.3777152450839747,672
ppltrst,social_trust,ME,0.06860318390853459,0.0744553632024267,0.07134758199783835,0.06354724816151369,4.24519940915805,6.357459379615952,2.5637715197426303,1.620411058107811,677
