variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.11606392043655417,0.0023995459498064127,0.10411920043164027,0.006498663474530642,5.879765395894428,6.51891495601173,2.1555313413129245,1.593869494759587,682
ppltrst,social_trust,BE,0.06398054078295647,0.0947742445750653,0.06255640363322976,0.10236989915912467,5.641288433382138,6.897218155197656,2.1185937301011224,1.4605389649626963,683
ppltrst,social_trust,BG,0.14700978874755838,0.00011937020448509096,0.16845030841204087,1.0046976134554653e-05,3.7014705882352943,6.4698529411764705,2.3936583278721506,1.7606532398704884,680
ppltrst,social_trust,CH,0.05465400675090302,0.15424552628314112,0.04766988024228769,0.2140841712779987,5.860499265785609,7.005433186490455,2.109414272706174,1.3382879192164019,681
ppltrst,social_trust,CY,0.1141127179504305,0.0028417636707771467,0.10916626474910682,0.004314592168301789,4.060117302052786,6.560703812316715,2.5006710378758,1.9282302120381967,682
ppltrst,social_trust,DE,0.06393470150111845,0.0957432328835289,0.05084212832626866,0.18543071915690834,5.392647058823529,6.623676470588236,2.2357923989920114,1.4978279850465817,680
ppltrst,social_trust,EE,0.15733405298899358,3.532701643185215e-05,0.1667290215076566,1.1519679910896143e-05,5.716788321167884,7.351824817518248,1.9915967228071436,1.0640388539506083,685
ppltrst,social_trust,ES,0.19434468225215304,3.2027579987209566e-07,0.1659900344122353,1.3370405717502511e-05,5.342143906020558,6.496475770925111,2.1431424391660765,1.7700413512327482,681
ppltrst,social_trust,FI,0.0872932854210807,0.022716519593325414,0.07349605475151084,0.055235254363414775,7.007342143906021,7.296035242290749,1.8153606388103352,1.2780380731430552,681
ppltrst,social_trust,FR,0.026008536213436434,0.4993037504282619,0.03989834616727057,0.2999137463244445,4.543574593796159,6.5143279172821265,2.1503971524898393,1.6829158177721302,677
ppltrst,social_trust,GB,0.05393078741590517,0.1594719038698638,0.06621952787311229,0.08397812367919905,5.436950146627566,6.295601173020528,2.295941914562307,1.7280134688381745,682
ppltrst,social_trust,GR,0.08517216786148345,0.026464319864480404,0.08370525126739894,0.02918562608618048,4.519882179675994,6.618998527245949,1.9269405001485245,1.5672368818881943,679
ppltrst,social_trust,HR,0.01966861266504599,0.6086506053725617,0.024330742194999623,0.5264759836310452,4.692647058823529,6.481470588235293,2.3708971957787566,1.7852639023127586,680
ppltrst,social_trust,HU,0.13884009445723816,0.0002731902206890152,0.12299637289771533,0.0012784710081761104,4.483162518301611,6.415666178623718,2.485900525114219,1.8808583442869353,683
ppltrst,social_trust,IE,0.030443139654013136,0.4283618525021413,-0.01810296764390978,0.6377193995140895,5.424153166421208,6.523269513991163,2.4716217933150313,1.5896848269653898,679
ppltrst,social_trust,IL,0.19074930693811726,5.41301027509354e-07,0.17123539292410517,7.1135275288199834e-06,5.208823529411765,6.924411764705883,2.3757324454092354,1.6481322336679185,680
ppltrst,social_trust,IS,0.057579313274597595,0.13333654050237917,0.06019826667129276,0.1165384231904819,6.5550660792951545,7.172687224669604,2.0458656380276783,1.4134708960875533,681
ppltrst,social_trust,IT,0.1115692620593299,0.0037037682253980115,0.10768773038470338,0.005098047751874082,4.54962962962963,6.059851851851851,2.3242647947073576,1.7976666318497023,675
ppltrst,social_trust,LT,0.12913205668125566,0.000744062062452419,0.15125637610911907,7.592610389932548e-05,5.132547864506628,6.5310751104565545,2.413723879783757,1.6581230793483042,679
ppltrst,social_trust,LV,0.04488993402020743,0.2434402865143136,0.05299985289313654,0.16837783362783434,3.880354505169867,6.514180206794683,2.5649286628945083,1.6361503517081282,677
ppltrst,social_trust,ME,0.02446936882327167,0.5244282810570932,0.05576296763750091,0.14663985601377327,4.251840942562592,6.652430044182622,2.5630501276729456,1.64468101758289,679
ppltrst,social_trust,NL,0.052950353376906074,0.16783199277421884,0.06580865988617883,0.08638523408192195,6.248529411764705,7.085882352941176,1.9639604607344001,1.3296242122439423,680
ppltrst,social_trust,NO,0.07343704055118759,0.05507315440162088,0.03989603427970215,0.29780204330594345,6.67203513909224,7.318301610541727,1.8932415185189093,1.092577751696327,683
ppltrst,social_trust,PL,0.18458543381652742,1.2357239600058604e-06,0.15125511671526892,7.410081212643377e-05,4.549192364170338,6.701908957415565,2.3296686383286778,1.7867928541002631,681
ppltrst,social_trust,PT,0.1040080584347808,0.006516799628382182,0.0910140634240791,0.017351733746034506,4.1273792093704245,6.287115666178624,2.369131276245207,1.9019308825269219,683
ppltrst,social_trust,RS,0.032308595009519964,0.4005980435390239,0.022404450230994882,0.5600250304729693,4.322533136966126,6.396907216494846,2.7721660282542797,1.6925062603225522,679
ppltrst,social_trust,SE,-0.030128834476152354,0.43280749149496817,-0.021561839844652493,0.5745965865241165,6.317647058823529,7.280882352941177,2.0239320117920414,1.180319388759643,680
ppltrst,social_trust,SI,0.03125848121232959,0.41540377269988554,0.012939664668161557,0.7360664206374258,4.687224669603524,6.632011747430249,2.388199806470516,1.7122405960277092,681
ppltrst,social_trust,SK,0.08414905807392639,0.02845514853160879,0.06027299489421281,0.11689417062855106,4.057522123893805,6.245427728613569,2.7340936884361593,1.9082657898998427,678
ppltrst,social_trust,UA,0.019008206317503117,0.6238476758143642,0.009312112576484635,0.8101500351228021,3.931137724550898,5.099700598802395,2.833942992819499,1.8560004152502059,668
pplfair,social_trust,AT,0.031132062488414082,0.41660786955084744,0.026670366036294458,0.48651802637972996,6.341142020497804,6.999560761346999,1.9887933495293022,0.7934019222976321,683
pplfair,social_trust,BE,-0.03485584139437326,0.3627129328387202,-0.04448319469033169,0.24530298626534378,6.017543859649122,7.124707602339182,1.9778382218342525,0.7581209350446368,684
pplfair,social_trust,BG,0.017994319740794996,0.6394920747068281,0.038715633012908396,0.3134060994620625,4.310294117647059,7.093823529411765,2.2163962381536,0.8199052163542463,680
pplfair,social_trust,CH,0.008432837476874453,0.825881847795493,0.03389911500439717,0.3763939559047266,6.4099560761347,7.162811127379209,1.8802930367967179,0.7502251887108917,683
pplfair,social_trust,CY,0.10647135319011965,0.005312940006731358,0.06654842912243301,0.08199743611853229,4.428362573099415,7.151461988304094,2.258379472540865,0.9536771233777291,684
pplfair,social_trust,DE,0.03128618778125161,0.4136184440189753,-0.01010103260031001,0.7918621972752292,6.245255474452555,6.975912408759124,1.944702310496455,0.8301276541238216,685
pplfair,social_trust,EE,0.12142003664620389,0.0015009181446511467,0.11142017187901859,0.003598747960957737,6.212922173274596,7.244346549192364,2.0551679067211146,0.7347075590832749,681
pplfair,social_trust,ES,0.014477717048837139,0.7056599385529346,-0.0011949503319797644,0.9751324004396699,5.588579795021962,7.002196193265007,2.1753723254316526,0.9365866661193949,683
pplfair,social_trust,FI,0.03915900920270664,0.30646859605204835,0.035614721933354125,0.3523517888440151,7.16374269005848,7.246929824561403,1.7059283500345526,0.8382016871103516,684
pplfair,social_trust,FR,0.009437843540816422,0.8056637593112532,0.01604202296204938,0.6758024150146877,6.146627565982405,7.1460410557184755,1.9953459960021371,0.8886082031434013,682
pplfair,social_trust,GB,0.05889878829610466,0.12521027963434614,0.07769317178529536,0.042987697819657715,5.945508100147276,6.986745213549337,2.183669545497061,0.8395467829548446,679
pplfair,social_trust,GR,0.052752949397104544,0.16911027554793004,0.06011566760579916,0.11704160091596241,4.930983847283406,7.100293685756241,2.001380494449328,0.7927427641375383,681
pplfair,social_trust,HR,-0.042846746509892376,0.265583811581068,-0.04409615671889173,0.25188416765755756,5.192023633677991,7.065583456425406,2.4310117112570695,0.853905138758454,677
