variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
sclmeet,social_trust,AT,,,,,5.5,3.5,0.7071067811865476,0.7071067811865476,2
sclmeet,social_trust,DE,,,,,4.5,3.0,0.7071067811865476,0.0,2
sclmeet,social_trust,FI,,,,,5.5,4.0,0.7071067811865476,1.4142135623730951,2
inprdsc,social_trust,AT,,,,,3.0,3.0,1.4142135623730951,0.0,2
inprdsc,social_trust,DE,,,,,4.5,3.0,0.7071067811865476,0.0,2
inprdsc,social_trust,FI,,,,,3.5,3.0,0.7071067811865476,0.0,2
stfdem,political,AT,,,,,6.0,6.0,1.4142135623730951,1.4142135623730951,2
stfdem,political,DE,,,,,7.5,7.0,2.1213203435596424,0.0,2
stfdem,political,FI,,,,,7.5,7.5,0.7071067811865476,0.7071067811865476,2
polintr,political,AT,,,,,3.0,3.0,0.0,0.0,2
polintr,political,DE,,,,,1.5,3.0,0.7071067811865476,0.0,2
polintr,political,FI,,,,,1.5,3.0,0.7071067811865476,0.0,2
psppipla,political,AT,,,,,2.5,3.0,0.7071067811865476,0.0,2
psppipla,political,DE,,,,,1.5,3.5,0.7071067811865476,0.7071067811865476,2
psppipla,political,FI,,,,,2.5,3.5,0.7071067811865476,0.7071067811865476,2
psppsgva,political,AT,,,,,2.0,3.0,0.0,0.0,2
psppsgva,political,DE,,,,,1.5,4.0,0.7071067811865476,1.4142135623730951,2
psppsgva,political,FI,,,,,2.5,3.5,0.7071067811865476,0.7071067811865476,2
actrolga,efficacy,AT,,,,,2.5,3.0,0.7071067811865476,0.0,2
actrolga,efficacy,DE,,,,,3.0,3.5,1.4142135623730951,0.7071067811865476,2
actrolga,efficacy,FI,,,,,2.5,3.0,0.7071067811865476,0.0,2
cptppola,efficacy,AT,,,,,2.0,3.0,0.0,0.0,2
cptppola,efficacy,DE,,,,,3.5,3.0,2.1213203435596424,0.0,2
cptppola,efficacy,FI,,,,,2.5,3.5,0.7071067811865476,0.7071067811865476,2
trstplc,inst_trust,AT,,,,,9.0,8.0,1.4142135623730951,0.0,2
trstplc,inst_trust,DE,,,,,9.5,8.0,0.7071067811865476,0.0,2
trstplc,inst_trust,FI,,,,,9.0,7.0,0.0,0.0,2
happy,wellbeing,AT,,,,,6.5,7.0,0.7071067811865476,0.0,2
happy,wellbeing,DE,,,,,8.0,8.0,1.4142135623730951,0.0,2
happy,wellbeing,FI,,,,,7.5,8.0,2.1213203435596424,0.0,2
stflife,wellbeing,AT,,,,,6.5,7.5,0.7071067811865476,0.7071067811865476,2
stflife,wellbeing,DE,,,,,8.5,7.5,0.7071067811865476,0.7071067811865476,2
stflife,wellbeing,FI,,,,,7.5,8.25,2.1213203435596424,0.3535533905932738,2
imsmetn,immigration,AT,,,,,2.0,3.0,0.0,0.0,2
imsmetn,immigration,DE,,,,,2.0,3.5,0.0,0.7071067811865476,2
imsmetn,immigration,FI,,,,,2.0,3.0,1.4142135623730951,0.0,2
impcntr,immigration,AT,,,,,2.5,2.0,0.7071067811865476,1.4142135623730951,2
impcntr,immigration,DE,,,,,2.0,3.0,0.0,0.0,2
impcntr,immigration,FI,,,,,2.5,3.5,0.7071067811865476,0.7071067811865476,2
imdfetn,immigration,AT,,,,,3.0,3.0,0.0,0.0,2
imdfetn,immigration,DE,,,,,2.0,2.0,0.0,1.4142135623730951,2
imdfetn,immigration,FI,,,,,2.0,3.0,1.4142135623730951,0.0,2
gincdif,values,AT,,,,,1.5,3.5,0.7071067811865476,0.7071067811865476,2
gincdif,values,DE,,,,,2.0,4.0,0.0,0.0,2
gincdif,values,FI,,,,,3.5,3.5,0.7071067811865476,0.7071067811865476,2
freehms,values,AT,,,,,2.0,4.5,0.0,0.7071067811865476,2
freehms,values,DE,,,,,2.0,5.0,0.0,0.0,2
freehms,values,FI,,,,,1.0,4.5,0.0,0.7071067811865476,2
hmsfmlsh,values,AT,,,,,4.5,3.0,0.7071067811865476,0.0,2
hmsfmlsh,values,DE,,,,,3.5,3.0,0.7071067811865476,0.0,2
hmsfmlsh,values,FI,,,,,5.0,3.0,0.0,0.0,2
hmsacld,values,AT,,,,,3.5,3.5,0.7071067811865476,0.7071067811865476,2
hmsacld,values,DE,,,,,2.0,1.0,0.0,0.0,2
hmsacld,values,FI,,,,,1.5,3.5,0.7071067811865476,0.7071067811865476,2
health,health,AT,,,,,2.0,3.0,1.4142135623730951,0.0,2
health,health,DE,,,,,2.0,3.0,1.4142135623730951,0.0,2
health,health,FI,,,,,2.0,4.0,0.0,0.0,2
rlgatnd,religion,AT,,,,,5.5,3.0,0.7071067811865476,0.0,2
rlgatnd,religion,DE,,,,,6.0,3.5,0.0,0.7071067811865476,2
rlgatnd,religion,FI,,,,,6.0,3.5,0.0,0.7071067811865476,2
aesfdrk,safety,AT,,,,,2.5,3.0,0.7071067811865476,0.0,2
aesfdrk,safety,DE,,,,,1.0,3.0,0.0,0.0,2
aesfdrk,safety,FI,,,,,1.5,3.0,0.7071067811865476,0.0,2
hincfel,income,AT,,,,,1.5,2.0,0.7071067811865476,0.0,2
hincfel,income,DE,,,,,1.5,3.0,0.7071067811865476,0.0,2
hincfel,income,FI,,,,,1.5,3.0,0.7071067811865476,0.0,2
