variable,domain,cntry,r_pearson,p_pearson,r_spearman,p_spearman,human_mean,silicon_mean,human_sd,silicon_sd,n_valid
ppltrst,social_trust,AT,0.04615384960635061,0.22834628319756742,0.041777885729801144,0.27557633480124927,5.866764275256222,6.270863836017569,2.1603177881549387,1.7154166368641832,683
ppltrst,social_trust,BE,0.06575216723054725,0.08573153943427946,0.061439026053080534,0.1084020749607017,5.6345029239766085,6.391081871345029,2.1244672852188344,1.7794316954392568,684
ppltrst,social_trust,BG,0.14540859499084308,0.000146680313065062,0.13923656437365764,0.00027922592891789386,3.709010339734121,6.041506646971936,2.3981239699683417,1.9466492464712573,677
ppltrst,social_trust,CH,-0.028801972592936764,0.45402012001186054,-0.012004402765138698,0.7550326888649961,5.85693215339233,6.6452802359882,2.113864487312843,1.6960462741882463,678
ppltrst,social_trust,CY,0.13407974455822008,0.00045526976730546435,0.15444363790695173,5.248470531946008e-05,4.057352941176471,6.1320588235294125,2.489081676538617,2.0434100111595344,680
ppltrst,social_trust,DE,0.06164571024806976,0.10799327498432446,0.07482225222768771,0.050972747628209296,5.372980910425844,6.21776798825257,2.233851477747581,1.7373471186833307,681
ppltrst,social_trust,EE,0.1096481430662984,0.004117980001662509,0.13391661278413794,0.0004494222450724715,5.710102489019033,6.986090775988287,1.989930771731549,1.496877425488892,683
ppltrst,social_trust,ES,0.011556101447931476,0.7632272598986113,-0.002856787589375338,0.9406374657492884,5.346041055718475,6.035190615835777,2.1357506188913127,1.915488851626331,682
ppltrst,social_trust,FI,0.06287264591721523,0.10064277691010401,0.06153122070624324,0.10813104901621061,7.001464128843338,6.892093704245974,1.814328170284665,1.5798573128724478,683
ppltrst,social_trust,FR,0.02443311762878962,0.5250430878824307,0.03934599211182131,0.3059436181359972,4.543446244477172,6.43019145802651,2.1597239580345544,1.8044810966553555,679
ppltrst,social_trust,GB,0.08957073990850448,0.0193062268176177,0.07417784685004922,0.05283357483136484,5.439882697947214,5.893841642228739,2.29793854837833,1.891628568602372,682
ppltrst,social_trust,GR,0.07339409076739944,0.055574898866121186,0.0706776929385277,0.0652821941155926,4.513950073421439,6.3606461086637305,1.9289274199983053,1.6534301759178012,681
ppltrst,social_trust,HR,-0.013570001974119028,0.724700794576055,0.002914751745279229,0.9397027638772509,4.690828402366864,6.320710059171598,2.374052055997236,1.8795232095052814,676
ppltrst,social_trust,HU,0.14290444193004234,0.00018285246364472057,0.13677573908910132,0.00034415340781623975,4.484581497797357,6.176945668135096,2.479945476667864,1.92999849397599,681
ppltrst,social_trust,IE,0.13678503033130532,0.000347319007697064,0.10888542343973868,0.004474487720509737,5.410294117647059,6.118823529411765,2.4807144028915356,1.8500245028125089,680
ppltrst,social_trust,IL,0.1895315434500294,6.408631864052887e-07,0.16471699517304772,1.5822768906896177e-05,5.208823529411765,6.373529411764705,2.3806866062065635,1.9713050219488542,680
ppltrst,social_trust,IS,0.07033912030277642,0.06598586931094934,0.06010250820955644,0.11631523937641852,6.564327485380117,6.553362573099415,2.050664853314585,1.8159462303951868,684
ppltrst,social_trust,IT,-0.048451165097658636,0.20834188974695442,-0.03331063990600787,0.38719590481171595,4.556213017751479,6.166420118343195,2.325658458834574,1.8350608978436254,676
ppltrst,social_trust,LT,0.07762908765823723,0.043006265901472204,0.09886509516096613,0.009889603603860484,5.142647058823529,6.517352941176471,2.4049419036807733,1.7529840896028583,680
ppltrst,social_trust,LV,-0.06303097932843427,0.10154672095104529,-0.03847672509320077,0.3178366676184862,3.8727810650887573,6.588461538461539,2.575399047568884,1.7713564586789705,676
ppltrst,social_trust,ME,0.09396438041732191,0.014237744857148925,0.07321870015204208,0.05634478505128813,4.239705882352941,5.972794117647059,2.55828318870352,2.061194404433185,680
ppltrst,social_trust,NL,0.05674496603385558,0.13877273752444352,0.07783591282041372,0.04214861549756503,6.252199413489736,6.762756598240469,1.9639263995646945,1.5654464665521741,682
ppltrst,social_trust,NO,0.06139543957346533,0.10891292493482686,0.08854481156317828,0.020647848022135144,6.67203513909224,6.77891654465593,1.890916654293584,1.6605728078617161,683
ppltrst,social_trust,PL,0.07981522392726019,0.03745059312996065,0.06739027290746728,0.07907357242735982,4.548529411764706,6.381323529411765,2.3351065134545483,1.8219383133651101,680
ppltrst,social_trust,PT,0.08268551754634489,0.03084395132821138,0.08509240821800167,0.02627287199243534,4.118768328445748,5.969941348973607,2.369464262018053,1.9219857105204694,682
ppltrst,social_trust,RS,0.0539183615501621,0.1611121640843775,0.06649313992935359,0.08384196618781652,4.327917282127031,6.086115214180207,2.773821612206325,1.8118485293243836,677
ppltrst,social_trust,SE,0.008082637891246082,0.8328831959041074,0.02593400799167545,0.498319888988334,6.315789473684211,6.755116959064328,2.0217664288807113,1.6481197817505482,684
ppltrst,social_trust,SI,-0.0228808315082379,0.5508293240204818,-0.004415321778285042,0.9083692330617122,4.687683284457478,6.417595307917889,2.3864757652149047,1.8892262967807347,682
ppltrst,social_trust,SK,0.06980167668387337,0.06849164859481235,0.06430940144650761,0.0933266148390098,4.067448680351906,6.028592375366569,2.737914938333619,1.9300135234514195,682
ppltrst,social_trust,UA,0.02018848337524837,0.5992104683647258,0.011494950497518516,0.7647797887510817,3.9441176470588237,5.316911764705883,2.8268324229175805,2.0914143570372716,680
pplfair,social_trust,AT,0.06545687071234645,0.08738289380489139,0.06202403466061458,0.10533043698293605,6.341142020497804,6.644948755490483,1.9887933495293022,1.1288992856215716,683
pplfair,social_trust,BE,0.08764314329360277,0.02188339170258853,0.03666122591034148,0.3383736558080884,6.017543859649122,6.762426900584796,1.9778382218342525,1.2361350356145702,684
pplfair,social_trust,BG,0.027888223995834183,0.4678147618017318,0.03939389792951523,0.3049974557848004,4.310294117647059,6.662941176470588,2.2163962381536,1.2847159291555497,680
pplfair,social_trust,CH,0.014495132063700577,0.7053223925905169,0.055314746034674886,0.14871978112621204,6.4099560761347,6.7701317715959,1.8802930367967179,1.2568934193696675,683
pplfair,social_trust,CY,0.07313254592807539,0.055911293621479986,0.05797578034149766,0.12983208324065262,4.428362573099415,6.646198830409356,2.258379472540865,1.3622069537016483,684
pplfair,social_trust,DE,0.0868018753900167,0.023088752987342993,0.08898476652101556,0.019841958233682323,6.245255474452555,6.716788321167884,1.944702310496455,1.1439242848432096,685
pplfair,social_trust,EE,0.0989341362362361,0.009783738809108733,0.09981016689358567,0.009150760637277579,6.212922173274596,6.918208516886931,2.0551679067211146,1.0686950635282775,681
pplfair,social_trust,ES,0.040578229912661974,0.28961068169138815,0.053765884201030525,0.16044585782323667,5.588579795021962,6.589019033674964,2.1753723254316526,1.3124866388106748,683
pplfair,social_trust,FI,0.06877304097858904,0.07225830037939679,0.06359386305108054,0.09654572345610053,7.16374269005848,6.798976608187134,1.7059283500345526,1.1982229910169708,684
pplfair,social_trust,FR,-0.0009290208715004723,0.9806795175213234,-0.0019093237990502015,0.9603050223974576,6.146627565982405,6.745601173020527,1.9953459960021371,1.2358519765560543,682
pplfair,social_trust,GB,0.08316536480458468,0.03024598093655481,0.07671380681869829,0.04569042052600045,5.945508100147276,6.564948453608248,2.183669545497061,1.2686169816030435,679
pplfair,social_trust,GR,-0.019477245463864847,0.6118797097650033,-0.00886008316296434,0.817476166565237,4.930983847283406,6.695888399412628,2.001380494449328,1.2069580671101574,681
pplfair,social_trust,HR,0.03897919748487415,0.3111943314101765,0.04157462120449605,0.28004982056514705,5.192023633677991,6.67370753323486,2.4310117112570695,1.2741466538047128,677
pplfair,social_trust,HU,0.024232064067449998,0.5272430554987041,0.037016468457888356,0.3340654924061502,5.1039531478770135,6.681259150805271,2.1153049760014926,1.376808390723214,683
pplfair,social_trust,IE,-0.033783565219543184,0.37837452652569553,-0.007687062353497879,0.8411807884900832,6.145161290322581,6.747800586510264,2.1658913214281967,1.1044042791770412,682
pplfair,social_trust,IL,0.11646825034038752,0.0023685712117661115,0.08383669645023041,0.02893234866380682,5.341678939617084,6.715463917525773,2.28588411857488,1.3623507083731008,679
pplfair,social_trust,IS,0.10055869050747215,0.008493019997654842,0.09142750390372446,0.016767021229296426,6.980994152046784,6.690497076023392,1.8377658965300543,1.3038787899826225,684
pplfair,social_trust,IT,-0.04786563237798925,0.21288159078904773,-0.057068225194858546,0.1374025549745214,4.634756995581738,6.812076583210604,2.2199882187973925,1.2381836611695087,679
pplfair,social_trust,LT,0.007167362814955933,0.852654496231129,-0.013084586091078794,0.7345497731462366,5.519287833827893,6.795994065281899,2.240465768997793,1.1938420403055767,674
pplfair,social_trust,LV,-0.007526396915771736,0.8452505721800146,0.010153419066848413,0.7923105510485002,5.632592592592593,6.947111111111111,2.231047099831404,1.0617450130795099,675
pplfair,social_trust,ME,0.07383113852514929,0.0552060192242544,0.08635524865209257,0.02485755104388568,4.354074074074074,6.578518518518519,2.3304131319199115,1.3472350620222202,675
pplfair,social_trust,NL,0.014144675684575106,0.7119241501974279,-0.0037249037103137014,0.9225349860030213,6.6154970760233915,6.867690058479532,1.6242469731723888,1.1281542410696044,684
pplfair,social_trust,NO,0.08654525149818712,0.023499144901226,0.0810523434620501,0.03392524919301493,6.890510948905109,6.767883211678832,1.845172427784769,1.1223366333254432,685
pplfair,social_trust,PL,0.0644300246006366,0.09514871274094465,0.0829609045097595,0.03153177455403397,5.21875,6.725892857142857,2.249968951598991,1.2788252947740637,672
pplfair,social_trust,PT,0.0941561065025068,0.013969591956177082,0.0899837435302795,0.01884079924186504,5.138032305433186,6.524229074889868,2.2119411767818464,1.3396390099050155,681
pplfair,social_trust,RS,-0.007955175123134074,0.835957372103119,-0.019164050892095226,0.6178754027981471,4.675,6.699705882352942,2.846379764088735,1.2335037809344103,680
pplfair,social_trust,SE,-0.009515417573614769,0.8038164902514465,-0.033518559743071566,0.3814288241093271,6.757309941520468,6.717105263157895,1.779052279615545,1.2939264975249363,684
pplfair,social_trust,SI,-0.0042581081311818016,0.9119427229700597,0.01652984536787513,0.6676843360724382,5.443131462333826,6.732348596750369,2.2456600357146,1.2073747535294523,677
pplfair,social_trust,SK,0.017435113542095027,0.6494549134788105,0.016271377608112345,0.6714361995215178,4.854838709677419,6.407624633431085,2.504219356369087,1.441304043199409,682
pplfair,social_trust,UA,0.03829910892881111,0.32333241097300697,0.0215913838833935,0.5777696929060232,4.787106446776612,6.501499250374812,2.4247748774617794,1.4747619041046036,667
pplhlp,social_trust,AT,0.01170531770337531,0.7609479834092172,0.02701082325940854,0.4825857195307672,6.2492625368731565,6.540117994100295,2.062134755724219,1.3903384658320925,678
pplhlp,social_trust,BE,-0.009608765977792328,0.8020739852994427,-0.02128775085878278,0.5786322478855814,5.243045387994144,6.683308931185944,2.1408108426293326,1.3207734125708825,683
pplhlp,social_trust,BG,0.005353778504040723,0.8893333809765667,0.030484234259809968,0.4280801430890273,3.578171091445428,6.630678466076697,2.2935774859651317,1.3922670416878256,678
pplhlp,social_trust,CH,0.0781245579819695,0.04199230904033816,0.054998545435625816,0.15256888886107736,5.908554572271386,6.671828908554573,1.8946907019231272,1.4824088804553448,678
pplhlp,social_trust,CY,0.08494585553842739,0.026644936942357495,0.07095900406214707,0.06421617335880422,4.139500734214391,6.49676945668135,2.2438633406568185,1.6110066695760992,681
pplhlp,social_trust,DE,0.0022409692096802096,0.9535544892784732,-0.0032523777232067955,0.9326344336537996,5.43952802359882,6.538200589970501,1.992979053596938,1.3944289898943758,678
pplhlp,social_trust,EE,0.030816957145409392,0.4220256478779403,-0.009015851258912763,0.8143251645069778,5.089574155653451,6.92143906020558,2.004236680467426,1.2117239722328768,681
pplhlp,social_trust,ES,0.00945785769696405,0.8054003716232809,0.010025289731419416,0.793980172543051,4.826725403817915,6.581644640234949,2.2994735962985713,1.4290682680369757,681
pplhlp,social_trust,FI,0.02383884294097912,0.5339695223122606,-0.009010711775276438,0.8141607752590617,6.407027818448023,6.683748169838946,1.9179833718694022,1.5270626187140848,683
pplhlp,social_trust,FR,-0.02341647642278225,0.542433559726007,-0.035102007006397914,0.3610999140237376,4.634756995581738,6.735935198821798,2.1972830282757116,1.3870785820726819,679
pplhlp,social_trust,GB,0.06916214626544095,0.07127861336572433,0.08557129196529328,0.025544906376715006,6.058737151248164,6.379001468428782,1.999871508354119,1.6165093661591303,681
pplhlp,social_trust,GR,-0.01247238469935225,0.7450803412415323,-0.009779229325958837,0.7987822160748393,4.36217008797654,6.5815249266862175,1.9761960776334258,1.4379721476168958,682
pplhlp,social_trust,HR,-0.01864820955534394,0.6271150162134489,-0.03382615495870002,0.378124550934747,4.412628487518355,6.700734214390603,2.4074184962709055,1.3563411166968138,681
pplhlp,social_trust,HU,0.03103212619386789,0.4201656519572956,0.039788958931155596,0.3012417937346127,4.540620384047267,6.5735598227474155,2.3026010952623563,1.492177195338652,677
pplhlp,social_trust,IE,0.07149536334979278,0.06203098747859036,0.0783207414456223,0.04087990214660272,6.0498533724340176,6.4749266862170085,2.256107711280759,1.5189653940535714,682
pplhlp,social_trust,IL,0.15709249360098732,3.8800743556356184e-05,0.1745791653793862,4.665266225498836e-06,5.117647058823529,6.7677941176470595,2.3294832573734223,1.5376783233759814,680
pplhlp,social_trust,IS,0.03757555754142931,0.3268111154688242,0.04957738348783585,0.1956339070782016,6.587115666178624,6.678477306002928,1.7901517071733222,1.4851235008916428,683
pplhlp,social_trust,IT,0.03155127275973116,0.4134703365833799,0.02880576040775589,0.4553003141231436,4.201780415430267,6.59139465875371,2.2597182770604953,1.4707399200279099,674
pplhlp,social_trust,LT,0.00431952971678295,0.9103487352538805,0.001924294164228837,0.9599940468001156,5.048387096774194,6.799706744868034,2.394745602142652,1.349965976266187,682
pplhlp,social_trust,LV,0.06991672105739406,0.06864704260946913,0.07615688063148562,0.047290092774430796,4.9499263622974965,6.84698085419735,2.322868705096817,1.3231718120394156,679
pplhlp,social_trust,ME,0.002311495415518011,0.9521299456573941,0.009438759124809177,0.8063474060540332,4.268833087149187,6.559675036927623,2.1977235324438484,1.5256239040502908,677
pplhlp,social_trust,NL,0.025268678073412508,0.5100309556451702,0.01288933825003059,0.7368684311926939,5.718475073313783,6.901173020527859,1.7593664650687715,1.2031402021118345,682
pplhlp,social_trust,NO,0.07554426283810345,0.04827405555142272,0.03507348107119964,0.3597221696857923,6.162280701754386,6.812865497076023,1.9043707307390423,1.3146025144688878,684
pplhlp,social_trust,PL,0.023249912848921854,0.5459045378572519,0.047590169739460085,0.2162089565208211,4.514032496307238,6.686706056129986,2.378129110042427,1.4614981545581502,677
pplhlp,social_trust,PT,0.027666906266094672,0.47070186663763675,0.01982081716328797,0.6053485256968528,4.070381231671554,6.5203812316715535,2.1550138583388616,1.5127391988765182,682
pplhlp,social_trust,RS,0.058454645475486317,0.12780661169388585,0.04738112320916581,0.21721465265778025,3.713235294117647,6.569117647058824,2.726912964990755,1.5122725589230361,680
pplhlp,social_trust,SE,-0.06987738043835082,0.06798887626555873,-0.09661180758700241,0.011531508901822375,6.130307467057101,6.59385065885798,1.9066955014467877,1.5490107394461967,683
pplhlp,social_trust,SI,-0.025335524122069058,0.5101617973539058,-0.0032734611382934484,0.9321987858491857,5.353982300884955,6.671091445427729,2.2597382391734846,1.44641021143708,678
pplhlp,social_trust,SK,0.06657125554862349,0.08234210989736991,0.04222295388538619,0.2708416954939192,4.200879765395895,6.391788856304985,2.5497918121058203,1.6758954551219027,682
