,country_label_dz
trstprl,0.49806581164850383
atcherp,0.40312617386574146
trstplc,0.3918018463070211
pplfair,0.35079226429424026
trstlgl,0.32923083315588564
imueclt,0.2814472596693412
imwbcnt,0.27429828639795434
atchctr,0.2586038113119387
happy,0.24777823649153286
trstprt,0.24507525179164058
stfdem,0.24107194949914268
cptppola,0.23527092783284304
ppltrst,0.2090608959557021
stfedu,0.19892345715870174
stfhlth,0.19669905930602594
stfeco,0.19662462892065335
imbgeco,0.17575842958247148
stflife,0.17081388425235777
trstplt,0.14869959862356263
inprdsc,0.14688531106255653
psppsgva,0.1336122611860076
pplhlp,0.12718106225416076
stfgov,0.12014924999381416
psppipla,0.11380780094942766
actrolga,0.05218992174740278
trstep,0.049410575024317005
trstun,0.011493851843266456
euftf,-0.00017931795651676685
sclmeet,-0.20585632215750985
health,0.0102390837823636
polintr,-0.001610945770865846
hincfel,-0.027504124794378804
impcntr,-0.11080249715388979
imsmetn,-0.13528498866830185
aesfdrk,-0.17613798124047086
vote,-0.17616084830120923
imdfetn,-0.22892513564236877
hmsfmlsh,-0.27258714733133615
gincdif,-0.27549621465953944
rlgatnd,-0.49559447014842256
hmsacld,-0.6076392672709597
freehms,-0.8636580079437985
