variable,reverse,r_label,r_true
vote,True,0.615535,0.227788
imwbcnt,False,0.594746,0.246146
trstplc,False,0.587484,0.40395
trstlgl,False,0.54024,0.391308
trstprl,False,0.527877,0.2691
stfhlth,False,0.525456,0.345568
imueclt,False,0.506931,0.340324
stfeco,False,0.496402,0.262247
trstplt,False,0.484351,0.423675
pplfair,False,0.477188,0.112929
psppipla,False,0.430629,0.461232
ppltrst,False,0.427061,0.414976
trstprt,False,0.418064,0.48593
actrolga,False,0.403558,0.456952
stfdem,False,0.400313,0.358999
happy,False,0.395671,0.625751
psppsgva,False,0.384641,0.471062
cptppola,False,0.371632,0.29919
stflife,False,0.316375,0.61407
stfgov,False,0.315197,0.29236
pplhlp,False,0.283775,0.314504
imbgeco,False,0.281385,0.279543
gincdif,True,0.248825,0.34796
inprdsc,False,0.130225,0.622319
trstep,False,0.118016,0.196649
atcherp,False,0.106772,-0.014857
stfedu,False,0.102239,0.392838
rlgatnd,True,0.084676,0.54608
trstun,False,0.076857,0.239791
hmsfmlsh,True,-0.012153,-0.056328
euftf,False,-0.048593,-0.207431
atchctr,False,-0.059436,0.114894
health,True,-0.077861,-0.012302
hincfel,True,-0.094347,-0.59137
sclmeet,False,-0.101436,0.229464
polintr,True,-0.15759,-0.628159
imsmetn,True,-0.182021,-0.005565
aesfdrk,True,-0.299336,-0.308373
impcntr,True,-0.318208,-0.144524
imdfetn,True,-0.441329,-0.447453
hmsacld,True,-0.652003,-0.243962
freehms,True,-0.748635,-0.104664
