block,margin,variable,reverse,dz
country label,add,actrolga,False,0.823931
country label,add,aesfdrk,True,-0.6102
country label,add,atchctr,False,0.536962
country label,add,atcherp,False,0.475392
country label,add,cptppola,False,1.187646
country label,add,euftf,False,-0.085276
country label,add,freehms,True,-1.324645
country label,add,gincdif,True,-0.077885
country label,add,happy,False,0.671623
country label,add,health,True,-0.438966
country label,add,hincfel,True,-0.714059
country label,add,hmsacld,True,-1.159095
country label,add,hmsfmlsh,True,0.032244
country label,add,imbgeco,False,0.17184
country label,add,imdfetn,True,-0.106781
country label,add,impcntr,True,-0.224571
country label,add,imsmetn,True,-0.09212
country label,add,imueclt,False,0.69807
country label,add,imwbcnt,False,0.697252
country label,add,inprdsc,False,0.029568
country label,add,polintr,True,-0.615613
country label,add,pplfair,False,0.757477
country label,add,pplhlp,False,0.712017
country label,add,ppltrst,False,0.896401
country label,add,psppipla,False,1.161837
country label,add,psppsgva,False,0.719175
country label,add,rlgatnd,True,-0.024307
country label,add,sclmeet,False,0.201259
country label,add,stfdem,False,0.738011
country label,add,stfeco,False,0.791229
country label,add,stfedu,False,0.816302
country label,add,stfgov,False,0.689444
country label,add,stfhlth,False,0.866156
country label,add,stflife,False,0.884891
country label,add,trstep,False,0.730704
country label,add,trstlgl,False,0.780745
country label,add,trstplc,False,0.97994
country label,add,trstplt,False,0.94524
country label,add,trstprl,False,0.883498
country label,add,trstprt,False,0.648593
country label,add,trstun,False,0.43721
country label,add,vote,True,-0.712368
country label,remove,actrolga,False,0.05219
country label,remove,aesfdrk,True,-0.176138
country label,remove,atchctr,False,0.258604
country label,remove,atcherp,False,0.403126
country label,remove,cptppola,False,0.235271
country label,remove,euftf,False,-0.000179
country label,remove,freehms,True,-0.863658
country label,remove,gincdif,True,-0.275496
country label,remove,happy,False,0.247778
country label,remove,health,True,0.010239
country label,remove,hincfel,True,-0.027504
country label,remove,hmsacld,True,-0.607639
country label,remove,hmsfmlsh,True,-0.272587
country label,remove,imbgeco,False,0.175758
country label,remove,imdfetn,True,-0.228925
country label,remove,impcntr,True,-0.110802
country label,remove,imsmetn,True,-0.135285
country label,remove,imueclt,False,0.281447
country label,remove,imwbcnt,False,0.274298
country label,remove,inprdsc,False,0.146885
country label,remove,polintr,True,-0.001611
country label,remove,pplfair,False,0.350792
country label,remove,pplhlp,False,0.127181
country label,remove,ppltrst,False,0.209061
country label,remove,psppipla,False,0.113808
country label,remove,psppsgva,False,0.133612
country label,remove,rlgatnd,True,-0.495594
country label,remove,sclmeet,False,-0.205856
country label,remove,stfdem,False,0.241072
country label,remove,stfeco,False,0.196625
country label,remove,stfedu,False,0.198923
country label,remove,stfgov,False,0.120149
country label,remove,stfhlth,False,0.196699
country label,remove,stflife,False,0.170814
country label,remove,trstep,False,0.049411
country label,remove,trstlgl,False,0.329231
country label,remove,trstplc,False,0.391802
country label,remove,trstplt,False,0.1487
country label,remove,trstprl,False,0.498066
country label,remove,trstprt,False,0.245075
country label,remove,trstun,False,0.011494
country label,remove,vote,True,-0.176161
NUTS region code,add,actrolga,False,-0.02851
NUTS region code,add,aesfdrk,True,0.244409
NUTS region code,add,atchctr,False,-0.059755
NUTS region code,add,atcherp,False,-0.004778
NUTS region code,add,cptppola,False,-0.121841
NUTS region code,add,euftf,False,-0.145978
NUTS region code,add,freehms,True,0.131029
NUTS region code,add,gincdif,True,0.136999
NUTS region code,add,happy,False,-0.026453
