arm,rows,rejected,rejected_share,rejected_with_in_range_value,recoverable_share,reconstruction_max_abs_diff,median_r_bc_frozen,median_r_bc_last,d_median_last,max_abs_d_item_last,n_recovered_last,median_r_bc_answer,d_median_answer,max_abs_d_item_answer,n_recovered_answer,median_r_bc_unique,d_median_unique,max_abs_d_item_unique,n_recovered_unique,median_r_bc_any,d_median_any,max_abs_d_item_any,n_recovered_any
llama_1p,863100,64,7.415131502722744e-05,24,0.375,8.881784197001252e-16,0.3486335987053674,0.3486335987053674,0.0,0.007149642309605686,22,0.3486335987053674,0.0,0.0,0,0.3486335987053674,0.0,0.0029242511824119632,9,0.3486335987053674,0.0,0.007192257860171497,24
llama_3p,863100,196067,0.22716602942880315,44374,0.2263205944906588,8.881784197001252e-16,0.17288772730519825,0.16027585570928504,-0.012611871595913204,0.04770642687211912,41791,0.17082620918346467,-0.00206151812173358,0.007020880011822106,735,0.17057730109911745,-0.0023104262060807956,0.04117953131695207,19251,0.17984718295250224,0.0069594556473039915,0.059560536231200306,44374
qwen_1p_anchored,452100,53,0.00011723070117230701,0,0.0,8.881784197001252e-16,0.6500657297648764,0.6500657297648764,0.0,0.0,0,0.6500657297648764,0.0,0.0,0,0.6500657297648764,0.0,0.0,0,0.6500657297648764,0.0,0.0,0
qwen_1p_demo_only,863100,6333,0.007337504344803615,419,0.06616137691457445,1.3322676295501878e-15,-0.028606178617098403,-0.0362735895270793,-0.007667410909980896,0.09189040619565815,419,-0.028606178617098403,0.0,0.0,0,-0.0362735895270793,-0.007667410909980896,0.09189040619565815,419,-0.0362735895270793,-0.007667410909980896,0.09189040619565815,419
qwen_1p_full_nocountry_anchored,452100,75,0.00016589250165892502,0,0.0,8.881784197001252e-16,0.389065756770389,0.389065756770389,0.0,0.0,0,0.389065756770389,0.0,0.0,0,0.389065756770389,0.0,0.0,0,0.389065756770389,0.0,0.0,0
qwen_1p_full_nocountry,863100,409,0.0004738732475958753,1,0.0024449877750611247,1.7763568394002505e-15,0.3440777761363885,0.3440777761363885,0.0,0.000673300338208449,1,0.3440777761363885,0.0,0.0,0,0.3440777761363885,0.0,0.000673300338208449,1,0.3440777761363885,0.0,0.000673300338208449,1
qwen_1p_full_nopolitical,863100,808,0.0009361603522187464,0,0.0,1.7763568394002505e-15,0.5230873677092932,0.5230873677092932,0.0,0.0,0,0.5230873677092932,0.0,0.0,0,0.5230873677092932,0.0,0.0,0,0.5230873677092932,0.0,0.0,0
qwen_1p_full_noregion_anchored,452100,46,0.00010174740101747402,0,0.0,8.881784197001252e-16,0.636892242151291,0.636892242151291,0.0,0.0,0,0.636892242151291,0.0,0.0,0,0.636892242151291,0.0,0.0,0,0.636892242151291,0.0,0.0,0
qwen_1p_full_noregion,863100,648,0.0007507820646506778,1,0.0015432098765432098,1.7763568394002505e-15,0.4156884660446455,0.4156884660446455,0.0,2.1576512747367715e-05,1,0.4156884660446455,0.0,0.0,0,0.4156884660446455,0.0,2.1576512747367715e-05,1,0.4156884660446455,0.0,2.1576512747367715e-05,1
qwen_1p_minimal_politics_econ,863100,1479,0.001713590545707334,2,0.001352265043948614,1.7763568394002505e-15,0.42277168674059806,0.42277168674059806,0.0,0.0002531133712808109,2,0.42277168674059806,0.0,0.0,0,0.42277168674059806,0.0,0.0002531133712808109,2,0.42277168674059806,0.0,0.0002531133712808109,2
qwen_1p_minimal_politics,863100,6111,0.00708029197080292,43,0.007036491572574047,8.881784197001252e-16,0.3161489257307747,0.3161489257307747,0.0,0.004972511301346849,29,0.3161489257307747,0.0,0.0,0,0.3161489257307747,0.0,0.006697694686582323,40,0.3161489257307747,0.0,0.004972511301346849,43
qwen_1p_minimal,863100,10729,0.0124307727957363,165,0.015378879671917233,8.881784197001252e-16,0.5232431078756588,0.5238899352286606,0.0006468273530018109,0.006740638759453077,165,0.5232431078756588,0.0,0.0,0,0.5238899352286606,0.0006468273530018109,0.006740638759453077,164,0.5238899352286606,0.0006468273530018109,0.006740638759453077,165
qwen_1p_political,863100,1307,0.0015143088865716603,2,0.001530221882172915,1.7763568394002505e-15,0.2869500495177908,0.2869500495177908,0.0,0.00034578506677185317,2,0.2869500495177908,0.0,0.0,0,0.2869500495177908,0.0,0.00034578506677185317,2,0.2869500495177908,0.0,0.00034578506677185317,2
qwen_1p_rep,452100,67,0.00014819730148197302,1,0.014925373134328358,8.881784197001252e-16,0.3249147984204793,0.3249147984204793,0.0,0.000254212451129332,1,0.3249147984204793,0.0,0.0,0,0.3249147984204793,0.0,0.000254212451129332,1,0.3249147984204793,0.0,0.000254212451129332,1
qwen_1p,863100,619,0.0007171822500289653,0,0.0,8.881784197001252e-16,0.443303085730148,0.443303085730148,0.0,0.0,0,0.443303085730148,0.0,0.0,0,0.443303085730148,0.0,0.0,0,0.443303085730148,0.0,0.0,0
qwen_1p_ses,863100,1716,0.001988182134167536,6,0.0034965034965034965,1.7763568394002505e-15,0.39671396160709477,0.39671396160709477,0.0,0.0005242763324314614,6,0.39671396160709477,0.0,0.0,0,0.39671396160709477,0.0,0.0005242763324314614,6,0.39671396160709477,0.0,0.0005242763324314614,6
qwen_3p,863100,71,8.226161510833043e-05,5,0.07042253521126761,8.881784197001252e-16,0.4425672737302869,0.4425672737302869,0.0,0.0007374813806479974,4,0.4425672737302869,0.0,0.0,0,0.4425672737302869,0.0,0.0,0,0.4425672737302869,0.0,0.00013686745188490335,5
