variable,reverse,r_bc,r_pooled_within,r_ind
trstplc,False,0.8187003794113819,0.0443363842936412,0.1275754166612541
trstprl,False,0.7860431453403899,0.0720394327678596,0.1647877749095421
trstlgl,False,0.7779125340382167,0.0746032206846636,0.1789853297034981
ppltrst,False,0.7760821195535936,0.0767766366596746,0.1331293808592366
stflife,False,0.7746784904273362,0.1455803481714447,0.2008088749107747
trstplt,False,0.7458525648734162,0.0622286237483937,0.1401562388021005
stfdem,False,0.7319242006667535,0.065609139761543,0.1359024685987359
trstprt,False,0.7310128585264873,0.1094791318578589,0.1728215404309677
psppipla,False,0.7068442767617874,0.0514547993300182,0.0746577502004529
happy,False,0.6906642065373667,0.1421527401006337,0.1851455442757059
stfeco,False,0.669174494519849,0.0563084169840428,0.1271790460962748
imueclt,False,0.647708781503356,0.047914060757773,0.0848039130213288
imwbcnt,False,0.6372038328158683,0.0507369492807013,0.0931294253842647
actrolga,False,0.6236654605239246,0.0894611010595978,0.1082725362657065
stfhlth,False,0.6084912597963015,0.0155858431559316,0.0874868849563467
pplfair,False,0.5716268771955936,0.048592635983964,0.0694863865460463
psppsgva,False,0.5481602761083125,0.0564748491277426,0.07540605961091
stfedu,False,0.5224447501709363,0.0003095953720037,0.0428403946556132
stfgov,False,0.5092888027092058,0.0280964727740824,0.0678737941733948
cptppola,False,0.5037036087357335,0.0888277932113835,0.1046280381653171
trstun,False,0.4595409538998488,0.0430003724291435,0.0730065390295083
inprdsc,False,0.4270652175604479,0.0259443151599033,0.0336277490976976
trstep,False,0.3888033774649266,0.0673761250300272,0.0862143511950625
pplhlp,False,0.3607805898689944,0.0230526678513032,0.0365066714343444
imbgeco,False,0.3587398351517705,0.0632059496204675,0.0862989965101604
rlgatnd,True,0.3467323849780476,0.0149693606817739,0.020631585771824
gincdif,True,0.3459462980509142,0.0327765223850115,0.0388336952688825
atcherp,False,0.3103234446420332,0.0607469918367759,0.0765045211056335
sclmeet,False,0.2951718581002278,0.0428633605115476,0.0496068207439439
hmsfmlsh,True,0.2482144172501293,-0.002838840931558,0.00173164917487
atchctr,False,0.225488236770819,0.0139168271709734,0.0181653521657213
vote,True,-0.1499410429377972,-0.0311532843896393,-0.0322971555056336
euftf,False,-0.231356901562988,0.0183858287168346,0.0135362124935387
imsmetn,True,-0.2549039131579451,-0.0385793877768578,-0.0481110016845113
health,True,-0.3323367599094139,-0.0763079300592351,-0.0860772932472189
impcntr,True,-0.3573841542134229,-0.0280089329060686,-0.0501404196964737
imdfetn,True,-0.3585322991797441,-0.0443814204264348,-0.0661298159860129
aesfdrk,True,-0.457857225220302,-0.0377573931945406,-0.0521857149816577
hincfel,True,-0.6725922375814659,-0.1519664054545251,-0.1820267920239403
polintr,True,-0.6840742122514161,-0.0809607622157075,-0.103010521038674
hmsacld,True,-0.7256979707079046,-0.0090178062480032,-0.06843158075811
freehms,True,-0.8203273958001768,-0.088856658624522,-0.167576975192346
