variable,r_bc,reverse
trstplc,0.8187003794113819,False
trstprl,0.7860431453403899,False
trstlgl,0.7779125340382167,False
ppltrst,0.7760821195535936,False
stflife,0.7746784904273362,False
trstplt,0.7458525648734162,False
stfdem,0.7319242006667535,False
trstprt,0.7310128585264873,False
psppipla,0.7068442767617874,False
happy,0.6906642065373667,False
stfeco,0.669174494519849,False
imueclt,0.647708781503356,False
imwbcnt,0.6372038328158683,False
actrolga,0.6236654605239246,False
stfhlth,0.6084912597963015,False
pplfair,0.5716268771955936,False
psppsgva,0.5481602761083125,False
stfedu,0.5224447501709363,False
stfgov,0.5092888027092058,False
cptppola,0.5037036087357335,False
trstun,0.45954095389984884,False
inprdsc,0.4270652175604479,False
trstep,0.38880337746492666,False
pplhlp,0.3607805898689944,False
imbgeco,0.3587398351517705,False
rlgatnd,0.34673238497804765,True
gincdif,0.34594629805091426,True
atcherp,0.31032344464203326,False
sclmeet,0.2951718581002278,False
hmsfmlsh,0.24821441725012938,True
atchctr,0.22548823677081906,False
vote,-0.1499410429377972,True
euftf,-0.23135690156298802,False
imsmetn,-0.25490391315794514,True
health,-0.3323367599094139,True
impcntr,-0.35738415421342296,True
imdfetn,-0.35853229917974416,True
aesfdrk,-0.457857225220302,True
hincfel,-0.6725922375814659,True
polintr,-0.6840742122514161,True
hmsacld,-0.7256979707079046,True
freehms,-0.8203273958001768,True
