variable,r_wc,reverse
stflife,0.1459586545867279,False
happy,0.14173892204393038,False
trstprt,0.11012291825027057,False
cptppola,0.08920268571927852,False
actrolga,0.08732641713000218,False
trstlgl,0.07747238336587943,False
ppltrst,0.07530520437600083,False
trstprl,0.07430908469582179,False
stfdem,0.06873257171469975,False
trstep,0.06709081428199233,False
imbgeco,0.06277120655496056,False
trstplt,0.06270730527512039,False
stfeco,0.058666979028868756,False
atcherp,0.05796360932499133,False
psppsgva,0.05399660806895732,False
imwbcnt,0.051955468470397066,False
psppipla,0.050863150788849086,False
pplfair,0.0481225372713945,False
trstplc,0.04781551894872567,False
imueclt,0.04679578819568605,False
sclmeet,0.04206883639181845,False
trstun,0.04007191554117268,False
stfgov,0.03367803377199215,False
gincdif,0.03318668156688141,True
inprdsc,0.025446908116924755,False
pplhlp,0.02182784579916556,False
atchctr,0.01470124606614982,False
stfhlth,0.013187803754953691,False
rlgatnd,0.012199644787325365,True
euftf,0.01218473875331059,False
stfedu,0.0022964606536437456,False
hmsfmlsh,-0.005195793922724337,True
hmsacld,-0.01075999467901763,True
vote,-0.030622609271797583,True
impcntr,-0.03113476426138057,True
aesfdrk,-0.037461736059932436,True
imsmetn,-0.038206096958277626,True
imdfetn,-0.04539161222680555,True
health,-0.07802182053581062,True
polintr,-0.07904240420247145,True
freehms,-0.08523365613301165,True
hincfel,-0.148470971921238,True
