cntry,profile_r,mean_within_r
AT,0.8823730677705127,0.022621836303676195
BE,0.8508384950701526,0.026256610631007288
BG,0.6854503192912444,0.04686551602419713
CH,0.9051582931790576,0.014284083950911288
CY,0.7870157211406633,0.04449381495898864
DE,0.8300726310692906,0.00753982896401955
EE,0.843115145117026,0.04483851775031572
ES,0.8290401786416228,0.013450910299058216
FI,0.9107118528348479,0.03212168742335627
FR,0.7989817384900312,0.020128495103949463
GB,0.8197768716174378,0.021917085724481443
GR,0.7679404907030946,0.02155283924954177
HR,0.7946389946133416,0.011338204225580675
HU,0.7798983692020902,0.02557637803427048
IE,0.8935144552479544,0.0231370742572151
IL,0.7548493557251168,0.07737927547896443
IS,0.8544743279425585,0.0359305908028919
IT,0.8641004530725265,0.036549367447733086
LT,0.8626392872316171,0.04391210744665396
LV,0.7597205566273624,0.033029792523935224
ME,0.8451443676693915,0.01099592178073533
NL,0.873628791112841,0.026576690608003432
NO,0.8906927910475326,0.017743372147618276
PL,0.8374900952904407,0.017644189904424807
PT,0.8007374572286252,0.03485677353622877
RS,0.7276701955981768,0.002304120906510503
SE,0.8585370051014429,0.02541557451137556
SI,0.8574021817056523,0.01123524933024098
SK,0.8265866004521504,0.03984868890845118
UA,0.7500397363579364,0.024902889710967012
