contrast,group,released_median_z,corrected_median_z,released_mean_z,corrected_mean_z,median_z_shift
country label effect (rich baseline),all,0.1303966617200841,0.13039666172008418,0.0533493917825954,0.05334939178259545,8.326672684688674e-17
country label effect (rich baseline),forward,0.1966990593060259,0.19669905930602594,0.1931667931038685,0.19316679310386853,2.7755575615628914e-17
country label effect (rich baseline),reverse,-0.1761608483012092,-0.17616084830120923,-0.2585509650110137,-0.2585509650110137,-2.7755575615628914e-17
country label effect (sparse baseline),all,0.6601080524727948,0.6601080524727948,0.3280660104497334,0.3280660104497334,0.0
country label effect (sparse baseline),forward,0.7307038968211481,0.7307038968211481,0.6843840979670514,0.6843840979670514,0.0
country label effect (sparse baseline),reverse,-0.4389655822604178,-0.4389655822604178,-0.4667974155504375,-0.4667974155504375,0.0
political-identity variables (full minus nopolitical),all,0.0248046899545345,0.02480468995453458,0.0038045070852628,0.0038045070852628675,7.979727989493313e-17
political-identity variables (full minus nopolitical),forward,-0.004624172143638,-0.004624172143638083,-0.0301171871724297,-0.03011718717242976,-8.326672684688674e-17
political-identity variables (full minus nopolitical),reverse,0.0609826204951148,0.060982620495114825,0.0794759788908848,0.07947597889088488,2.7755575615628914e-17
all enrichment beyond country (full minus minimal),all,0.0084073391882493,0.008407339188249319,0.0406539141383826,0.04065391413838267,1.9081958235744878e-17
all enrichment beyond country (full minus minimal),forward,-0.0248709831123095,-0.024870983112309508,-0.0009483664760219,-0.0009483664760219377,-6.938893903907228e-18
all enrichment beyond country (full minus minimal),reverse,0.163217228878395,0.16321722887839504,0.1334590016628237,0.1334590016628237,5.551115123125783e-17
