,within_country_ceiling_R
hincfel,0.47406475990561314
health,0.4224960161234776
vote,0.3318289836609463
polintr,0.31974211334155533
actrolga,0.31561565564965277
hmsacld,0.3045018107640884
cptppola,0.2904938850494581
impcntr,0.2787018885500728
imdfetn,0.27816950064285756
hmsfmlsh,0.27323406413482737
aesfdrk,0.26482307360687257
freehms,0.2630204055004656
imueclt,0.25215067313478257
atchctr,0.24784327825306923
psppipla,0.23269263643247548
inprdsc,0.23171349805251706
gincdif,0.22800392773341469
stflife,0.22668569782260586
imwbcnt,0.21838703109413293
happy,0.21460024059198404
imsmetn,0.2107231971176627
imbgeco,0.20984769536432182
rlgatnd,0.2066657469774249
psppsgva,0.19298726340090977
sclmeet,0.19152387828687564
stfeco,0.1640603154096891
ppltrst,0.1622796404398789
stfgov,0.16115089765448312
pplfair,0.15660955885178815
stfdem,0.150436160403045
trstplc,0.1487577549649614
trstep,0.14798029120592118
atcherp,0.14443977004150568
trstprl,0.14210507924127438
trstlgl,0.13818195865022861
euftf,0.137054948089748
trstun,0.12631238509159307
stfedu,0.12478266648842914
stfhlth,0.12004458738470125
trstplt,0.11663918231326531
trstprt,0.10591845573821801
pplhlp,0.09605953038757455
