variable,r,ccc,Cb,loc_shift_u,scale_shift_v,bias,sd_ratio,condition
actrolga,0.6236654605239246,0.01755335987041423,0.028145473786007215,-8.135756316050083,4.653982369463012,0.9940369958589859,0.21486974393402833,qwen_1p
aesfdrk,-0.457857225220302,-0.017174334972956794,0.037510241243202416,-6.988586121601218,4.2427392209084935,0.8156564749303021,0.2356967864232464,qwen_1p
atchctr,0.22548823677081906,0.05387468072978434,0.2389245731897815,1.5681187596536938,5.737555934848137,-0.3549627484687772,0.17429023984346886,qwen_1p
atcherp,0.31032344464203326,0.07341437774313886,0.23657373946665358,-2.042748938726685,4.0332622162519645,1.007907754694271,0.24793825602771777,qwen_1p
cptppola,0.5037036087357335,0.016837880794722263,0.03342815199792663,-7.345478485644411,5.698264299478255,0.9957346526587152,0.17549203537146604,qwen_1p
euftf,-0.23135690156298802,-0.030444242047944985,0.1315899454145153,-3.4373211863713786,3.056366815232058,1.047841897799196,0.32718585839117414,qwen_1p
freehms,-0.8203273958001768,-0.05817081320612415,0.07091170367336355,-4.985865468655711,3.013381392239914,1.7553563754082249,0.3318531144365624,qwen_1p
gincdif,0.34594629805091426,0.004587896914052125,0.013261876019199105,-12.10538820181401,4.018983668434813,1.366389429441016,0.24881912505741746,qwen_1p
happy,0.6906642065373667,0.49223194315832147,0.7126935759797342,-0.21215397174593256,2.332526063042007,0.06972505366062709,0.42871975402316903,qwen_1p
health,-0.3323367599094139,-0.007048087172821193,0.02120766650894205,-9.510916957432379,3.5676838830599347,1.130732393144016,0.28029389171731184,qwen_1p
hincfel,-0.6725922375814659,-0.040044636579124264,0.05953776202222964,-5.350492902783983,4.754002570754739,0.8829176589192829,0.21034906589064828,qwen_1p
hmsacld,-0.7256979707079046,-0.15875449850828263,0.21876111676793114,-1.1260288940098593,7.745341596824226,0.33571713982733176,0.12910986397424018,qwen_1p
hmsfmlsh,0.24821441725012938,0.005832269582637782,0.023496900974775033,7.124885159541106,34.32448547009157,-0.8239266229039224,0.0291337214907808,qwen_1p
imbgeco,0.3587398351517705,0.056557235468952465,0.1576552975919862,-2.9798091229400523,3.5227746271055005,1.3930502268285174,0.28386715184832967,qwen_1p
imdfetn,-0.35853229917974416,-0.06910310096877985,0.19273884424604149,-2.5720576659107306,3.4733481870159375,0.5026317506679026,0.2879066382512982,qwen_1p
impcntr,-0.35738415421342296,-0.12089479203010572,0.33827686707651194,-1.5312580833747453,3.2609018378480403,0.3249974141099541,0.30666363163508403,qwen_1p
imsmetn,-0.25490391315794514,-0.00988930527121705,0.03879620814251439,-6.854135710970259,4.3419417370691145,0.9372752158294495,0.23031170396934372,qwen_1p
imueclt,0.647708781503356,0.08560214603636787,0.13216147207033713,-3.281145750230334,4.124640549943083,1.5299397723772588,0.24244536897010316,qwen_1p
imwbcnt,0.6372038328158683,0.5620395989869856,0.8820405183428914,-0.10232000468336475,1.6514842186771022,0.06598203936758917,0.6055159284543667,qwen_1p
inprdsc,0.4270652175604479,0.04438215135078574,0.10392359182120418,-0.9229794132720496,18.338487227703528,0.12165362369952559,0.054530124954326825,qwen_1p
polintr,-0.6840742122514161,-0.19422236686952124,0.28392002415980444,-1.6061919914124123,4.227858114873085,0.1887842950550751,0.2365263858978907,qwen_1p
pplfair,0.5716268771955936,0.029992674568646717,0.05246897192061898,-5.540419592789263,7.284234058009274,1.5899393977961145,0.1372827935011869,qwen_1p
pplhlp,0.3607805898689944,0.02271933216456257,0.0629727119544107,-5.118702830557993,5.3725378531740695,1.7944944410074166,0.18613177372202316,qwen_1p
ppltrst,0.7760821195535936,0.11358527224023783,0.14635728536765238,-3.298754250180894,2.3596109514791324,1.8595975200630779,0.423798677223949,qwen_1p
psppipla,0.7068442767617874,0.01831459843710046,0.02591037239631303,-8.404362582211242,6.399594290883246,1.20410808647235,0.1562599056356718,qwen_1p
psppsgva,0.5481602761083125,0.01478125063193997,0.026965198457794305,-8.353352800364277,4.150220733381677,1.3763672237325633,0.24095103953306632,qwen_1p
rlgatnd,0.34673238497804765,0.002193935334897538,0.006327460110299303,17.22736528255805,19.248526587701285,-2.351723843188761,0.051952028402991804,qwen_1p
sclmeet,0.2951718581002278,0.01558404051576855,0.052796498338526815,5.379557255254994,8.828392981377068,-0.9838102629678538,0.1132708978983419,qwen_1p
stfdem,0.7319242006667535,0.14936400948509293,0.20407032497221475,-2.5493095452600265,2.9642053203258545,1.5575464674176063,0.3373585470422374,qwen_1p
stfeco,0.669174494519849,0.11434984058931366,0.1708819471240649,-2.985178118706871,2.3709210778562917,1.785358812916244,0.4217770086654115,qwen_1p
stfedu,0.5224447501709363,0.08856803671053047,0.16952613014400525,-2.8600055253953043,3.316430717238686,1.5017954623897367,0.3015289886208195,qwen_1p
stfgov,0.5092888027092058,0.041331419321867874,0.08115516991931063,-4.712469781484823,1.9144267579305307,2.591632872803703,0.5223495732377803,qwen_1p
stfhlth,0.6084912597963015,0.07572129706593904,0.12444105950065332,-3.4560433321176824,3.86917734718662,1.8858996047501089,0.2584528726053682,qwen_1p
stflife,0.7746784904273362,0.2916073853693727,0.3764237538188433,-1.37034199659497,3.1142156486470562,0.5133738439840734,0.3211081417673953,qwen_1p
trstep,0.38880337746492666,0.06456143215785526,0.16605162377654306,-3.1033196001013064,1.8827034826951736,1.5584473880230574,0.531151086292386,qwen_1p
trstlgl,0.7779125340382167,0.2138931207648431,0.2749578023309432,-2.1318073065645784,2.293161916394565,1.601867694556753,0.4360791066913647,qwen_1p
trstplc,0.8187003794113819,0.2236789349147312,0.27321220380470423,-1.9636229992424852,3.146709668775353,1.1228669210295132,0.3177922672444018,qwen_1p
trstplt,0.7458525648734162,0.26131361723290114,0.35035559243166303,-1.8510480189573426,1.6906019584606335,1.3624917462541615,0.5915052889862634,qwen_1p
trstprl,0.7860431453403899,0.4970218235212801,0.63230857805655,-0.910448093800223,1.7687144955575904,0.7436384892375054,0.5653823737588288,qwen_1p
trstprt,0.7310128585264873,0.15535903414611307,0.21252572008004406,-2.642894259859359,1.8991974074627334,1.853127089022959,0.5265382082297426,qwen_1p
trstun,0.45954095389984884,0.055029946269215146,0.11974981947138538,-3.5962203236435446,3.4814492370907617,1.8672957660353982,0.2872367028495409,qwen_1p
vote,-0.1499410429377972,-0.0021468227853142113,0.014317779463524326,-11.692739697582194,2.578477628767184,0.7736434827320267,0.38782574215240245,qwen_1p
actrolga,0.6486427913571782,0.03134115116686617,0.048318044360425215,-6.174662059859834,2.923948949479392,0.9517990866089745,0.34200323510369407,qwen_3p
aesfdrk,-0.4551715024837506,-0.03048288162816977,0.06697010129551771,-5.21896676554424,2.1644472749968564,0.8528097596018369,0.46201171613267983,qwen_3p
atchctr,0.3830333945094317,0.11984674832080255,0.31288851060700795,0.5073897345428607,5.9670210274931215,-0.11262380256862947,0.16758781230910497,qwen_3p
atcherp,0.18437706072698837,0.060086027719159045,0.32588667745457717,-1.3839912630122118,3.9697668996266,0.6883112492376045,0.2519039594224187,qwen_3p
cptppola,0.5025369594565636,0.022106033039493114,0.04398887011892273,-6.282818883726062,5.820424267713825,0.8426981563083507,0.1718087812854208,qwen_3p
euftf,-0.05104039725367609,-0.004534720312996683,0.08884570961426204,-4.226191084149898,4.424215197810951,1.07080253438661,0.22602878822322842,qwen_3p
freehms,-0.8440873153395635,-0.07448638608839823,0.08824488264988735,-4.474318709940901,2.187541682215233,1.848845172554955,0.4571341465765083,qwen_3p
gincdif,0.21897239467337085,0.0033161760390043975,0.015144265303171919,-11.279665114637366,4.615693656756885,1.1880414975675362,0.2166521598624957,qwen_3p
happy,0.6875011071262128,0.3422675987832736,0.49784297833929075,0.9774994387690701,2.690091174550858,-0.2991465234253905,0.37173461236567995,qwen_3p
health,-0.2952054839574464,-0.01006960915032253,0.034110508434098234,-7.432725846588184,3.0608361296647026,0.9540226864407289,0.326708114266001,qwen_3p
hincfel,-0.6627962557009252,-0.04219425081577462,0.06366096738303545,-5.082586996074123,5.398497591530386,0.7870539119606457,0.18523672244827588,qwen_3p
hmsacld,-0.6737778745492247,-0.19401903345289023,0.2879569673947726,-1.0275949138319442,5.714538669315021,0.3566774278141276,0.17499225359513856,qwen_3p
hmsfmlsh,0.4865088402051137,0.013341673223399377,0.027423290433478017,6.877444217137395,25.592395406961035,-0.9210523040979859,0.03907410713605979,qwen_3p
imbgeco,0.2634774428036365,0.04774338626693812,0.1812048339277383,-2.695688213086766,3.4834243710307065,1.2673227364230764,0.28707383697384853,qwen_3p
imdfetn,-0.3517909714587813,-0.11674139865781999,0.33184876284267667,-1.21602022688299,4.316465599620507,0.21316703047325536,0.23167102272005077,qwen_3p
impcntr,-0.2983932480512676,-0.11925414609422591,0.3996543047573804,-0.09671644634047154,4.786029390726477,0.016943886129419106,0.20894146658138446,qwen_3p
imsmetn,-0.2327923866561147,-0.01633714262279871,0.07017902456978649,-4.936501955179746,3.871172498091528,0.7149151185058487,0.25831966942650986,qwen_3p
imueclt,0.5479774690548109,0.043155734556243074,0.07875457841484075,-4.2703336924832,7.017089882433415,1.5265996522103107,0.14250921917124082,qwen_3p
imwbcnt,0.4471923673253024,0.09761566605256197,0.21828562646632366,-2.4632189017061936,2.7283362565177756,1.2358235261337756,0.3665237368051979,qwen_3p
inprdsc,0.5325905425088326,0.10111952221272935,0.18986353331847297,0.04178212043972458,10.436316712893397,-0.007300147590011186,0.09581924614884142,qwen_3p
polintr,-0.6822963568604989,-0.5016822285817835,0.7352849293966794,0.27870593829908336,2.1846092187314885,-0.045570936088477065,0.45774777082587714,qwen_3p
pplfair,0.5300567475652194,0.10113860578561742,0.19080712819936912,-2.4777542580715277,4.098532782671454,0.9479247992559676,0.24398975268124914,qwen_3p
pplhlp,0.23905727596041207,0.027920006274432016,0.11679212089346978,-3.6811074441558294,3.2678822614506955,1.6546922607612622,0.3060085768071934,qwen_3p
ppltrst,-0.12155431644949607,-0.005388075916581514,0.04432648772962477,-6.007906937374706,8.91260255002643,1.7426498128091925,0.11220067251815627,qwen_3p
psppipla,0.5744484613484883,0.02966912667457292,0.05164802183458925,-5.834170089682356,4.461995949564854,1.0010399599516688,0.22411495019342692,qwen_3p
psppsgva,0.43794218013527136,0.024190574366133297,0.055236913600469645,-5.726510034079794,3.091261384573202,1.0932796324916878,0.3234925409382895,qwen_3p
rlgatnd,-0.6223625918633943,-0.008239235851972837,0.013238642488623916,12.055101017823938,5.567827668122464,-3.059807938946538,0.17960325994378548,qwen_3p
sclmeet,0.1892583709220848,0.010901039521256919,0.05759871792273185,5.26031261751279,6.907332576247094,-1.087582007820659,0.1447736863632129,qwen_3p
stfdem,0.6668886297112498,0.2137183023835214,0.32047075457870294,-1.7611077656184912,2.7795477625967773,1.1111468074810658,0.35977075604045583,qwen_3p
stfeco,0.6777550730753682,0.24717761234602598,0.36470049751813394,-1.790727878498005,1.6831059359225056,1.2711233011847662,0.5941396668248947,qwen_3p
stfedu,0.5613747243794338,0.07421392779578284,0.13220033708824686,-3.2791385939333435,4.133902365901,1.5422651501249547,0.24190218139853095,qwen_3p
stfgov,0.48965643141641824,0.07233432415162967,0.14772464836699842,-3.3572220555107166,1.668377329217679,1.9777764769880593,0.5993847929286544,qwen_3p
stfhlth,0.5807794217092604,0.05382637681077317,0.09267955233737395,-3.980288769248089,5.55708388230425,1.812340575271227,0.17995049583188027,qwen_3p
stflife,0.7689246828711341,0.497752626472191,0.6473359973484042,0.049967608987255725,2.7193545547605025,-0.020032482049988865,0.36773432072305534,qwen_3p
trstep,0.4580420162103589,0.2583816863387756,0.5641004038810976,-0.9474156260605335,2.191579932464696,0.4409795905798424,0.4562918217978841,qwen_3p
trstlgl,0.7734744636693699,0.19924970988139754,0.25760347527978505,-2.241467174193009,2.3060541604830704,1.679552904989153,0.4336411594905996,qwen_3p
trstplc,0.8352903814683083,0.13466470057837193,0.1612190246242902,-2.898214328692962,3.738339038782593,1.5205113674588446,0.2674984771647824,qwen_3p
trstplt,0.7781167722059703,0.3626783717924927,0.46609761509740394,0.8930546905754352,3.1788175904869416,-0.4793824502357493,0.31458237899294395,qwen_3p
trstprl,0.8255085893356207,0.4606949350093962,0.5580740660495962,1.1132015585252466,1.7839969016388413,-0.9053412202570774,0.5605390901079287,qwen_3p
trstprt,0.686620417927321,0.3828459502997954,0.5575802005065335,-1.0427874112567452,1.9993630722943618,0.7126239558509391,0.5001592826521767,qwen_3p
trstun,0.29094324135482824,0.014479929857175184,0.04976891640358047,-5.687923002525878,7.703445105753683,1.9854459448799355,0.12981204983898734,qwen_3p
vote,-0.40168884378867403,-0.008254030232296445,0.02054831833128739,-9.743143776957409,1.8671354752550628,0.7575607576711993,0.5355797762148959,qwen_3p
actrolga,0.49761448561712435,0.005111276224579938,0.010271558349514499,-13.769408240051078,4.912245444743628,1.6375411790663956,0.20357288967921072,llama_1p
aesfdrk,-0.49249355844721676,-0.00950322877360934,0.01929614836704073,-9.885487896160159,5.750869915474564,0.9909973034633606,0.1738867362151904,llama_1p
atchctr,0.01946064132100756,0.002585947874371653,0.13288091752557754,3.133184073119627,5.035643268236298,-0.7570520264129108,0.19858436087158404,llama_1p
atcherp,0.45803530823835525,0.048080669425348305,0.10497153507722116,-3.425282396578955,7.180967658184264,1.2665983538604753,0.13925699816518236,llama_1p
cptppola,0.6201267152902079,0.008379024539056128,0.013511794174413045,-11.930127964414025,5.50937040749242,1.644708514726699,0.18150894313442034,llama_1p
euftf,-0.27537615396132864,-0.03719159834076048,0.13505743981733195,-3.244422431346302,4.034366801271412,0.8608511961870962,0.24787037204570855,llama_1p
freehms,-0.6280167626551977,-0.018396917355923536,0.029293672478013243,-7.754206916278509,8.02174382548177,1.6732267052593848,0.12466117364947663,llama_1p
gincdif,0.09478764637136906,0.0005636526622718172,0.005946478089175032,-18.173099413956795,5.9025757092569435,1.692630305353425,0.16941756434088787,llama_1p
happy,0.572760070404093,0.22071342800387592,0.3853505846665576,0.9892412800701358,3.958884331551313,-0.249555282549478,0.25259641763975055,llama_1p
health,-0.48338138377172624,-0.004039822933921581,0.00835742349529406,-15.319103846217757,4.40631345780618,1.638801275248515,0.2269470861698253,llama_1p
hincfel,-0.5509054173507762,-0.021664550917195026,0.03932535465230437,-6.516611912225965,8.27063347863843,0.8152833766635486,0.12090972264492453,llama_1p
hmsacld,-0.6027766565830625,-0.04711339947589827,0.07816062377559252,-3.3491379147198543,14.301685521429627,0.7348246013034068,0.06992182833985555,llama_1p
hmsfmlsh,-0.4897314640778217,-0.05688404641844863,0.11615354656773569,2.1108968999704354,12.683861390171913,-0.40156325300309526,0.07884034437453327,llama_1p
imbgeco,-0.003088912745503812,-0.0003333451814717442,0.10791667131321783,-3.219278830085404,8.044756986218339,0.9959164103890119,0.12430456279948834,llama_1p
imdfetn,-0.22111033416196849,-0.01892857765766817,0.08560693343171627,-3.9142518793101018,7.914881604696302,0.5067222049203313,0.1263442777724747,llama_1p
impcntr,-0.3493114073185551,-0.024172375499697942,0.0692000747563732,-4.212364413681376,11.067332922040602,0.4852938882637088,0.09035600600832194,llama_1p
imsmetn,-0.1575233230530168,-0.004568236310206776,0.029000380525677886,-7.863401088865397,6.988442226794012,0.8475721315488469,0.1430934058760554,llama_1p
imueclt,0.2532431856918342,0.03635404354193413,0.1435538865246014,-2.721858568127552,6.366463381151157,1.0215468712310996,0.15707307811753787,llama_1p
imwbcnt,-0.16124234328658046,-0.021325047189505935,0.1322546345757599,-2.7487452953825904,7.432192908205234,0.8355614780695744,0.1345497906675683,llama_1p
inprdsc,0.46116153307738733,0.015088710670372471,0.0327189272914496,-7.252577054379851,8.4078885294594,1.411769086823785,0.11893592505374197,llama_1p
polintr,-0.3266570832992635,-0.04822545837838271,0.14763328531345962,-2.731528785142585,5.916821325043412,0.27138770138110857,0.16900966668833164,llama_1p
pplfair,0.5974385851339341,0.08867318344802988,0.1484222573742054,-2.878571327237964,4.988431216513231,0.998216770058888,0.20046382451655234,llama_1p
pplhlp,0.676612924692827,0.05269600946644951,0.07788206157955495,-4.55883279730501,4.683376751790295,1.7117725527320635,0.2135211521511128,llama_1p
ppltrst,0.5481732872795683,0.03844598785799759,0.07013473430782141,-4.587306651362369,7.336860224559805,1.4665330244880268,0.1362980852016978,llama_1p
psppipla,0.5314465233214997,0.006300290002995419,0.011854983947621094,-12.682800960591125,7.7224839009187844,1.6541450310235093,0.1294920148530222,llama_1p
psppsgva,0.4293731027623247,0.004481578519293009,0.010437492452278136,-13.56369520265593,7.509920275567256,1.6613818222727095,0.1331572058432359,llama_1p
rlgatnd,-0.6397741332579893,-0.06166049175993103,0.0963785319764818,3.9144167282755866,5.237936057477898,-1.0243613127751354,0.19091489262690747,llama_1p
sclmeet,0.3265751968999803,0.09142058456697015,0.27993731745331957,-0.5628924494560299,6.677860065126016,0.11836203110878163,0.14974857068693748,llama_1p
stfdem,0.6431871280045659,0.07241397878954423,0.1125861753704595,-3.5888277576091583,4.67036988774302,1.746825639597854,0.21411580325241755,llama_1p
stfeco,0.49761257693115074,0.029833185514500468,0.05995263563973015,-5.3129149787179815,4.929752128688466,2.203606959641534,0.202849955514101,llama_1p
stfedu,0.23408437055620676,0.013898491488287286,0.05937385505603448,-4.981532575463603,8.754972475500372,1.609959541212163,0.1142208045540254,llama_1p
stfgov,0.3639579443040313,0.02117069055531942,0.058167958377175984,-5.547334046244217,3.3079759237196638,2.3208519027788146,0.302299660898241,llama_1p
stfhlth,0.5870333803519155,0.03351861900841263,0.05709831864811307,-5.0670935298539606,9.243682270702314,1.7888961308267826,0.10818199616937096,llama_1p
stflife,0.7061010614724154,0.3874203041431482,0.5486754308728414,-0.366415813176222,3.1982064633927516,0.13545656904490055,0.3126752482824922,llama_1p
trstep,0.45529297954558057,0.09690052251939085,0.2128311370320391,-2.6094248627918466,2.1152703166994313,1.2362846090058763,0.472752816557438,llama_1p
trstlgl,0.685408810909015,0.15154731173451327,0.22110499503723263,-2.1278078497625867,4.284511237764855,1.1697089702367913,0.2333988510021228,llama_1p
trstplc,0.7243606890079916,0.2931888279547395,0.4047552999545851,-0.521040477766266,4.444791489126396,0.25069419761722767,0.2249824322347561,llama_1p
trstplt,0.4361164992080395,0.036093479579721276,0.08276109627878055,-4.239134490202476,6.029840695262559,1.652194433809083,0.16584186059602968,llama_1p
trstprl,0.6812799302543696,0.1089107254390021,0.1598619313478647,-2.894099725419137,3.8770549760780364,1.5966070730227564,0.25792773282043663,llama_1p
