condition,n_rows,silicon_ok,human_ok,both_ok
llama_1p,863100,0.9999258486849728,0.9781265206812652,0.9780535279805352
llama_3p,863100,0.7728339705711968,0.9781265206812652,0.7570907194994786
qwen_1p_anchored_pilotanch,132,1.0,1.0,1.0
qwen_1p_anchored,452100,0.9998827692988277,0.9832404335324043,0.9831254147312541
qwen_1p_demo_only,863100,0.9926624956551964,0.9781265206812652,0.9709871393813
qwen_1p_full_nocountry_anchored,452100,0.9998341074983411,0.9832404335324043,0.9830745410307454
qwen_1p_full_nocountry,863100,0.9995261267524042,0.9781265206812652,0.9776677094195343
qwen_1p_full_nopolitical,863100,0.9990638396477812,0.9781265206812652,0.9772135326149924
qwen_1p_full_noregion_anchored,452100,0.9998982525989826,0.9832404335324043,0.9831386861313869
qwen_1p_full_noregion,863100,0.9992492179353494,0.9781265206812652,0.9774012281311552
qwen_1p_minimal,863100,0.9875692272042637,0.9781265206812652,0.9661058973467732
qwen_1p_pilotnum,132,1.0,1.0,1.0
qwen_1p_political,863100,0.9984856911134283,0.9781265206812652,0.9766933147955046
qwen_1p_rep,452100,0.999851802698518,0.9832404335324043,0.9830966600309666
qwen_1p,863100,0.9992828177499711,0.9781265206812652,0.9774383037886688
qwen_1p_ses,863100,0.9980118178658325,0.9781265206812652,0.9762136484764222
qwen_3p,863100,0.9999177383848916,0.9781265206812652,0.9780477349090487
