variable,silicon_response
stflife,0.4988807785888078
trstun,0.5242335766423357
stfeco,0.5403892944038929
trstep,0.5537712895377129
stfgov,0.5555231143552312
stfhlth,0.5714355231143552
trstprl,0.5723114355231144
trstplc,0.5770316301703163
trstlgl,0.5839902676399027
imbgeco,0.6213625304136253
stfdem,0.6605839416058394
imwbcnt,0.6681265206812652
happy,0.6770802919708029
pplhlp,0.6784914841849149
trstplt,0.6894403892944039
imueclt,0.7068613138686132
euftf,0.7098296836982968
stfedu,0.7348418491484185
trstprt,0.7409732360097323
pplfair,0.7623357664233577
atcherp,0.785352798053528
health,0.7890997566909975
sclmeet,0.7906082725060827
atchctr,0.8
ppltrst,0.8036496350364963
rlgatnd,0.8515328467153285
gincdif,0.8715328467153285
hincfel,0.8745985401459854
freehms,0.8932360097323601
hmsacld,0.8973722627737226
psppipla,0.9160097323600973
hmsfmlsh,0.9198053527980535
imsmetn,0.9221897810218979
imdfetn,0.9241362530413625
psppsgva,0.9385401459854015
impcntr,0.9551824817518249
inprdsc,0.9714355231143552
aesfdrk,0.9765936739659368
actrolga,0.9789294403892944
polintr,0.988029197080292
cptppola,0.9885644768856447
vote,0.9951338199513382
