,r_bc,r_ind,r_pooled_within
actrolga,0.6236654605239246,0.10827253626570656,0.08946110105959788
aesfdrk,-0.457857225220302,-0.052185714981657715,-0.03775739319454069
atchctr,0.22548823677081906,0.01816535216572132,0.013916827170973464
atcherp,0.31032344464203326,0.07650452110563356,0.060746991836775927
cptppola,0.5037036087357335,0.10462803816531716,0.08882779321138357
euftf,-0.23135690156298802,0.013536212493538714,0.01838582871683462
freehms,-0.8203273958001768,-0.16757697519234604,-0.08885665862452202
gincdif,0.34594629805091426,0.03883369526888258,0.03277652238501158
happy,0.6906642065373667,0.18514554427570598,0.14215274010063375
health,-0.3323367599094139,-0.08607729324721898,-0.07630793005923514
hincfel,-0.6725922375814659,-0.1820267920239403,-0.1519664054545251
hmsacld,-0.7256979707079046,-0.06843158075811005,-0.00901780624800329
hmsfmlsh,0.24821441725012938,0.0017316491748700054,-0.0028388409315580495
imbgeco,0.3587398351517705,0.08629899651016042,0.06320594962046758
imdfetn,-0.35853229917974416,-0.06612981598601292,-0.04438142042643481
impcntr,-0.35738415421342296,-0.05014041969647378,-0.028008932906068606
imsmetn,-0.25490391315794514,-0.04811100168451138,-0.038579387776857814
imueclt,0.647708781503356,0.08480391302132888,0.047914060757773054
imwbcnt,0.6372038328158683,0.09312942538426476,0.050736949280701334
inprdsc,0.4270652175604479,0.03362774909769766,0.025944315159903374
polintr,-0.6840742122514161,-0.10301052103867406,-0.08096076221570751
pplfair,0.5716268771955936,0.06948638654604637,0.04859263598396404
pplhlp,0.3607805898689944,0.03650667143434448,0.023052667851303294
ppltrst,0.7760821195535936,0.13312938085923667,0.07677663665967469
psppipla,0.7068442767617874,0.07465775020045298,0.05145479933001825
psppsgva,0.5481602761083125,0.07540605961091006,0.05647484912774268
rlgatnd,0.34673238497804765,0.02063158577182403,0.014969360681773953
sclmeet,0.2951718581002278,0.04960682074394399,0.04286336051154763
stfdem,0.7319242006667535,0.13590246859873598,0.06560913976154302
stfeco,0.669174494519849,0.12717904609627484,0.05630841698404289
stfedu,0.5224447501709363,0.04284039465561322,0.0003095953720037107
stfgov,0.5092888027092058,0.06787379417339484,0.028096472774082493
stfhlth,0.6084912597963015,0.0874868849563467,0.015585843155931681
stflife,0.7746784904273362,0.2008088749107747,0.14558034817144472
trstep,0.38880337746492666,0.08621435119506259,0.06737612503002725
trstlgl,0.7779125340382167,0.17898532970349817,0.07460322068466364
trstplc,0.8187003794113819,0.1275754166612541,0.044336384293641215
trstplt,0.7458525648734162,0.1401562388021005,0.06222862374839371
trstprl,0.7860431453403899,0.16478777490954213,0.0720394327678596
trstprt,0.7310128585264873,0.1728215404309677,0.10947913185785894
trstun,0.45954095389984884,0.07300653902950834,0.0430003724291435
vote,-0.1499410429377972,-0.03229715550563364,-0.03115328438963932
