,r_bc_march,r_bc_v13,abs_delta
actrolga,0.6351782871093556,0.6236654605239246,0.011512826585431069
aesfdrk,-0.5504782786762428,-0.457857225220302,0.0926210534559408
atchctr,0.15736687428606239,0.22548823677081906,0.06812136248475667
atcherp,0.3682630823547506,0.31032344464203326,0.05793963771271732
cptppola,0.25374964391678073,0.5037036087357335,0.24995396481895277
euftf,-0.16206545742453535,-0.23135690156298802,0.06929144413845267
freehms,-0.8319326813070965,-0.8203273958001768,0.01160528550691975
gincdif,0.1988407812617908,0.34594629805091426,0.14710551678912345
happy,0.7065970918714359,0.6906642065373667,0.015932885334069224
health,-0.40332883126470814,-0.3323367599094139,0.07099207135529423
hincfel,-0.6566204088248794,-0.6725922375814659,0.015971828756586537
hmsacld,-0.687943820226756,-0.7256979707079046,0.03775415048114861
hmsfmlsh,-0.15600727531484293,0.24821441725012938,0.4042216925649723
imbgeco,0.28835719524453096,0.3587398351517705,0.07038263990723953
imdfetn,-0.42857377577134814,-0.35853229917974416,0.07004147659160398
impcntr,-0.4376234915316906,-0.35738415421342296,0.08023933731826766
imsmetn,-0.3482231493389442,-0.25490391315794514,0.09331923618099908
imueclt,0.5963857825378563,0.647708781503356,0.05132299896549963
imwbcnt,0.5639947537967833,0.6372038328158683,0.07320907901908502
inprdsc,0.5387097821138842,0.4270652175604479,0.1116445645534363
polintr,-0.7485745512984864,-0.6840742122514161,0.06450033904707031
pplfair,0.5680030240642607,0.5716268771955936,0.0036238531313328437
pplhlp,0.339608088655258,0.3607805898689944,0.021172501213736428
ppltrst,0.7700865363493827,0.7760821195535936,0.005995583204210897
psppipla,0.6841841322383994,0.7068442767617874,0.02266014452338805
psppsgva,0.43206789164490383,0.5481602761083125,0.1160923844634087
rlgatnd,0.25788875496105074,0.34673238497804765,0.08884363001699691
sclmeet,0.3490721751508924,0.2951718581002278,0.053900317050664615
stfdem,0.6944722221758359,0.7319242006667535,0.037451978490917526
stfeco,0.686480725566026,0.669174494519849,0.017306231046177012
stfedu,0.5031376358186264,0.5224447501709363,0.019307114352309918
stfgov,0.5334450601715508,0.5092888027092058,0.024156257462344954
stfhlth,0.5693452784142153,0.6084912597963015,0.03914598138208614
stflife,0.7442083676674978,0.7746784904273362,0.030470122759838403
trstep,0.40300419766792867,0.38880337746492666,0.014200820203002007
trstlgl,0.7958428540681044,0.7779125340382167,0.017930320029887703
trstplc,0.807886057426525,0.8187003794113819,0.010814321984856878
trstplt,0.7333649262110022,0.7458525648734162,0.01248763866241398
trstprl,0.7573958404178566,0.7860431453403899,0.028647304922533312
trstprt,0.7192617737633349,0.7310128585264873,0.011751084763152453
trstun,0.5034925309385117,0.45954095389984884,0.043951577038662815
vote,-0.08360772328580471,-0.1499410429377972,0.06633331965199249
