domain,domain_label,qwen_1p,qwen_3p,llama_1p,llama_3p
health,Health,-0.07802182053581062,-0.05560678597105573,-0.04564871740674657,-0.021049255283734577
immigration,Immigration Attitudes,0.0077983316290966545,0.00029056631168007446,-0.005070797009060541,-0.006797372579943066
income,Income,-0.148470971921238,-0.1334338954097775,-0.051984926200051254,-0.022258208320383287
inst_trust,Institutional Trust,0.06851284862271183,0.06766167608611807,0.016891516666365795,0.0077452147728992605
attachment,National Attachment,0.036332427695570574,0.10290455894828268,0.02141028370589305,0.005802803922174145
political,Political Attitudes,0.012785463419647425,0.009239213416563516,0.00846723799778717,0.013881686194194175
efficacy,Political Efficacy,0.08826455142464035,0.12497932641227202,0.026815545214203897,0.06966001789816886
religion,Religion,0.012199644787325365,-0.061948155069503213,-0.008229242578895454,0.018374442555602905
safety,Safety,-0.037461736059932436,-0.04977776032541016,-0.002468244707138744,-0.0022990297662259965
social_trust,Social Trust,0.042554266391060816,0.024191491942943445,0.0206635968192323,0.01275480625611346
values,Social Values,-0.011163604882912322,-0.016420880702449566,-0.008267675408928452,-0.006454966658795395
wellbeing,Subjective Well-being,0.06592114230668611,0.0820099749027991,0.034113644128087844,-0.00044039580807738593
