variable,r_pooled_within
actrolga,0.08946110105959788
aesfdrk,-0.03775739319454068
atchctr,0.013916827170973462
atcherp,0.060746991836775927
cptppola,0.08882779321138357
euftf,0.018385828716834616
freehms,-0.08885665862452202
gincdif,0.03277652238501158
happy,0.14215274010063375
health,-0.07630793005923515
hincfel,-0.15196640545452508
hmsacld,-0.00901780624800329
hmsfmlsh,-0.0028388409315580495
imbgeco,0.06320594962046758
imdfetn,-0.044381420426434795
impcntr,-0.028008932906068602
imsmetn,-0.038579387776857814
imueclt,0.04791406075777306
imwbcnt,0.05073694928070135
inprdsc,0.02594431515990337
polintr,-0.0809607622157075
pplfair,0.04859263598396404
pplhlp,0.023052667851303287
ppltrst,0.07677663665967469
psppipla,0.05145479933001825
psppsgva,0.05647484912774268
rlgatnd,0.014969360681773953
sclmeet,0.042863360511547634
stfdem,0.06560913976154302
stfeco,0.05630841698404289
stfedu,0.0003095953720037107
stfgov,0.02809647277408249
stfhlth,0.015585843155931683
stflife,0.14558034817144472
trstep,0.06737612503002725
trstlgl,0.07460322068466363
trstplc,0.04433638429364121
trstplt,0.06222862374839371
trstprl,0.0720394327678596
trstprt,0.10947913185785894
trstun,0.0430003724291435
vote,-0.031153284389639317
