,country_effect_numeric_z,country_effect_anchored_z,change
aesfdrk,-0.17613798124047086,0.1629166503092886,0.33905463154975946
freehms,-0.8636580079437985,0.7173722427841766,1.581030250727975
gincdif,-0.27549621465953944,-0.13243471668831644,0.143061497971223
health,0.0102390837823636,0.09180753279169768,0.08156844900933408
hincfel,-0.027504124794378804,0.33013549235357986,0.35763961714795867
hmsacld,-0.6076392672709597,0.8565508776968578,1.4641901449678176
imdfetn,-0.22892513564236877,0.12444291509045202,0.3533680507328208
impcntr,-0.11080249715388979,0.21915811020351006,0.32996060735739985
imsmetn,-0.13528498866830185,-0.05405086424747002,0.08123412442083183
polintr,-0.001610945770865846,0.11937880265362044,0.12098974842448629
actrolga,0.05218992174740278,0.13598227393850892,0.08379235219110615
cptppola,0.23527092783284304,0.16963509165260948,-0.06563583618023355
happy,0.24777823649153286,0.1297417692589642,-0.11803646723256866
inprdsc,0.14688531106255653,0.2052598848125119,0.05837457374995536
psppipla,0.11380780094942766,0.18926254059941672,0.07545473964998906
psppsgva,0.1336122611860076,0.20276987778217048,0.06915761659616287
sclmeet,-0.20585632215750985,0.14102504860559748,0.3468813707631073
stfdem,0.24107194949914268,0.2838824867145586,0.042810537215415945
stflife,0.17081388425235777,0.2497475060242682,0.07893362177191043
trstplc,0.3918018463070211,0.44220668111555794,0.05040483480853686
