section,check,recomputed,released,diff,status
structure,llama_1p: rq3 rows,1260.0,1260.0,0.0,pass
structure,llama_1p: scatter rows,1260.0,1260.0,0.0,pass
structure,llama_1p: duplicate item x country cells,0.0,0.0,0.0,pass
structure,llama_1p: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,llama_1p: country means outside the item range,0.0,0.0,0.0,pass
structure,llama_1p: undefined individual-level r (zero-variance cells),0.0,0.0,0.0,pass
structure,llama_3p: rq3 rows,1260.0,1260.0,0.0,pass
structure,llama_3p: scatter rows,1260.0,1260.0,0.0,pass
structure,llama_3p: duplicate item x country cells,0.0,0.0,0.0,pass
structure,llama_3p: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,llama_3p: country means outside the item range,0.0,0.0,0.0,pass
structure,llama_3p: undefined individual-level r (zero-variance cells),0.0,0.0,0.0,pass
structure,qwen_1p: rq3 rows,1260.0,1260.0,0.0,pass
structure,qwen_1p: scatter rows,1260.0,1260.0,0.0,pass
structure,qwen_1p: duplicate item x country cells,0.0,0.0,0.0,pass
structure,qwen_1p: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,qwen_1p: country means outside the item range,0.0,0.0,0.0,pass
structure,qwen_1p: undefined individual-level r (zero-variance cells),0.0,0.0,0.0,pass
structure,qwen_1p_anchored: rq3 rows,660.0,660.0,0.0,pass
structure,qwen_1p_anchored: scatter rows,660.0,660.0,0.0,pass
structure,qwen_1p_anchored: duplicate item x country cells,0.0,0.0,0.0,pass
structure,qwen_1p_anchored: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,qwen_1p_anchored: country means outside the item range,0.0,0.0,0.0,pass
structure,qwen_1p_anchored: undefined individual-level r (zero-variance cells),1.0,0.0,1.0,FAIL
structure,qwen_1p_demo_only: rq3 rows,1260.0,1260.0,0.0,pass
structure,qwen_1p_demo_only: scatter rows,1260.0,1260.0,0.0,pass
structure,qwen_1p_demo_only: duplicate item x country cells,0.0,0.0,0.0,pass
structure,qwen_1p_demo_only: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,qwen_1p_demo_only: country means outside the item range,0.0,0.0,0.0,pass
structure,qwen_1p_demo_only: undefined individual-level r (zero-variance cells),0.0,0.0,0.0,pass
structure,qwen_1p_full_nocountry: rq3 rows,1260.0,1260.0,0.0,pass
structure,qwen_1p_full_nocountry: scatter rows,1260.0,1260.0,0.0,pass
structure,qwen_1p_full_nocountry: duplicate item x country cells,0.0,0.0,0.0,pass
structure,qwen_1p_full_nocountry: n_valid never exceeds n per country,0.0,0.0,0.0,pass
structure,qwen_1p_full_nocountry: country means outside the item range,0.0,0.0,0.0,pass
structure,qwen_1p_full_nocountry: undefined individual-level r (zero-variance cells),0.0,0.0,0.0,pass
