variable,r_weighted,r_unweighted,delta
actrolga,0.6236654605239246,0.668585735662779,0.04492027513885444
aesfdrk,-0.457857225220302,-0.48902823149863606,-0.03117100627833408
atchctr,0.22548823677081906,0.20926788063046103,-0.016220356140358022
atcherp,0.31032344464203326,0.33340181076537173,0.023078366123338467
cptppola,0.5037036087357335,0.5286492725843641,0.024945663848630617
euftf,-0.23135690156298802,-0.17900396311248923,0.05235293845049879
freehms,-0.8203273958001768,-0.8284506881949937,-0.008123292394816906
gincdif,0.34594629805091426,0.3056722938115575,-0.04027400423935673
happy,0.6906642065373667,0.7395199508458828,0.048855744308516136
health,-0.3323367599094139,-0.43530501021768014,-0.10296825030826623
hincfel,-0.6725922375814659,-0.6907989744720737,-0.01820673689060781
hmsacld,-0.7256979707079046,-0.7316417593622236,-0.005943788654318993
hmsfmlsh,0.24821441725012938,0.24477918720422182,-0.003435230045907567
imbgeco,0.3587398351517705,0.4052385625234388,0.046498727371668325
imdfetn,-0.35853229917974416,-0.4007682441746577,-0.04223594499491351
impcntr,-0.35738415421342296,-0.39449313170774847,-0.03710897749432551
imsmetn,-0.25490391315794514,-0.3089819473649481,-0.05407803420700297
imueclt,0.647708781503356,0.6693077701751631,0.021598988671807096
imwbcnt,0.6372038328158683,0.6462388255475244,0.009034992731656089
inprdsc,0.4270652175604479,0.430129505563157,0.0030642880027090813
polintr,-0.6840742122514161,-0.6875002107847138,-0.003425998533297725
pplfair,0.5716268771955936,0.5768041030732987,0.005177225877705083
pplhlp,0.3607805898689944,0.3707929300682505,0.010012340199256065
ppltrst,0.7760821195535936,0.785883082841789,0.009800963288195352
psppipla,0.7068442767617874,0.7180675182578029,0.011223241496015501
psppsgva,0.5481602761083125,0.5638760574662749,0.015715781357962366
rlgatnd,0.34673238497804765,0.3550266083205357,0.008294223342488027
sclmeet,0.2951718581002278,0.31890416538304656,0.023732307282818776
stfdem,0.7319242006667535,0.736211712338109,0.004287511671355548
stfeco,0.669174494519849,0.6796680386308406,0.01049354411099157
stfedu,0.5224447501709363,0.5166349131767684,-0.005809836994167927
stfgov,0.5092888027092058,0.5062188205172116,-0.0030699821919942805
stfhlth,0.6084912597963015,0.614524807419504,0.006033547623202518
stflife,0.7746784904273362,0.7975109492633918,0.02283245883605567
trstep,0.38880337746492666,0.39802317595803965,0.009219798493112996
trstlgl,0.7779125340382167,0.7963543977664181,0.018441863728201446
trstplc,0.8187003794113819,0.8130257755805764,-0.005674603830805425
trstplt,0.7458525648734162,0.7621275420514626,0.01627497717804638
trstprl,0.7860431453403899,0.7996327905721117,0.013589645231721792
trstprt,0.7310128585264873,0.7356385986846623,0.004625740158174962
trstun,0.45954095389984884,0.47364702001996095,0.014106066120112115
vote,-0.1499410429377972,-0.11806428127988405,0.031876761657913144
