arm,rule,variable,r_bc_frozen,r_bc_reparsed,delta
llama_1p,last,actrolga,0.49761448561712435,0.49761448561712435,0.0
llama_1p,last,aesfdrk,-0.4924935584472179,-0.494538738159683,-0.002045179712465095
llama_1p,last,atchctr,0.019460641321008103,0.019460641321008103,0.0
llama_1p,last,atcherp,0.45803530823835525,0.45803530823835525,0.0
llama_1p,last,cptppola,0.6201267152902075,0.6201267152902075,0.0
llama_1p,last,euftf,-0.2753761539613288,-0.2753761539613288,0.0
llama_1p,last,freehms,-0.6280167626551977,-0.6275179260812294,0.0004988365739683198
llama_1p,last,gincdif,0.09478764637136818,0.09478764637136818,0.0
llama_1p,last,happy,0.5727600704040933,0.5727600704040933,0.0
llama_1p,last,health,-0.4833813837717242,-0.4833813837717242,0.0
llama_1p,last,hincfel,-0.5509054173507751,-0.5567662106398638,-0.005860793289088617
llama_1p,last,hmsacld,-0.6027766565830625,-0.6028193532694506,-4.269668638812174e-05
llama_1p,last,hmsfmlsh,-0.48973146407782114,-0.48973146407782114,0.0
llama_1p,last,imbgeco,-0.0030889127455033015,-0.0030889127455033015,0.0
llama_1p,last,imdfetn,-0.22111033416196782,-0.2282599764715735,-0.007149642309605686
llama_1p,last,impcntr,-0.34931140731855487,-0.3463871561361429,0.0029242511824119632
llama_1p,last,imsmetn,-0.1575233230530161,-0.1596398000830587,-0.002116477030042585
llama_1p,last,imueclt,0.253243185691834,0.253243185691834,0.0
llama_1p,last,imwbcnt,-0.16124234328658024,-0.16124234328658024,0.0
llama_1p,last,inprdsc,0.4611615330773864,0.4609772352970813,-0.00018429778030509825
llama_1p,last,polintr,-0.32665708329926285,-0.32665708329926285,0.0
llama_1p,last,pplfair,0.5974385851339346,0.5974385851339346,0.0
llama_1p,last,pplhlp,0.6766129246928272,0.6766129246928272,0.0
llama_1p,last,ppltrst,0.5481732872795683,0.5481732872795683,0.0
llama_1p,last,psppipla,0.5314465233215013,0.5314465233215013,0.0
llama_1p,last,psppsgva,0.4293731027623257,0.4293731027623257,0.0
llama_1p,last,rlgatnd,-0.6397741332579892,-0.6397741332579892,0.0
llama_1p,last,sclmeet,0.32657519689997994,0.32657519689997994,0.0
llama_1p,last,stfdem,0.6431871280045659,0.6431871280045659,0.0
llama_1p,last,stfeco,0.49761257693115113,0.49761257693115113,0.0
llama_1p,last,stfedu,0.23408437055620712,0.23408437055620712,0.0
llama_1p,last,stfgov,0.3639579443040313,0.3639579443040313,0.0
llama_1p,last,stfhlth,0.5870333803519159,0.5870333803519159,0.0
llama_1p,last,stflife,0.7061010614724154,0.7061010614724154,0.0
llama_1p,last,trstep,0.4552929795455808,0.4552929795455808,0.0
llama_1p,last,trstlgl,0.685408810909015,0.685408810909015,0.0
llama_1p,last,trstplc,0.7243606890079916,0.7243606890079916,0.0
llama_1p,last,trstplt,0.4361164992080394,0.4361164992080394,0.0
llama_1p,last,trstprl,0.6812799302543697,0.6812799302543697,0.0
llama_1p,last,trstprt,0.5072302200654509,0.5072302200654509,0.0
llama_1p,last,trstun,0.33330925310670356,0.33330925310670356,0.0
llama_1p,last,vote,-0.051024564491877075,-0.051024564491877075,0.0
llama_1p,answer,actrolga,0.49761448561712435,0.49761448561712435,0.0
llama_1p,answer,aesfdrk,-0.4924935584472179,-0.4924935584472179,0.0
